entloss,TimestepsSoFar,AttC,MtR,entropy,meankl,optimgain,EpisodesSoFar,AttNC,TtR,Fce,surrgain,TimeElapsed
0.0,2909888,0.875,21.900554242210937,0.7640206,0.005283329,0.002327575,12871,2.125,114.675,0.15290000000000004,0.002327575,10986.220628499985
0.0,2919889,1.2682926829268293,21.400684141455102,0.7512805,0.0051145437,0.002081816,12912,1.7317073170731707,112.39024390243902,0.1498536585365854,0.002081816,11017.286257743835
0.0,2929898,1.0,21.682908813908824,0.7390349,0.004588385,0.0025812013,12953,2.0,114.4390243902439,0.15258536585365856,0.0025812013,11050.794916391373
0.0,2939936,1.2142857142857142,20.720472053788708,0.7403744,0.0040483936,0.002256966,12995,1.7857142857142858,109.85714285714286,0.14812097812097816,0.002256966,11084.563750267029
0.0,2949958,1.0714285714285714,21.506770379625486,0.71295613,0.004754723,0.0019981307,13037,1.9285714285714286,113.5,0.15861064425770313,0.0019981307,11115.735794067383
0.0,2959973,1.1219512195121952,20.750696499280906,0.6912216,0.0053448337,0.0024936523,13078,1.8780487804878048,108.36585365853658,0.14754471544715447,0.0024936523,11145.874133348465
0.0,2969973,1.1,22.88134532675223,0.68673044,0.0051075914,0.0022393723,13118,1.9,122.175,0.1629,0.0022393723,11178.33137512207
0.0,2979973,1.05,21.73563900015992,0.66430813,0.00428302,0.0020711638,13158,1.95,115.725,0.15430000000000005,0.0020711638,11210.694727182388
0.0,2989973,0.85,22.88855948424753,0.66953546,0.004520825,0.0023468966,13198,2.15,119.55,0.15940000000000004,0.0023468966,11243.210150241852
0.0,2999973,0.9,21.64938171094118,0.674031,0.004390909,0.0023639128,13238,2.1,116.625,0.15549999999999994,0.0023639128,11275.397513628006
0.0,3009973,0.75,21.19862793234689,0.6780349,0.004330747,0.002505311,13278,2.25,112.8,0.1504,0.002505311,11306.012515068054
0.0,3019973,0.775,21.320758701796343,0.66643685,0.0047101225,0.0024885982,13318,2.225,113.25,0.15100000000000002,0.0024885982,11337.022231817245
0.0,3029973,0.625,20.870228081671986,0.6850635,0.0043688877,0.0022425023,13358,2.375,111.9,0.14920000000000003,0.0022425023,11365.911501407623
0.0,3039973,0.8,22.2087642021325,0.6497995,0.004864622,0.0024070076,13398,2.2,117.075,0.1561,0.0024070076,11398.354350566864
0.0,3049973,0.6,22.28333164951392,0.64308745,0.0031155073,0.0018959885,13438,2.4,118.575,0.15810000000000005,0.0018959885,11430.612669467926
0.0,3059973,0.575,21.989661398451812,0.6328339,0.004996851,0.0023192689,13478,2.425,116.4,0.1552,0.0023192689,11460.774313688278
0.0,3069973,0.575,22.250177058612074,0.630412,0.004297867,0.0022446492,13518,2.425,117.45,0.1566,0.0022446492,11492.032648563385
0.0,3079973,0.65,22.469184578133216,0.63879913,0.003937869,0.0022305292,13558,2.35,119.4,0.15919999999999998,0.0022305292,11523.0455493927
0.0,3089973,0.675,22.10176508757305,0.6300608,0.0051648193,0.0020916625,13598,2.325,118.95,0.1586,0.0020916625,11554.629498004913
0.0,3099973,0.725,21.493818743907433,0.6242,0.0037114252,0.0015968059,13638,2.275,115.2,0.15360000000000001,0.0015968059,11586.513255119324
0.0,3109980,0.5853658536585366,20.272334230928216,0.59433764,0.005185588,0.0025056335,13679,2.4146341463414633,107.85365853658537,0.1438048780487805,0.0025056335,11618.395914316177
0.0,3119981,0.5853658536585366,20.61820497174286,0.60019225,0.004573602,0.0020780272,13720,2.4146341463414633,108.21951219512195,0.14429268292682929,0.0020780272,11649.2201898098
0.0,3129981,0.6,21.13421046468099,0.5775522,0.0041106227,0.002174122,13760,2.4,112.875,0.1505,0.002174122,11681.15311384201
0.0,3139981,0.6,20.33852912727812,0.58404,0.003288209,0.0019687559,13800,2.4,107.475,0.1433,0.0019687559,11712.757020235062
0.0,3149981,0.5,22.786408045070377,0.56299,0.0048372606,0.0024374237,13840,2.5,121.2,0.16160000000000002,0.0024374237,11742.850702524185
0.0,3159981,0.45,23.007006633330775,0.53763443,0.004201829,0.0020898404,13880,2.55,119.175,0.15889999999999999,0.0020898404,11775.615250825882
0.0,3169981,0.7,23.183302531854093,0.5357435,0.005884578,0.0025275976,13920,2.3,122.85,0.16379999999999997,0.0025275976,11803.831515073776
0.0,3179981,0.625,23.655154836376123,0.5469341,0.005285255,0.0026912175,13960,2.375,125.925,0.16790000000000002,0.0026912175,11834.03278374672
0.0,3189981,0.625,22.3335828236174,0.5408859,0.0049413214,0.0025777593,14000,2.375,118.05,0.15739999999999998,0.0025777593,11865.01622080803
0.0,3199981,0.65,21.163984593965697,0.5327743,0.0046844045,0.0025351827,14040,2.35,112.875,0.15050000000000002,0.0025351827,11894.368116378784
0.0,3209981,0.625,20.94187244236859,0.48880658,0.004662418,0.0025141148,14080,2.375,111.0,0.148,0.0025141148,11923.390888929367
0.0,3219981,0.5,21.673113845782666,0.48245442,0.005155738,0.0025720962,14120,2.5,115.125,0.1535,0.0025720962,11952.882147550583
0.0,3229981,0.45,24.227048188216305,0.45905232,0.0042202896,0.0021756317,14160,2.55,128.475,0.1713,0.0021756317,11982.02113366127
0.0,3239981,0.6,22.527456922627472,0.4754643,0.0028364197,0.0016902059,14200,2.4,120.45,0.16060000000000002,0.0016902059,12010.209832668304
0.0,3249981,0.425,22.257681096607076,0.46283183,0.0034090697,0.001912116,14240,2.575,119.625,0.15950000000000003,0.001912116,12041.155199050903
0.0,3259981,0.65,22.90283960561146,0.41806978,0.0058688447,0.002782559,14280,2.35,121.05,0.16140000000000004,0.002782559,12070.791857004166
0.0,3269981,0.6,23.26064246064906,0.38613895,0.004800881,0.0023510333,14320,2.4,125.625,0.16749999999999998,0.0023510333,12099.516553878784
0.0,3279981,0.4,24.65156955423015,0.41684154,0.005952456,0.0028312688,14360,2.6,130.5,0.174,0.0028312688,12129.757380723953
