entloss,meankl,Tmt,Tmc,AttNC,TimeElapsed,AttC,TtR,MpbtN,MpbtA,entropy,TimestepsSoFar,MtR,Tbt,optimgain,surrgain,EpisodesSoFar,Ptt
0.0,0.0025921199,64.14516129032258,40.806451612903224,1.6451612903225807,6653.4872760772705,8.35483870967742,-227.25806451612902,35.16906523513145,64.83093476486854,0.42157236,169944,-14.711563373616663,262738.5806451613,0.002800485,0.002800485,2793,62.42665048182941
0.0,0.0028927936,63.440677966101696,41.50847457627118,2.2033898305084745,6828.4336478710175,7.796610169491525,-192.71186440677965,30.2436204153737,69.75637958462629,0.41024032,179962,-12.719238968303802,259853.01694915254,0.002903864,0.002903864,2852,61.76437455672278
0.0,0.0027052753,62.8448275862069,42.172413793103445,1.9655172413793103,6987.754149198532,8.03448275862069,-214.13793103448276,33.814380532580465,66.18561946741953,0.4225121,189925,-13.79103125350952,257412.41379310345,0.0031259349,0.0031259349,2910,61.16736229882295
0.0,0.002824129,63.728813559322035,41.186440677966104,2.2203389830508473,7147.207084655762,7.779661016949152,-213.5593220338983,33.17634150568823,66.82365849431179,0.44141552,199963,-13.69486102277487,261033.22033898305,0.0027841027,0.0027841027,2969,62.05828134787253
0.0,0.0024303107,63.327586206896555,41.60344827586207,1.6896551724137931,7304.558753728867,8.310344827586206,-221.72413793103448,35.07722536658826,64.92277463341172,0.4333685,209878,-14.034725144928059,259389.7931034483,0.0027026492,0.0027026492,3027,61.66906233740635
0.0,0.0026811033,62.85245901639344,42.131147540983605,1.9836065573770492,7472.126472711563,8.01639344262295,-214.4262295081967,33.97423770070686,66.02576229929316,0.3987357,219929,-13.85784136204629,257443.67213114753,0.0026901371,0.0026901371,3088,61.19139849928635
0.0,0.003052403,62.25423728813559,42.71186440677966,2.864406779661017,7640.531960725784,7.135593220338983,-202.03389830508473,32.37476118925976,67.62523881074024,0.38629436,229923,-13.532741880842936,254993.35593220338,0.0024654786,0.0024654786,3147,60.64149039902662
0.0,0.0036196057,61.622950819672134,43.377049180327866,3.557377049180328,7809.461906909943,6.442622950819672,-184.2622950819672,29.980121600683553,70.01987839931645,0.3517068,239956,-12.757837167754483,252407.60655737706,0.0031298154,0.0031298154,3208,60.025807846310755
0.0,0.003973894,61.5,43.48275862068966,3.3448275862068964,7982.962429285049,6.655172413793103,-188.79310344827587,30.622349091351886,69.37765090864808,0.3767843,249931,-13.107569388087125,251904.0,0.0033980436,0.0033980436,3266,59.916792492149625
0.0,0.0032209558,62.15625,42.84375,1.9375,8146.217296600342,8.0625,-223.59375,35.76934486952954,64.23065513047048,0.3938404,259995,-14.746662982566683,254592.0,0.0031117129,0.0031117129,3330,60.525774265521875
0.0,0.0033012591,62.65,42.31666666666667,2.6,8319.531226873398,7.4,-202.16666666666666,32.16634837399989,67.83365162600012,0.37635016,269943,-13.348108036062989,256614.4,0.0028980493,0.0028980493,3390,61.00849167879324
0.0,0.0024781572,61.083333333333336,43.95,2.6,8486.644913434982,7.4,-203.16666666666666,33.007537810349966,66.99246218965003,0.37883195,279832,-13.75056872307482,250197.33333333334,0.0031912026,0.0031912026,3450,59.49721833904907
