AttNC,AttC,Fce,EpisodesSoFar,TimestepsSoFar,TtR,optimgain,entropy,TimeElapsed,meankl,MtR,entloss,surrgain
1.5319148936170213,1.4680851063829787,0.11206071917382107,7906,1689816,79.85106382978724,0.00020891114,1.652944,22253.3098256588,0.0033532218,15.403946566411566,0.0,0.00020891114
1.744186046511628,1.255813953488372,0.13841860465116276,7949,1699819,86.44186046511628,0.00023712336,1.6724833,22374.18437051773,0.0059837587,16.440234286318834,0.0,0.00023712336
1.6136363636363635,1.3863636363636365,0.11863636363636365,7993,1709841,88.97727272727273,0.0002479716,1.6892189,22504.5806555748,0.0058948984,17.168181119642078,0.0,0.0002479716
1.7209302325581395,1.2790697674418605,0.12260465116279072,8036,1719844,91.95348837209302,0.00044073386,1.7286456,22644.76954650879,0.0026700231,17.74920492541513,0.0,0.00044073386
1.3653846153846154,1.6346153846153846,0.14821937321937323,8088,1729934,76.96153846153847,0.0006686279,1.744667,22750.684715986252,0.004508474,14.615984970113997,0.0,0.0006686279
1.3695652173913044,1.6304347826086956,0.11653478809145239,8134,1739789,83.6086956521739,0.0004484165,1.7802664,22879.183073043823,0.0023401002,16.026768199868304,0.0,0.0004484165
1.42,1.58,0.11372420181968568,8184,1749879,79.8,0.00046817117,1.7861322,23009.63214802742,0.003540613,15.258175776927754,0.0,0.00046817117
1.4791666666666667,1.5208333333333333,0.12657098765432098,8232,1759989,82.875,0.0005352661,1.7697825,23139.093168497086,0.006619959,15.947316926336278,0.0,0.0005352661
1.6363636363636365,1.3636363636363635,0.13037360865745704,8276,1769876,88.8409090909091,0.0001709315,1.7458495,23276.279534578323,0.0049628913,17.1827113716057,0.0,0.0001709315
1.425531914893617,1.574468085106383,0.13120901126408008,8323,1779915,78.51063829787235,0.0003567416,1.7650151,23393.460181236267,0.0029170713,15.088819876536485,0.0,0.0003567416
1.4318181818181819,1.5681818181818181,0.12300329555501972,8367,1789973,86.5909090909091,0.00029237365,1.8118985,23509.860463619232,0.0028351394,16.43372671989108,0.0,0.00029237365
1.5909090909090908,1.4090909090909092,0.12009090909090908,8411,1799987,90.06818181818181,0.00033903046,1.7998343,23638.33874154091,0.003907736,17.28540115161147,0.0,0.00033903046
1.4651162790697674,1.5348837209302326,0.1328992248062016,8454,1809751,88.18604651162791,0.00051424355,1.8074012,23752.5495531559,0.0061850627,16.70357001065862,0.0,0.00051424355
1.2758620689655173,1.7241379310344827,0.10537193100778651,8512,1819907,73.55172413793103,0.0004112254,1.7729491,23895.577914476395,0.0019395408,14.134552527911254,0.0,0.0004112254
1.4,1.6,0.13707985663082436,8562,1829989,78.78,0.0004855311,1.7682799,24020.441717147827,0.0051006116,14.981220988756723,0.0,0.0004855311
1.5319148936170213,1.4680851063829787,0.12455448098001291,8609,1839779,80.87234042553192,0.0006831182,1.7662278,24155.144094467163,0.0052492707,15.599210293118585,0.0,0.0006831182
1.2884615384615385,1.7115384615384615,0.15040064998495328,8661,1849754,76.78846153846153,0.0006845942,1.748686,24280.08109331131,0.006565187,14.543410874102047,0.0,0.0006845942
1.6046511627906976,1.3953488372093024,0.12439078669188827,8704,1859803,89.23255813953489,0.00044104105,1.803711,24411.378974199295,0.0034370646,17.067430210057495,0.0,0.00044104105
1.4,1.6,0.11410262626262625,8754,1869865,78.12,0.0003563258,1.8289727,24533.00474190712,0.0017747574,14.797015054293343,0.0,0.0003563258
1.4893617021276595,1.5106382978723405,0.152391658404174,8801,1879912,88.02127659574468,0.0003336609,1.8116531,24673.30091714859,0.0025694086,16.93531353591677,0.0,0.0003336609
