TimeElapsed,TimestepsSoFar,EpisodesSoFar,meankl,optimgain,TtR,Fce,surrgain,AttNC,entropy,AttC,MtR,entloss
7401.012616157532,899916,4565,0.0031291435,0.0018520752,30.636363636363637,0.12254545454545455,0.0018520752,0.9090909090909091,0.24308616,0.09090909090909091,17.546214781391193,0.0
7485.361352443695,909917,4606,0.0073919236,0.004679326,32.21951219512195,0.12887804878048778,0.004679326,0.975609756097561,0.30078644,0.024390243902439025,18.266470785341497,0.0
7573.058866739273,919921,4650,0.0027381026,0.0014237126,31.113636363636363,0.12445454545454546,0.0014237126,0.9090909090909091,0.29079103,0.09090909090909091,17.755513782437532,0.0
7650.710795640945,929922,4691,0.004932909,0.0025335816,33.21951219512195,0.13287804878048787,0.0025335816,0.975609756097561,0.31089792,0.024390243902439025,19.13886712637047,0.0
7739.742282629013,939923,4732,0.0072252876,0.003459043,32.21951219512195,0.1288780487804878,0.003459043,0.975609756097561,0.35830605,0.024390243902439025,18.332053684666306,0.0
7818.7953407764435,949928,4777,0.004738792,0.002315903,28.844444444444445,0.11537777777777779,0.002315903,0.8888888888888888,0.3092029,0.1111111111111111,16.463083861685742,0.0
7911.876768827438,959944,4823,0.0041799247,0.0031185672,28.67391304347826,0.12185507246376812,0.0031185672,0.8695652173913043,0.30094913,0.13043478260869565,16.247970368871947,0.0
7988.881796121597,969961,4866,0.0056346683,0.0025609466,31.325581395348838,0.12821705426356592,0.0025609466,0.9302325581395349,0.32454306,0.06976744186046512,17.521158322122247,0.0
8073.833862781525,979963,4908,0.0026820337,0.0014409992,31.976190476190474,0.12790476190476194,0.0014409992,0.9523809523809523,0.33638087,0.047619047619047616,18.69757437041795,0.0
8154.286152601242,989977,4952,0.0047747046,0.0029632628,30.75,0.12300000000000001,0.0029632628,0.9090909090909091,0.30244866,0.09090909090909091,17.428765772844397,0.0
8227.046456098557,999978,4993,0.003684118,0.0010484589,33.46341463414634,0.13385365853658537,0.0010484589,0.975609756097561,0.26413524,0.024390243902439025,19.193277417683273,0.0
8310.128058195114,1009982,5037,0.0040219096,0.0027503204,30.295454545454547,0.1211818181818182,0.0027503204,0.9090909090909091,0.24516138,0.09090909090909091,17.012640879731894,0.0
8393.31980228424,1019984,5079,0.0064370255,0.0025614717,32.285714285714285,0.12914285714285717,0.0025614717,0.9523809523809523,0.2748715,0.047619047619047616,18.634474037548735,0.0
