MtR,AttC,TimeElapsed,AttNC,EpisodesSoFar,TimestepsSoFar,meankl,optimgain,entloss,TtR,Fce,surrgain,entropy
20.59922612340911,6.414634146341464,6607.165280342102,3.5853658536585367,2808,679836,0.008933067,7.656784e-06,0.0,361.219512195122,0.14849928263988524,7.656784e-06,2.9205143
22.424015075375916,5.75,6703.034833192825,4.25,2848,689836,0.008933204,1.5388794e-05,0.0,395.0,0.158,1.5388794e-05,3.0180874
22.73420368992671,5.9,6799.763579368591,4.1,2888,699836,0.008933204,6.3489533e-06,0.0,393.75,0.15749999999999997,6.3489533e-06,3.1157162
22.221251536638114,5.875,6893.2762949466705,4.125,2928,709836,0.008933204,2.4765777e-06,0.0,381.5,0.1526,2.4765777e-06,3.2132857
22.891061503539863,6.475,6996.000757932663,3.525,2968,719836,0.008933102,2.3736573e-06,0.0,395.75,0.1583,2.3736573e-06,3.3108687
22.12952858548027,6.7,7095.067353725433,3.3,3008,729836,0.008933204,2.2006989e-06,0.0,384.5,0.1538,2.2006989e-06,3.4084518
22.611398748816836,6.1,7192.233617782593,3.9,3048,739836,0.008933196,2.910614e-06,0.0,395.0,0.15799999999999997,2.910614e-06,3.5060818
24.198719557869453,6.0,7299.528112888336,4.0,3088,749836,0.00893351,2.588196e-06,0.0,420.5,0.16820000000000004,2.588196e-06,3.6036713
23.405191562915054,6.025,7396.548383951187,3.975,3128,759836,0.010166168,2.7069092e-07,0.0,406.75,0.1627,2.7069092e-07,3.5061026
22.677443480604758,6.675,7494.164891719818,3.325,3168,769836,0.008933204,2.9738617e-06,0.0,395.0,0.158,2.9738617e-06,3.6036918
23.494300900187348,6.575,7597.414130449295,3.425,3208,779836,0.008933204,3.863373e-06,0.0,414.5,0.1658,3.863373e-06,3.7012541
22.633549820537894,6.075,7691.391738891602,3.925,3248,789836,0.00893294,2.6733397e-07,0.0,394.75,0.15789999999999998,2.6733397e-07,3.7988443
22.457305889176144,6.414634146341464,7785.033032417297,3.5853658536585367,3289,799873,0.008933102,7.952118e-07,0.0,393.4146341463415,0.15848912326961107,7.952118e-07,3.8964686
22.401196869229672,6.142857142857143,7879.243838071823,3.857142857142857,3331,809895,0.010174245,5.480957e-07,0.0,388.8095238095238,0.1633061224489796,5.480957e-07,3.7988443
22.55586503784688,6.571428571428571,7971.458461761475,3.4285714285714284,3373,819917,0.010174863,1.3529205e-06,0.0,387.6190476190476,0.16315192743764173,1.3529205e-06,3.7012541
22.53753647892475,6.5476190476190474,8062.504363059998,3.4523809523809526,3415,829975,0.008933067,1.3441468e-06,0.0,389.5238095238095,0.15580952380952381,1.3441468e-06,3.7988443
23.087733850796173,6.463414634146342,8161.033606052399,3.5365853658536586,3456,839992,0.0101747215,1.4476776e-06,0.0,401.4634146341463,0.16325968436154947,1.4476776e-06,3.7012541
22.683042446766816,6.317073170731708,8251.88366985321,3.682926829268293,3497,849766,0.008933204,5.812073e-07,0.0,393.4146341463415,0.15855198973042361,5.812073e-07,3.7988443
22.425112878212484,6.523809523809524,8354.836103916168,3.4761904761904763,3539,859786,0.010174863,2.8764343e-06,0.0,389.76190476190476,0.1559047619047619,2.8764343e-06,3.7012541
23.56228279631849,6.45,8447.612554073334,3.55,3579,869786,0.008933204,2.7249907e-06,0.0,408.25,0.16329999999999997,2.7249907e-06,3.7988443
23.898438632406986,6.2,8548.091976642609,3.8,3619,879786,0.010174863,3.5247803e-07,0.0,416.5,0.16659999999999997,3.5247803e-07,3.7012541
22.030034992089096,6.682926829268292,8643.885677337646,3.317073170731707,3660,889811,0.008933102,1.7362976e-06,0.0,387.5609756097561,0.15678048780487808,1.7362976e-06,3.7988443
23.072011165951277,6.341463414634147,8746.569466114044,3.658536585365854,3701,899846,0.008933204,2.1181488e-06,0.0,398.0487804878049,0.16221602787456446,2.1181488e-06,3.8964791
23.024627461210475,6.476190476190476,8846.343442678452,3.5238095238095237,3743,909916,0.010174781,1.0253906e-06,0.0,400.7142857142857,0.16028571428571428,1.0253906e-06,3.7988443
23.251068180020173,6.571428571428571,8941.008145332336,3.4285714285714284,3785,919966,0.008933034,9.767151e-07,0.0,399.2857142857143,0.16063122923588033,9.767151e-07,3.8964791
22.800507481299576,6.375,9038.637310266495,3.625,3825,929966,0.008933204,6.543732e-07,0.0,399.75,0.1599,6.543732e-07,3.9940653
23.12130553469983,6.475,9128.938997507095,3.525,3865,939805,0.008933102,1.0879517e-06,0.0,399.25,0.16205168539325843,1.0879517e-06,4.091615
