optimgain,TimestepsSoFar,AttC,MtR,meankl,AttNC,surrgain,entropy,TtR,Fce,TimeElapsed,entloss,EpisodesSoFar
0.0030372536,3369924,0.09090909090909091,19.510284690901926,0.0058881235,0.9090909090909091,0.0030372536,0.31483582,34.25,0.16210695187165777,27565.708440065384,0.0,15148
0.004140575,3379940,0.09090909090909091,19.01712694139741,0.0074253916,0.9090909090909091,0.004140575,0.28557363,32.63636363636363,0.13054545454545455,27651.076184272766,0.0,15192
0.0027634208,3389942,0.047619047619047616,19.344074571186464,0.0050258627,0.9523809523809523,0.0027634208,0.30025733,34.11904761904762,0.13647619047619047,27724.618208169937,0.0,15234
0.0030671922,3399953,0.06976744186046512,19.254686253644,0.00544549,0.9302325581395349,0.0030671922,0.3086551,33.906976744186046,0.14060981912144704,27811.04087996483,0.0,15277
0.0044143004,3409956,0.06976744186046512,18.49583779452284,0.007983083,0.9302325581395349,0.0044143004,0.25031927,32.58139534883721,0.1303255813953488,27890.29546046257,0.0,15320
0.0044841357,3419956,0.0,19.08342741786255,0.004522812,1.0,0.0044841357,0.2830339,33.9,0.13560000000000003,27976.045478343964,0.0,15360
0.0040839203,3429761,0.11363636363636363,18.216614515334342,0.009084604,0.8863636363636364,0.0040839203,0.23525997,31.954545454545453,0.13258825132888102,28050.43818640709,0.0,15404
0.0026503152,3439763,0.047619047619047616,18.818657429130525,0.004291333,0.9523809523809523,0.0026503152,0.22838704,33.61904761904762,0.1344761904761905,28127.720265626907,0.0,15446
0.0029355285,3449763,0.0,20.68038472489051,0.005947793,1.0,0.0029355285,0.23847349,36.475,0.1459,28210.81349849701,0.0,15486
0.0038127967,3459765,0.047619047619047616,18.51638304192288,0.0060828263,0.9523809523809523,0.0038127967,0.22951594,32.333333333333336,0.12933333333333336,28290.115865945816,0.0,15528
0.0049149217,3469768,0.06976744186046512,19.322602235495285,0.006429823,0.9302325581395349,0.0049149217,0.20786269,33.348837209302324,0.13339534883720933,28374.429231405258,0.0,15571
0.003787146,3479769,0.024390243902439025,20.248298300217645,0.0038528014,0.975609756097561,0.003787146,0.18252614,35.36585365853659,0.14146341463414638,28454.757771015167,0.0,15612
0.003544097,3489770,0.024390243902439025,21.37422996059804,0.0064235,0.975609756097561,0.003544097,0.15390208,37.09756097560975,0.14839024390243905,28535.58021712303,0.0,15653
0.0017413567,3499789,0.1111111111111111,19.43271150564247,0.0026206574,0.8888888888888888,0.0017413567,0.14708497,33.82222222222222,0.13946666666666666,28619.149691820145,0.0,15698
0.0023984169,3509793,0.047619047619047616,19.966763882411687,0.0061313454,0.9523809523809523,0.0023984169,0.117210545,35.30952380952381,0.14123809523809522,28696.930769443512,0.0,15740
0.0031315216,3519801,0.047619047619047616,20.416813256842506,0.008584776,0.9523809523809523,0.0031315216,0.1299843,35.0,0.14,28774.15905189514,0.0,15782
