meankl,EpisodesSoFar,Ptt,AttNC,AttC,surrgain,entloss,TtR,optimgain,entropy,MtR,Tmt,Tmc,Tbt,TimeElapsed,MpbtN,TimestepsSoFar,MpbtA
0.009689776,16985,80.19696915242032,0.8205128205128205,0.1794871794871795,0.0028900735,0.0,-64.0,0.0028900735,0.1857733,-36.47679620669176,82.46153846153847,21.487179487179485,337762.46153846156,45595.26812314987,77.5975473541763,3499797,22.402452645823686
0.009618061,17025,79.65780972120248,0.675,0.325,0.006244571,0.0,-63.2,0.006244571,0.19494902,-35.140533261232726,81.925,22.075,335564.8,45700.59123420715,77.12111295323645,3509966,22.878887046763552
0.008368254,17071,79.88660625555448,0.4782608695652174,0.5217391304347826,0.0051253634,0.0,-65.84782608695652,0.0051253634,0.16306369,-39.68159734045687,82.15217391304348,21.82608695652174,336495.3043478261,45826.56986260414,80.1863974097542,3519830,19.813602590245804
0.009774493,17111,80.00505365311983,0.875,0.125,0.005012497,0.0,-64.025,0.005012497,0.16272868,-37.0716514806219,82.275,21.7,336998.4,45932.67879152298,77.8112654857554,3529853,22.188734514244594
0.009595422,17150,79.93620526116656,0.8717948717948718,0.1282051282051282,0.00562433,0.0,-64.28205128205128,0.00562433,0.16735175,-36.625779039163945,82.17948717948718,21.76923076923077,336607.1794871795,46038.3579826355,78.23307779331309,3539870,21.766922206686907
0.010805377,17188,79.52714386416447,0.8947368421052632,0.10526315789473684,0.004276498,0.0,-62.473684210526315,0.004276498,0.18449236,-35.96495465275326,81.76315789473684,22.210526315789473,334901.8947368421,46144.22231936455,76.38331216620384,3549940,23.61668783379616
0.009682213,17229,80.71892524609294,0.6585365853658537,0.34146341463414637,0.0029226136,0.0,-64.6829268292683,0.0029226136,0.17322327,-37.32263011223923,83.02439024390245,20.926829268292682,340067.9024390244,46255.148290872574,77.90748268524555,3559893,22.092517314754453
0.009214766,17270,80.33378706622901,0.7804878048780488,0.21951219512195122,0.0035881225,0.0,-64.39024390243902,0.0035881225,0.15962574,-37.14024734574125,82.60975609756098,21.341463414634145,338369.56097560975,46363.53871822357,77.94995200763634,3569896,22.050047992363652
0.00974203,17309,79.87014139962476,0.9230769230769231,0.07692307692307693,0.004726993,0.0,-64.12820512820512,0.004726993,0.18288907,-36.25533852852911,82.15384615384616,21.846153846153847,336502.1538461539,46468.395718574524,78.04899312664516,3579921,21.95100687335485
0.008351631,17347,79.05745744101435,0.7105263157894737,0.2894736842105263,0.003799408,0.0,-62.0,0.003799408,0.16415547,-34.96245147241294,81.23684210526316,22.710526315789473,332746.1052631579,46574.133123636246,76.29566272758674,3589852,23.704337272413266
0.008593377,17387,79.11597017948165,0.85,0.15,0.0035879505,0.0,-63.2,0.0035879505,0.14769568,-36.78696195717073,81.3,22.65,333004.8,46682.48338699341,77.70648342674963,3599842,22.29351657325038
0.011942111,17425,80.23962783933685,0.9736842105263158,0.02631578947368421,0.008825683,0.0,-64.23684210526316,0.008825683,0.16675021,-36.8672815409018,82.52631578947368,21.44736842105263,338027.7894736842,46785.95822429657,77.83729263682024,3609745,22.16270736317974
0.011017919,17464,80.12574905567898,0.9230769230769231,0.07692307692307693,0.0052014496,0.0,-63.02564102564103,0.0052014496,0.16720915,-35.88943761178886,82.38461538461539,21.564102564102566,337447.3846153846,46891.11668610573,76.51214943590053,3619825,23.487850564099478
