surrgain,TimestepsSoFar,optimgain,meankl,EpisodesSoFar,entloss,MtR,AttNC,TtR,TimeElapsed,Fce,entropy,AttC
0.00026606902,2009836,0.00026606902,0.0024779958,9342,0.0,15.471455841229423,1.6,80.2,10587.34017920494,0.1139898153756422,1.3547755,1.4
0.0010605865,2019885,0.0010605865,0.0059240693,9385,0.0,15.637263649748151,1.7209302325581395,82.81395348837209,10639.915136814117,0.11753410069689144,1.3222781,1.2790697674418605
0.0002786911,2029891,0.0002786911,0.0046650134,9427,0.0,15.103155697769358,1.7380952380952381,80.35714285714286,10693.491037845612,0.11498412698412701,1.3223498,1.2619047619047619
9.752808e-05,2039915,9.752808e-05,0.0060985503,9471,0.0,14.833195311370275,1.75,77.31818181818181,10742.276196956635,0.11086013986013989,1.3162119,1.25
0.000848881,2049936,0.000848881,0.0011591611,9514,0.0,16.10539268276371,1.7674418604651163,84.34883720930233,10796.292400121689,0.12200516795865636,1.3219831,1.2325581395348837
0.001010141,2059973,0.001010141,0.0068350825,9559,0.0,15.639077598360986,1.711111111111111,81.6,10843.395701885223,0.11073131313131318,1.2987158,1.288888888888889
0.0014909963,2069890,0.0014909963,0.003006907,9605,0.0,14.392109960262953,1.6304347826086956,75.3913043478261,10897.834971666336,0.12028176707528324,1.3011596,1.3695652173913044
0.0007055669,2079942,0.0007055669,0.0030926967,9651,0.0,14.623634088972947,1.8478260869565217,75.65217391304348,10947.23536491394,0.13257418909592822,1.2952144,1.1521739130434783
0.0016014043,2089943,0.0016014043,0.0049530007,9692,0.0,17.539543943809708,1.8048780487804879,93.21951219512195,11000.711729288101,0.12429268292682927,1.2930787,1.1951219512195121
0.00091419934,2099934,0.00091419934,0.0040348303,9738,0.0,15.306520484385223,1.673913043478261,79.04347826086956,11051.041044950485,0.11604552645619788,1.3112799,1.326086956521739
0.0011339722,2109760,0.0011339722,0.006402309,9781,0.0,15.667002029579333,1.5813953488372092,81.69767441860465,11100.58053612709,0.11957285239677272,1.3139546,1.4186046511627908
0.001124117,2119764,0.001124117,0.0010650879,9823,0.0,15.352867810175585,1.8333333333333333,81.28571428571429,11150.97725367546,0.10838095238095241,1.3129858,1.1666666666666667
0.0014631373,2129924,0.0014631373,0.013516369,9871,0.0,13.590614608260807,1.6458333333333333,70.5,11204.918199777603,0.10040072083879426,1.3240846,1.3541666666666667
0.00019832663,2139761,0.00019832663,0.0037899562,9917,0.0,15.351536717312658,1.7391304347826086,79.43478260869566,11254.050915718079,0.12735125743821393,1.3091228,1.2608695652173914
0.0020602127,2149767,0.0020602127,0.0037703658,9959,0.0,15.880001053155686,2.0,83.35714285714286,11307.959283351898,0.11898412698412701,1.3024783,1.0
0.0015843292,2159898,0.0015843292,0.0038914937,10006,0.0,14.659976334997795,1.4680851063829787,76.7872340425532,11360.009189844131,0.10906862493779876,1.3220619,1.5319148936170213
0.0010625233,2169914,0.0010625233,0.004211555,10048,0.0,16.22628488310274,1.9523809523809523,85.28571428571429,11412.160693645477,0.11702040816326532,1.3097638,1.0476190476190477
0.0020434244,2179971,0.0020434244,0.0067756227,10093,0.0,15.932221912993185,1.711111111111111,82.8,11460.166126966476,0.11243218390804599,1.2906388,1.288888888888889
0.0007649913,2189790,0.0007649913,0.0012260695,10137,0.0,14.67678746626325,1.6136363636363635,75.3409090909091,11514.303004264832,0.11623934532490686,1.3147807,1.3863636363636365
0.0006467087,2199906,0.0006467087,0.00091332017,10185,0.0,15.106910871591571,1.5208333333333333,77.9375,11564.76938700676,0.11764630656297326,1.3299563,1.4791666666666667
0.000907608,2209913,0.000907608,0.0043741493,10228,0.0,15.188724943813197,1.7674418604651163,78.90697674418605,11619.095477104187,0.10976744186046515,1.3091627,1.2325581395348837
8.8460794e-05,2219781,8.8460794e-05,0.0030604354,10273,0.0,14.457916632579764,1.7333333333333334,74.93333333333334,11666.990790367126,0.10533662551440331,1.2784294,1.2666666666666666
0.0015287331,2229796,0.0015287331,0.010377769,10318,0.0,13.686571095198772,1.8888888888888888,71.93333333333334,11721.772308826447,0.09591111111111114,1.3201401,1.1111111111111112
