EpisodesSoFar,meankl,AttC,entropy,MtR,entloss,surrgain,AttNC,TimeElapsed,TimestepsSoFar,TtR,Fce,optimgain
12228,0.0039016404,0.07142857142857142,0.40346992,16.24631399414192,0.0,0.003722863,0.9285714285714286,9881.285694599152,2559753,28.238095238095237,0.11502164502164507,0.003722863
12272,0.0048481817,0.09090909090909091,0.3872841,15.664538281606674,0.0,0.0047823563,0.9090909090909091,9917.242815732956,2569757,26.954545454545453,0.13045454545454546,0.0047823563
12316,0.003801099,0.09090909090909091,0.36409342,16.01088932670726,0.0,0.0036521575,0.9090909090909091,9954.576958417892,2579761,27.84090909090909,0.11136363636363641,0.0036521575
12359,0.0037918037,0.06976744186046512,0.3458897,14.870036152218935,0.0,0.0039058258,0.9302325581395349,9994.94133067131,2589764,26.46511627906977,0.12902325581395352,0.0039058258
12402,0.005132992,0.06976744186046512,0.37533173,15.244656678414144,0.0,0.0057526147,0.9302325581395349,10029.567350387573,2599767,26.488372093023255,0.10595348837209306,0.0057526147
12447,0.003445742,0.1111111111111111,0.35287586,14.48613241404006,0.0,0.0038887984,0.8888888888888888,10066.496169090271,2609774,25.266666666666666,0.10838518518518521,0.0038887984
12490,0.0034584994,0.06976744186046512,0.34940994,15.692154916551988,0.0,0.005336393,0.9302325581395349,10103.206696987152,2619777,27.72093023255814,0.11088372093023259,0.005336393
12532,0.0035242573,0.047619047619047616,0.33700213,16.388427603423867,0.0,0.0054272157,0.9523809523809523,10138.483757019043,2629779,29.071428571428573,0.1162857142857143,0.0054272157
12572,0.0043327594,0.0,0.32151338,16.548071879229227,0.0,0.0043697204,1.0,10175.843567609787,2639779,28.95,0.11580000000000004,0.0043697204
12613,0.0026414054,0.024390243902439025,0.3181448,16.38726389738844,0.0,0.0041395277,0.975609756097561,10215.414695739746,2649780,28.585365853658537,0.11434146341463418,0.0041395277
12657,0.003877129,0.09090909090909091,0.30592352,15.437377607043423,0.0,0.003406952,0.9090909090909091,10251.297828674316,2659784,27.113636363636363,0.10845454545454548,0.003406952
12700,0.0033994194,0.06976744186046512,0.3322097,15.333363412289444,0.0,0.004830321,0.9302325581395349,10290.229629278183,2669787,27.302325581395348,0.10920930232558143,0.004830321
12744,0.0023121196,0.09090909090909091,0.32275507,14.407806436017035,0.0,0.0038647202,0.9090909090909091,10324.985666751862,2679791,25.09090909090909,0.10036363636363642,0.0038647202
12786,0.0034901542,0.047619047619047616,0.3235824,15.820182074482018,0.0,0.003777835,0.9523809523809523,10360.703523874283,2689793,27.595238095238095,0.1340952380952381,0.003777835
12828,0.0029201007,0.047619047619047616,0.32025152,16.078392065312137,0.0,0.0041990867,0.9523809523809523,10401.722175121307,2699795,28.238095238095237,0.11295238095238101,0.0041990867
12872,0.005159568,0.09090909090909091,0.3625836,15.590709596929953,0.0,0.005070691,0.9090909090909091,10437.26671051979,2709801,27.431818181818183,0.10972727272727276,0.005070691
12918,0.0051181396,0.13043478260869565,0.3289597,14.596402491459324,0.0,0.0046421494,0.8695652173913043,10474.004766225815,2719807,25.456521739130434,0.10182608695652177,0.0046421494
12961,0.0034356834,0.06976744186046512,0.3408768,14.342732046590323,0.0,0.0041337237,0.9302325581395349,10510.816086053848,2729810,25.41860465116279,0.1016744186046512,0.0041337237
