AttNC,AttC,EpisodesSoFar,entloss,MtR,optimgain,Fce,TimeElapsed,entropy,TtR,TimestepsSoFar,surrgain,meankl
1.4,1.6,2528,0.0,17.7510876923393,0.0002814743,0.15498375297758185,2552.076719760895,1.5611247,93.06666666666666,499772,0.0002814743,0.0023877742
1.2884615384615385,1.7115384615384615,2580,0.0,16.562054915314025,0.00047051036,0.14651024457936615,2601.8902463912964,1.5343349,85.4423076923077,509950,0.00047051036,0.0045072343
1.26,1.74,2630,0.0,16.60947965513052,0.0005034383,0.13122219910116034,2650.9746181964874,1.5325601,86.58,519925,0.0005034383,0.0050081383
1.3181818181818181,1.6818181818181819,2674,0.0,19.394267071991635,0.0007138601,0.14101849881579695,2698.799015522003,1.5243253,100.5,529850,0.0007138601,0.0036092803
1.2291666666666667,1.7708333333333333,2722,0.0,17.047789138550545,0.0005120173,0.13027041287479352,2748.491857767105,1.5032966,88.5,539987,0.0005120173,0.0073702596
0.7833333333333333,2.216666666666667,2782,0.0,14.996747050486782,0.0006557943,0.13979162888269672,2799.6282875537872,1.4731106,76.3,549923,0.0006557943,0.0069056065
1.4772727272727273,1.5227272727272727,2826,0.0,18.858362264515932,0.00047314327,0.1365590386624869,2847.903930425644,1.4599979,99.27272727272727,559997,0.00047314327,0.006844649
0.88,2.12,2876,0.0,17.97646157682051,0.000404246,0.1447530077507616,2893.3677356243134,1.4265894,93.84,569992,0.000404246,0.0033748916
0.5522388059701493,2.4477611940298507,2943,0.0,13.796627253781928,0.00072800624,0.13190724543998694,2946.516560792923,1.4474643,67.11940298507463,579983,0.00072800624,0.0049226643
1.0980392156862746,1.9019607843137254,2994,0.0,16.550051711380895,0.00068710226,0.13417996242099003,2996.7573597431183,1.4475074,85.52941176470588,589972,0.00068710226,0.0027667638
1.5,1.5,3036,0.0,19.520718260704587,0.00031837972,0.1486681140541323,3047.7201664447784,1.4395773,101.57142857142857,599805,0.00031837972,0.0063047665
1.1538461538461537,1.8461538461538463,3088,0.0,16.16086331919727,0.00061785534,0.15367324618563385,3094.923220872879,1.3845216,83.88461538461539,609996,0.00061785534,0.004385604
1.26,1.74,3138,0.0,15.78855496293489,0.00035384114,0.14657948427624184,3146.051546573639,1.3817599,82.86,619877,0.00035384114,0.0025402063
0.9629629629629629,2.037037037037037,3192,0.0,15.654888385872013,0.001072425,0.13462029395169195,3195.488444328308,1.3791118,82.22222222222223,629960,0.001072425,0.008310304
0.6031746031746031,2.3968253968253967,3255,0.0,14.829165296001484,0.00084359816,0.14292360448413371,3247.438000202179,1.3599945,74.14285714285714,639887,0.00084359816,0.009647258
1.2553191489361701,1.7446808510638299,3302,0.0,17.792052335861644,0.000706955,0.15306153821023694,3298.28111243248,1.3415525,92.1063829787234,649838,0.000706955,0.007363501
1.5434782608695652,1.4565217391304348,3348,0.0,18.130754573948547,0.00057019247,0.14381953605240722,3350.658318042755,1.3828155,94.23913043478261,659900,0.00057019247,0.0049115364
1.2083333333333333,1.7916666666666667,3396,0.0,17.07572753932106,0.0006058228,0.13375515420092557,3402.2724425792694,1.3657218,87.625,669917,0.0006058228,0.005394231
1.3617021276595744,1.6382978723404256,3443,0.0,17.405797789805522,0.0004652949,0.1407887908807219,3451.480841398239,1.3750392,88.97872340425532,679867,0.0004652949,0.0057367207
0.9607843137254902,2.0392156862745097,3494,0.0,16.74180640556887,0.0007417155,0.14194652766562868,3503.1947367191315,1.3856683,86.47058823529412,689884,0.0007417155,0.006062746
