AttNC,entloss,TtR,TimestepsSoFar,Fce,optimgain,AttC,meankl,MtR,EpisodesSoFar,surrgain,TimeElapsed,entropy
1.6458333333333333,0.0,75.125,1719881,0.1314888262367324,0.0011073649,1.3541666666666667,0.0015851256,14.331372565969339,7940,0.0011073649,10228.61425113678,1.3320193
1.7380952380952381,0.0,95.07142857142857,1729897,0.1282539682539683,0.00095655315,1.2619047619047619,0.0037365435,18.274637397217393,7982,0.00095655315,10288.29918885231,1.3245008
2.0,0.0,80.35714285714286,1739909,0.13499567099567095,0.0006163279,1.0,0.0009765878,15.47479203698207,8024,0.0006163279,10353.340248823166,1.3417851
1.565217391304348,0.0,83.54347826086956,1749808,0.1194898713108432,0.0010443156,1.434782608695652,0.0013908803,16.036691627880078,8070,0.0010443156,10406.189592838287,1.3382099
1.2727272727272727,0.0,65.78181818181818,1759822,0.12492021970321715,0.001245337,1.7272727272727273,0.0033202376,12.917687848184318,8125,0.001245337,10464.716945648193,1.3609159
1.5625,0.0,76.0625,1769894,0.10681662080036695,0.0003879416,1.4375,0.007181659,14.540561817762345,8173,0.0003879416,10527.655980825424,1.3684198
1.471698113207547,0.0,66.16981132075472,1779983,0.11042558773080417,0.0008383255,1.528301886792453,0.0010432741,12.583433141067992,8226,0.0008383255,10595.038118600845,1.3700323
1.8837209302325582,0.0,77.65116279069767,1789795,0.11623523122159851,0.00054909464,1.1162790697674418,0.00067013636,14.93636869963396,8269,0.00054909464,10648.702518224716,1.369912
1.44,0.0,70.56,1799921,0.10485025964995927,0.00056090776,1.56,0.007678023,13.834863972002598,8319,0.00056090776,10705.896123170853,1.3781857
1.75,0.0,81.47727272727273,1809943,0.11179220779220782,0.0007292562,1.25,0.0036283447,15.393586130922206,8363,0.0007292562,10762.51303076744,1.3799282
1.813953488372093,0.0,81.69767441860465,1819974,0.11144186046511631,0.0012964122,1.186046511627907,0.0047149803,15.810443500247727,8406,0.0012964122,10830.384691476822,1.3868438
1.6222222222222222,0.0,78.2,1829882,0.1195654511209606,0.00093203224,1.3777777777777778,0.002833261,14.684261237462817,8451,0.00093203224,10890.474712133408,1.3821563
1.930232558139535,0.0,88.88372093023256,1839895,0.1205327695560254,0.0005039154,1.069767441860465,0.004377235,17.32783473216039,8494,0.0005039154,10944.382784605026,1.3782951
1.625,0.0,74.75,1849798,0.11639347376377453,0.0004503596,1.375,0.0014796247,14.538558440478079,8542,0.0004503596,11006.492987155914,1.3763815
1.5957446808510638,0.0,79.91489361702128,1859843,0.11501114488348532,0.00084788055,1.4042553191489362,0.0040102205,15.313446261797335,8589,0.00084788055,11067.211601018906,1.3748901
1.5319148936170213,0.0,78.76595744680851,1869803,0.11626640026640023,0.00046008555,1.4680851063829787,0.0016898445,15.324693519069381,8636,0.00046008555,11127.129055976868,1.3735746
