EpisodesSoFar,entloss,TimeElapsed,MtR,AttC,Fce,TtR,entropy,AttNC,surrgain,meankl,TimestepsSoFar,optimgain
7590,0.0,5020.2519454956055,21.778753634848325,0.0,0.15189999999999998,37.975,0.051555604,1.0,0.003979086,0.005902635,1609980,0.003979086
7630,0.0,5051.097187757492,21.753079546965076,0.0,0.1539,38.475,0.05368041,1.0,0.0028656234,0.0046638856,1619980,0.0028656234
7671,0.0,5081.915645360947,19.53926283435791,0.024390243902439025,0.13912195121951224,34.78048780487805,0.05368623,0.975609756097561,0.005683078,0.007856215,1629981,0.005683078
7712,0.0,5112.263858556747,20.525398418666978,0.024390243902439025,0.14380487804878048,35.951219512195124,0.05071878,0.975609756097561,0.0032400333,0.0070514665,1639982,0.0032400333
7753,0.0,5143.118744134903,19.91330577155234,0.024390243902439025,0.16370731707317074,34.853658536585364,0.06619525,0.975609756097561,0.0047136713,0.0051566237,1649983,0.0047136713
7794,0.0,5173.763232946396,20.323763606547107,0.024390243902439025,0.144,36.0,0.03126736,0.975609756097561,0.005425819,0.006998494,1659984,0.005425819
7835,0.0,5204.593765258789,20.864851806944294,0.024390243902439025,0.1495609756097561,37.390243902439025,0.023979444,0.975609756097561,0.0036793244,0.005178792,1669985,0.0036793244
7875,0.0,5234.723453044891,20.437799004471696,0.025,0.14362702702702704,35.475,0.01921461,0.975,0.0047105406,0.007700993,1679772,0.0047105406
7915,0.0,5266.202778816223,20.884896399719494,0.0,0.1469,36.725,-0.017372131,1.0,0.005025014,0.006970408,1689772,0.005025014
7955,0.0,5297.276201248169,21.296913724219177,0.0,0.1516,37.9,0.0033277313,1.0,0.00505364,0.0066767717,1699772,0.00505364
7997,0.0,5327.892851114273,19.47857596215923,0.047619047619047616,0.13866666666666666,34.666666666666664,-0.009656389,0.9523809523809523,0.0038028138,0.0062133432,1709774,0.0038028138
8038,0.0,5358.330122470856,19.63829029073407,0.024390243902439025,0.1377560975609756,34.4390243902439,-0.005092219,0.975609756097561,0.006856451,0.008010809,1719775,0.006856451
8078,0.0,5389.712877511978,21.732052387518568,0.0,0.15290000000000004,38.225,-0.018767662,1.0,0.004463324,0.007145102,1729775,0.004463324
8118,0.0,5420.43522810936,21.050706352242752,0.0,0.14780000000000001,36.95,-0.024153693,1.0,0.004408934,0.005282762,1739775,0.004408934
8158,0.0,5451.653390645981,20.533744093106307,0.0,0.1436,35.9,-0.025595605,1.0,0.00450221,0.0069293473,1749775,0.00450221
8199,0.0,5482.832287788391,21.539712451227558,0.024390243902439025,0.15034146341463414,37.58536585365854,-0.012781024,0.975609756097561,0.0039060242,0.004911691,1759776,0.0039060242
