entloss,meankl,TtR,TimeElapsed,Tmt,surrgain,MtR,Ptt,AttNC,AttC,EpisodesSoFar,entropy,MpbtA,optimgain,Tmc,TimestepsSoFar,Tbt,MpbtN
0.0,0.005459146,-168.0625,6341.043961048126,79.375,0.0021752035,-33.8224570730247,77.28651349467813,0.6875,2.3125,2723,0.39300725,29.4517572835619,0.0021752035,24.625,109783,325120.0,70.54824271643811
0.0,0.00901265,-155.57142857142858,6458.299815416336,78.73809523809524,0.0051453235,-30.66997551648614,76.69019588003292,1.6428571428571428,1.3571428571428572,2765,0.39819923,34.11932042932194,0.0051453235,25.261904761904763,119836,322511.2380952381,65.88067957067807
0.0,0.0056669167,-163.35849056603774,6589.622074365616,79.11320754716981,0.002984902,-33.11453892607174,77.04362595787794,0.6226415094339622,2.3773584905660377,2818,0.3802236,31.21836385097176,0.002984902,24.88679245283019,129975,324047.69811320753,68.78163614902824
0.0,0.0062313834,-149.1818181818182,6706.939484357834,78.43181818181819,0.002444398,-30.258741151158983,76.4047713593884,1.4545454545454546,1.5454545454545454,2862,0.38436928,36.60229095399239,0.002444398,25.568181818181817,139994,321256.7272727273,63.3977090460076
0.0,0.0052163596,-158.14285714285714,6836.136249780655,79.14285714285714,0.0019878524,-31.54339581887568,77.06791527459723,0.4489795918367347,2.5510204081632653,2911,0.37517902,33.43503606897969,0.0019878524,24.857142857142858,149949,324169.14285714284,66.56496393102032
0.0,0.0069381134,-153.13953488372093,6952.447776317596,79.13953488372093,0.0036859578,-30.71444226408148,77.06893584444671,1.558139534883721,1.441860465116279,2954,0.40416873,35.52140033070591,0.0036859578,24.86046511627907,159851,324155.5348837209,64.47859966929408
0.0,0.0062730717,-160.58823529411765,7082.251831769943,79.52941176470588,0.00274923,-31.66825505956525,77.43009441263601,0.45098039215686275,2.549019607843137,3005,0.37011796,32.71963116243944,0.00274923,24.470588235294116,169962,325752.4705882353,67.28036883756056
0.0,0.0064864946,-153.90697674418604,7196.521649122238,79.48837209302326,0.002508077,-30.630727137945833,77.37905733343916,1.6511627906976745,1.3488372093023255,3048,0.3861372,35.4727769274166,0.002508077,24.53488372093023,179901,325584.37209302327,64.52722307258337
0.0,0.0070086396,-157.0408163265306,7322.316601991653,79.10204081632654,0.0040061115,-29.918967378258788,77.03015362486005,0.4489795918367347,2.5510204081632653,3097,0.36644483,33.8549079279714,0.0040061115,24.897959183673468,189926,324001.9591836735,66.14509207202859
0.0,0.009023598,-151.57142857142858,7438.701789855957,78.64285714285714,0.0029521063,-29.526741604263034,76.6031970886337,1.8571428571428572,1.1428571428571428,3139,0.37607217,35.75949841566329,0.0029521063,25.357142857142858,199978,322121.14285714284,64.24050158433671
0.0,0.0042105247,-158.29787234042553,7556.813596010208,79.72340425531915,0.00176557,-31.33677838754623,77.61235640237086,0.7872340425531915,2.2127659574468086,3186,0.37174386,33.910621055739405,0.00176557,24.27659574468085,209871,326547.06382978725,66.08937894426057
0.0,0.007516914,-152.4418604651163,7671.2549264431,79.27906976744185,0.0032887147,-30.395500871181728,77.21708067154296,1.930232558139535,1.069767441860465,3229,0.3866146,35.92837170493025,0.0032887147,24.697674418604652,219811,324727.06976744183,64.07162829506974
0.0,0.0054212855,-154.4375,7793.830081939697,78.95833333333333,0.0028669378,-30.972371199096543,76.89770875813232,0.7291666666666666,2.2708333333333335,3277,0.37172726,34.85459993554585,0.0028669378,25.041666666666668,229883,323413.3333333333,65.14540006445415
0.0,0.002478022,-144.41860465116278,7912.960013628006,77.90697674418605,0.0011113494,-28.824528474374457,75.91839107751112,1.441860465116279,1.558139534883721,3320,0.3491421,38.26802902603586,0.0011113494,26.093023255813954,239770,319106.9767441861,61.73197097396414
0.0,0.00373358,-143.86666666666667,8026.128863811493,77.77777777777777,0.0021461374,-29.163400223772467,75.79597197258522,1.4,1.6,3365,0.33116746,38.432297697727286,0.0021461374,26.22222222222222,249937,318577.77777777775,61.56770230227269
0.0,0.0031493618,-149.37209302325581,8144.218968629837,77.93023255813954,0.001190802,-29.730957265483276,75.93969859465679,1.5116279069767442,1.4883720930232558,3408,0.34587285,36.116447003004346,0.001190802,26.069767441860463,259845,319202.23255813954,63.88355299699567
0.0,0.009066691,-144.73333333333332,8260.106529474258,77.84444444444445,0.004087592,-29.333438514599997,75.84612185170167,1.6222222222222222,1.3777777777777778,3453,0.3678959,38.04774365753421,0.004087592,26.177777777777777,269909,318850.84444444446,61.95225634246578
