surrgain,AttNC,EpisodesSoFar,TimestepsSoFar,MtR,TtR,entropy,TimeElapsed,Fce,meankl,AttC,entloss,optimgain
0.0015596775,1.6666666666666667,1145,239930,18.20412206755589,96.46666666666667,1.3099489,1505.8105306625366,0.13162254572601723,0.0023853967,1.3333333333333333,0.0,0.0015596775
0.0014827189,1.7045454545454546,1189,249978,17.73101161427741,94.36363636363636,1.3202628,1568.143164396286,0.13688705917738175,0.002197068,1.2954545454545454,0.0,0.0014827189
0.0015500247,1.6363636363636365,1233,259947,17.403594702466094,90.68181818181819,1.3319468,1633.5738036632538,0.13174185041388908,0.0026510365,1.3636363636363635,0.0,0.0015500247
0.0009866274,1.511111111111111,1278,269989,18.28647439091718,93.33333333333333,1.3379399,1694.97518324852,0.13390607382199213,0.0014467011,1.488888888888889,0.0,0.0009866274
0.0013636271,1.5681818181818181,1322,279954,18.48856078493518,95.72727272727273,1.3355745,1756.700710773468,0.13677096883882742,0.0017388788,1.4318181818181819,0.0,0.0013636271
0.0015232529,1.4666666666666666,1367,289858,18.056849323139,93.86666666666666,1.3382576,1822.7273688316345,0.131669426011455,0.0022028747,1.5333333333333334,0.0,0.0015232529
0.0013267746,1.8604651162790697,1410,299903,18.13966567602772,95.5813953488372,1.3418435,1882.1689603328705,0.1324041700080193,0.0017967916,1.1395348837209303,0.0,0.0013267746
0.0014337606,1.5833333333333333,1458,309951,15.914590557102118,84.4375,1.324425,1946.4514198303223,0.13005555555555556,0.0034272694,1.4166666666666667,0.0,0.0014337606
0.001200354,1.7954545454545454,1502,319963,16.368455686199496,85.8409090909091,1.3268919,2005.4618020057678,0.1144545454545455,0.0024857,1.2045454545454546,0.0,0.001200354
0.0014228479,1.5454545454545454,1546,329766,16.47064098591355,86.6590909090909,1.3385508,2069.4303777217865,0.12367253176930598,0.00219234,1.4545454545454546,0.0,0.0014228479
0.0019430792,1.9761904761904763,1588,339770,16.4219512868014,87.28571428571429,1.347851,2131.4789083004,0.1163809523809524,0.0027434537,1.0238095238095237,0.0,0.0019430792
0.0010478729,1.5106382978723405,1635,349831,16.37609950432678,86.1063829787234,1.3268299,2188.6227128505707,0.12259791108264743,0.0016320725,1.4893617021276595,0.0,0.0010478729
0.0017338903,1.95,1675,359831,18.03635094406159,95.925,1.3426024,2251.571504831314,0.12789999999999999,0.0025604502,1.05,0.0,0.0017338903
0.0015424347,1.673913043478261,1721,369917,16.96660225048047,87.84782608695652,1.3435882,2315.508401632309,0.14507289272911114,0.0024016963,1.326086956521739,0.0,0.0015424347
0.0009908874,2.0,1762,379946,17.79763961460516,93.58536585365853,1.3422472,2381.0885820388794,0.12552396972245586,0.0012008767,1.0,0.0,0.0009908874
0.0012403035,1.5957446808510638,1809,389770,14.879934621443361,78.63829787234043,1.3393525,2444.735071182251,0.11379672325598639,0.0032453225,1.4042553191489362,0.0,0.0012403035
0.0010510554,1.8095238095238095,1851,399786,18.01124496617163,94.92857142857143,1.3329263,2501.709269762039,0.13242781557067274,0.002998842,1.1904761904761905,0.0,0.0010510554
0.0012705035,1.608695652173913,1897,409834,16.52160614947019,86.34782608695652,1.3484266,2563.8800094127655,0.1416521739130435,0.0022265234,1.391304347826087,0.0,0.0012705035
0.0014643809,1.8095238095238095,1939,419838,18.72579116554669,97.78571428571429,1.3481321,2620.523134469986,0.1303809523809524,0.0050677145,1.1904761904761905,0.0,0.0014643809
0.0014025823,1.9534883720930232,1982,429849,15.379628433402,81.48837209302326,1.377882,2694.8719766139984,0.13679586563307497,0.002661617,1.0465116279069768,0.0,0.0014025823
0.0011115478,1.930232558139535,2025,439904,16.536040303236906,86.93023255813954,1.3680396,2748.1597323417664,0.11934124347413387,0.0022109873,1.069767441860465,0.0,0.0011115478
0.0009715589,2.0,2068,449959,16.86209724162163,88.04651162790698,1.3728142,2806.725507259369,0.12380679785330947,0.005306014,1.0,0.0,0.0009715589
