optimgain,entloss,meankl,AttNC,AttC,MtR,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,Fce,TimeElapsed,TtR
0.0019349045,0.0,0.006027498,0.6964285714285714,0.30357142857142855,14.005557421286628,0.7591878,0.0019349045,2076,319811,0.10819568569764253,1162.1834044456482,24.142857142857142
0.0012107742,0.0,0.0044285157,0.8695652173913043,0.13043478260869565,16.714881618321357,0.7684102,0.0012107742,2122,329833,0.12032298136645962,1198.8592643737793,29.32608695652174
0.0020748405,0.0,0.007331517,0.6557377049180327,0.3442622950819672,12.350635829274076,0.6973594,0.0020748405,2183,339878,0.08712965722801788,1233.7197964191437,21.42622950819672
0.00084896776,0.0,0.003127219,0.7407407407407407,0.25925925925925924,13.949799075888594,0.6691987,0.00084896776,2237,349936,0.10128170594837264,1268.4418823719025,24.833333333333332
0.0015688462,0.0,0.003633799,0.8163265306122449,0.1836734693877551,15.796744639882409,0.6352441,0.0015688462,2286,359973,0.1135251052802073,1307.046368598938,27.612244897959183
0.0006267914,0.0,0.0028168294,0.8333333333333334,0.16666666666666666,15.935743808682995,0.6443786,0.0006267914,2334,369981,0.10958333333333337,1340.799185037613,27.395833333333332
0.0010068764,0.0,0.00317514,0.8,0.2,15.554632446329343,0.6114831,0.0010068764,2384,379997,0.11650666666666668,1377.2869215011597,27.48
0.0016633216,0.0,0.0033069816,0.9069767441860465,0.09302325581395349,17.449860044369643,0.6297077,0.0016633216,2427,389751,0.12241860465116279,1416.2179098129272,30.6046511627907
0.0003914795,0.0,0.0018020695,0.8333333333333334,0.16666666666666666,15.92844917956554,0.6353242,0.0003914795,2475,399789,0.11256746031746033,1451.712962627411,27.6875
0.0027135331,0.0,0.008262111,0.851063829787234,0.14893617021276595,16.84109197344132,0.6507341,0.0027135331,2522,409808,0.12363338788870704,1490.9624462127686,29.74468085106383
0.0005875488,0.0,0.005170782,0.7142857142857143,0.2857142857142857,14.86245920035496,0.6420519,0.0005875488,2578,419972,0.12268934240362814,1527.4146592617035,25.964285714285715
0.0012075745,0.0,0.0033835273,0.7358490566037735,0.2641509433962264,15.101130969268855,0.5999043,0.0012075745,2631,429880,0.10834783484898103,1560.7262890338898,26.32075471698113
0.00065166934,0.0,0.0033564544,0.8888888888888888,0.1111111111111111,18.07840988432148,0.61825514,0.00065166934,2676,439891,0.12755555555555556,1596.6188416481018,31.88888888888889
0.0015301559,0.0,0.002503181,0.7547169811320755,0.24528301886792453,14.970658941484178,0.6048563,0.0015301559,2729,449940,0.1123725035860091,1632.7992656230927,26.433962264150942
0.0022754578,0.0,0.0035947422,0.8888888888888888,0.1111111111111111,17.604808086274257,0.6194762,0.0022754578,2774,459945,0.12435555555555555,1671.9861919879913,31.08888888888889
0.0011631195,0.0,0.0034384597,0.7647058823529411,0.23529411764705882,15.937376149068523,0.64646304,0.0011631195,2825,469817,0.1184058082163765,1711.306303024292,27.980392156862745
0.0022468795,0.0,0.003969905,0.7272727272727273,0.2727272727272727,14.5457670508854,0.61899006,0.0022468795,2880,479908,0.11146404814697497,1745.9569523334503,25.509090909090908
0.0037643868,0.0,0.005464266,0.851063829787234,0.14893617021276595,17.18321480158003,0.5871969,0.0037643868,2927,489975,0.12315442690459848,1782.7369318008423,29.872340425531913
0.0019331949,0.0,0.005065628,0.7358490566037735,0.2641509433962264,14.299120531400543,0.55229807,0.0019331949,2980,499921,0.11814211972803557,1819.0369544029236,25.41509433962264
0.002319289,0.0,0.005891879,0.8297872340425532,0.1702127659574468,17.491139452493286,0.5559056,0.002319289,3027,509981,0.1288322406794181,1854.7435810565948,30.617021276595743
0.0015769806,0.0,0.0057571004,0.8478260869565217,0.15217391304347827,17.439130155995976,0.5482184,0.0015769806,3073,519978,0.15036155606407325,1893.889454126358,30.543478260869566
0.0016907211,0.0,0.0026112895,0.9523809523809523,0.047619047619047616,18.32189233973397,0.57553095,0.0016907211,3115,529982,0.13019047619047622,1930.1931977272034,32.54761904761905
0.0044099176,0.0,0.006449238,0.9512195121951219,0.04878048780487805,19.556453576328302,0.61225134,0.0044099176,3156,539756,0.13781548250265113,1965.7894988059998,33.73170731707317
0.001725045,0.0,0.004590037,0.7843137254901961,0.21568627450980393,16.07824794617029,0.6429767,0.001725045,3207,549811,0.12078052819921332,2004.6346073150635,28.098039215686274
0.001226342,0.0,0.0023919041,0.7843137254901961,0.21568627450980393,16.639855249375536,0.62235266,0.001226342,3258,559850,0.1375455594002307,2038.7614362239838,29.235294117647058
0.0010172684,0.0,0.0066661406,0.7407407407407407,0.25925925925925924,15.946029580236742,0.6104105,0.0010172684,3312,569990,0.12176218071574109,2076.556077003479,27.462962962962962
0.0015194811,0.0,0.00443729,0.8863636363636364,0.11363636363636363,17.035380567067435,0.65575993,0.0015194811,3356,579763,0.14395215311004786,2112.525186061859,29.5
0.0022957886,0.0,0.006387358,0.8333333333333334,0.16666666666666666,15.980395635112188,0.6399537,0.0022957886,3404,589795,0.11878679653679652,2147.8276767730713,28.520833333333332
0.00023479004,0.0,0.005625121,0.6610169491525424,0.3389830508474576,14.625920481096907,0.6320092,0.00023479004,3463,599833,0.1334703043925015,2183.5436584949493,25.016949152542374
0.0014980239,0.0,0.00414877,0.7547169811320755,0.24528301886792453,14.79402262149396,0.5960368,0.0014980239,3516,609892,0.10648136217211229,2220.716369867325,25.754716981132077
0.0008772095,0.0,0.0052364664,0.8695652173913043,0.13043478260869565,17.917989741199,0.6255499,0.0008772095,3562,619900,0.1267826086956522,2256.6642184257507,31.695652173913043
0.0029229247,0.0,0.007977762,0.7692307692307693,0.23076923076923078,14.256598232931196,0.56980205,0.0029229247,3614,629930,0.10317813765182184,2295.5301072597504,25.326923076923077
0.003033438,0.0,0.008080033,0.8,0.2,15.387311927592737,0.51156545,0.003033438,3664,639972,0.13779698924731182,2331.0414938926697,27.54
0.0029841869,0.0,0.009308083,0.8888888888888888,0.1111111111111111,14.989438933636741,0.4616901,0.0029841869,3709,649977,0.1048,2368.568374156952,26.2
0.0017088829,0.0,0.0041349027,0.8695652173913043,0.13043478260869565,14.83809073952882,0.46632177,0.0017088829,3755,659985,0.10260869565217393,2404.0579800605774,25.652173913043477
