MtR,optimgain,Ptt,Tmt,entloss,AttC,MpbtA,Tbt,AttNC,TtR,meankl,MpbtN,EpisodesSoFar,TimeElapsed,entropy,Tmc,TimestepsSoFar,surrgain
-43.188044691165665,0.0072980803,81.1652451251252,83.42553191489361,0.0,0.6382978723404256,9.3006961176741,341710.97872340423,0.3617021276595745,-75.68085106382979,0.0056735924,90.6993038823259,3916,9736.61493229866,0.1592958,20.425531914893618,109980,0.0072980803
-40.613786545781,0.009353275,80.46584662126293,82.72972972972973,0.0,0.43243243243243246,10.006550384637006,338860.97297297296,0.5675675675675675,-74.48648648648648,0.007298285,89.99344961536302,3953,9846.35966348648,0.22623724,21.18918918918919,119868,0.009353275
-42.6088112930192,0.0055582696,81.2919913650096,83.6304347826087,0.0,0.8260869565217391,10.180710080402697,342550.26086956525,0.17391304347826086,-75.1304347826087,0.006281251,89.81928991959728,3999,9972.574579000473,0.16620286,20.304347826086957,129917,0.0055582696
-40.290811357264445,0.0052265227,80.63678536830423,82.89473684210526,0.0,0.5263157894736842,10.417348183790589,339536.84210526315,0.47368421052631576,-74.26315789473684,0.007287966,89.5826518162094,4037,10086.144895553589,0.13746192,21.0,139865,0.0052265227
-41.28566504327144,0.008033694,81.50233389953881,83.76470588235294,0.0,0.0,9.111851143610293,343100.23529411765,1.0,-76.1470588235294,0.007949755,90.88814885638969,4071,10187.482257843018,0.21817304,20.058823529411764,149806,0.008033694
-40.24891973656642,0.004998242,80.60522675034481,82.94594594594595,0.0,0.2972972972972973,11.787634009957026,339746.5945945946,0.7027027027027027,-73.1891891891892,0.004437181,88.212365990043,4108,10291.358741044998,0.22260864,21.054054054054053,159840,0.004998242
-40.71604718122952,0.0036908195,80.55255019099783,82.84615384615384,0.0,0.46153846153846156,11.6907176515036,339337.8461538461,0.5384615384615384,-73.17948717948718,0.004281209,88.30928234849638,4147,10399.23803973198,0.1653248,21.102564102564102,169931,0.0036908195
-40.99007475215026,0.0045011593,81.0748637523156,83.36111111111111,0.0,0.2222222222222222,11.27688051958487,341447.1111111111,0.7777777777777778,-74.0,0.0033568752,88.72311948041511,4183,10503.691147327423,0.2191865,20.52777777777778,179935,0.0045011593
-40.3319015348023,0.010179472,81.27809103876824,83.64864864864865,0.0,0.35135135135135137,12.928377344304414,342624.86486486485,0.6486486486486487,-72.86486486486487,0.0076284315,87.07162265569558,4220,10610.228618383408,0.25972828,20.324324324324323,189835,0.010179472
-39.8052434045265,0.0047577177,80.7881242947813,83.1,0.0,0.625,14.070068253313508,340377.6,0.375,-71.4,0.004581022,85.92993174668649,4260,10721.425469636917,0.21464676,20.85,199783,0.0047577177
-39.64092201848227,0.0042507076,80.43802137756649,82.74358974358974,0.0,0.4358974358974359,13.603657145495296,338917.74358974356,0.5641025641025641,-71.48717948717949,0.0033885818,86.3963428545047,4299,10828.855050086975,0.19174272,21.23076923076923,209751,0.0042507076
-38.900579475798686,0.004897435,79.94756204156319,82.21621621621621,0.0,0.35135135135135137,13.19462873610554,336757.6216216216,0.6486486486486487,-71.37837837837837,0.004426653,86.80537126389446,4336,10936.861792087555,0.20433463,21.756756756756758,219813,0.004897435
-39.76924391733811,0.005976906,80.54792381606188,82.86111111111111,0.0,0.16666666666666666,12.902626398140303,339399.1111111111,0.8333333333333334,-72.16666666666667,0.006905937,87.0973736018597,4372,11041.888795852661,0.25710377,21.11111111111111,229766,0.005976906
-39.18089663340512,0.0032845961,80.33040267948975,82.56410256410257,0.0,0.3333333333333333,14.9500813220402,338182.5641025641,0.6666666666666666,-70.23076923076923,0.0018715105,85.04991867795981,4411,11149.922343730927,0.22360449,21.333333333333332,239919,0.0032845961
-39.41007564411632,0.0043436554,80.79442002611385,83.10526315789474,0.0,0.4473684210526316,15.086225413730936,340399.15789473685,0.5526315789473685,-70.57894736842105,0.0036477027,84.91377458626906,4449,11262.292133331299,0.22662525,20.842105263157894,249783,0.0043436554
