AttNC,TimestepsSoFar,meankl,Fce,optimgain,EpisodesSoFar,MtR,AttC,TtR,entropy,TimeElapsed,surrgain,entloss
0.975609756097561,4109856,0.0072257277,0.1382439024390244,0.004079883,18271,19.188888291296813,0.024390243902439025,34.5609756097561,0.038748406,34416.850612163544,0.004079883,0.0
0.9090909090909091,4119924,0.006767813,0.1447980174531898,0.0037313416,18315,19.143341118600276,0.09090909090909091,34.11363636363637,0.03505893,34493.12766933441,0.0037313416,0.0
0.975609756097561,4129925,0.005884328,0.14058536585365855,0.0032832206,18356,20.088859064807803,0.024390243902439025,35.146341463414636,0.02137783,34582.349179029465,0.0032832206,0.0
0.975609756097561,4139926,0.0065665804,0.13658536585365857,0.004783835,18397,19.28619540476086,0.024390243902439025,34.146341463414636,0.035064165,34668.89542245865,0.004783835,0.0
1.0,4149926,0.0052874954,0.14370000000000002,0.003086377,18437,20.32825025762105,0.0,35.925,0.054598317,34742.514659404755,0.003086377,0.0
0.975609756097561,4159927,0.0068339445,0.14078048780487806,0.0043845945,18478,19.758233284964206,0.024390243902439025,35.19512195121951,0.10598662,34836.75843310356,0.0043845945,0.0
0.8888888888888888,4169974,0.0067356187,0.13778397932816536,0.0055532805,18523,19.604604646876226,0.1111111111111111,33.91111111111111,0.11109159,34924.95080780983,0.0055532805,0.0
0.8863636363636364,4179879,0.005832268,0.15237290215115376,0.0026989868,18567,20.292955603652512,0.11363636363636363,35.22727272727273,0.096481085,35007.47120976448,0.0026989868,0.0
0.9523809523809523,4189931,0.007274502,0.15664981794816873,0.0035562126,18609,21.109184993486373,0.047619047619047616,36.95238095238095,0.08758948,35089.52490711212,0.0035562126,0.0
0.9302325581395349,4199966,0.007178935,0.16271073031415748,0.0053999503,18652,19.314257737641984,0.06976744186046512,33.674418604651166,0.088504784,35165.33100295067,0.0053999503,0.0
0.8863636363636364,4209755,0.0069917776,0.13857912457912458,0.0035351973,18696,18.302719327801608,0.11363636363636363,32.11363636363637,0.10925276,35260.17125463486,0.0035351973,0.0
0.9523809523809523,4219781,0.006170249,0.14999999999999997,0.0050092256,18738,21.122807328636053,0.047619047619047616,37.07142857142857,0.093941525,35334.95364236832,0.0050092256,0.0
0.9302325581395349,4229802,0.0051054503,0.14272705018359855,0.0039097136,18781,19.91220055107281,0.06976744186046512,35.116279069767444,0.08657081,35416.31928229332,0.0039097136,0.0
0.975609756097561,4239803,0.0054777763,0.1484878048780488,0.0039737215,18822,21.138406933537603,0.024390243902439025,37.1219512195122,0.07943352,35499.2018327713,0.0039737215,0.0
0.9302325581395349,4249838,0.0046021678,0.14194837720419118,0.002811856,18865,19.890719587535422,0.06976744186046512,34.30232558139535,0.10281827,35580.09567308426,0.002811856,0.0
0.975609756097561,4259839,0.0062929057,0.17034146341463416,0.0028030707,18906,21.13601835022211,0.024390243902439025,36.51219512195122,0.09071357,35660.01442551613,0.0028030707,0.0
0.8888888888888888,4269852,0.0041576074,0.1350024691358025,0.0012222895,18951,18.77396866744523,0.1111111111111111,33.15555555555556,0.07328025,35742.13482546806,0.0012222895,0.0
0.975609756097561,4279853,0.0053266236,0.14370731707317075,0.003163398,18992,20.113361598881617,0.024390243902439025,35.926829268292686,0.059357934,35828.91835141182,0.003163398,0.0
1.0,4289853,0.0064555244,0.15950000000000003,0.0033706932,19032,22.74413235053519,0.0,39.875,0.089478634,35909.357285261154,0.0033706932,0.0
1.0,4299853,0.005461436,0.15089999999999998,0.0042390926,19072,21.471296485286,0.0,37.725,0.10016632,35984.54804730415,0.0042390926,0.0
