surrgain,TimeElapsed,entloss,AttC,meankl,EpisodesSoFar,entropy,MtR,optimgain,AttNC,TtR,Fce,TimestepsSoFar
0.004271719,8638.747858285904,0.0,0.047619047619047616,0.007057442,5279,-0.012426346,18.062260919648494,0.004271719,0.9523809523809523,31.738095238095237,0.15066666666666667,1010000
0.004720212,8731.597758769989,0.0,0.09302325581395349,0.007259283,5322,-0.031064974,17.0013910420247,0.004720212,0.9069767441860465,29.651162790697676,0.12030053667262972,1019766
0.0042992015,8812.215975999832,0.0,0.0,0.0076603685,5362,-0.08080201,19.57415467754003,0.0042992015,1.0,34.1,0.13640000000000002,1029766
0.0051026805,8898.58665895462,0.0,0.0,0.0069476548,5402,-0.094860904,18.716723181116173,0.0051026805,1.0,33.425,0.13369999999999999,1039766
0.006188384,8975.230895757675,0.0,0.0,0.009777069,5442,-0.083621755,18.63450779539023,0.006188384,1.0,32.925,0.1317,1049766
0.0028038,9060.911608219147,0.0,0.047619047619047616,0.005055293,5484,-0.10018558,18.659616074583596,0.0028038,0.9523809523809523,32.54761904761905,0.13019047619047622,1059768
0.0021009918,9153.07420015335,0.0,0.024390243902439025,0.0054923724,5525,-0.09404016,18.685094486593627,0.0021009918,0.975609756097561,32.48780487804878,0.12995121951219513,1069769
0.004428418,9228.947719097137,0.0,0.024390243902439025,0.0064718323,5566,-0.1137036,17.66618161535008,0.004428418,0.975609756097561,31.21951219512195,0.12487804878048783,1079770
0.0038125205,9317.7425699234,0.0,0.0,0.0071152314,5606,-0.13058178,20.215482920731663,0.0038125205,1.0,35.4,0.1416,1089770
0.005491858,9400.112040519714,0.0,0.0,0.0071947295,5646,-0.15529884,19.30753155920105,0.005491858,1.0,33.55,0.1342,1099770
0.0054489938,9493.138028621674,0.0,0.024390243902439025,0.0066607986,5687,-0.14962058,18.007955695963023,0.0054489938,0.975609756097561,32.09756097560975,0.12839024390243906,1109771
0.0044820984,9583.185605287552,0.0,0.024390243902439025,0.005912359,5728,-0.14386253,18.69405145780482,0.0044820984,0.975609756097561,32.951219512195124,0.13180487804878052,1119772
0.0047763274,9666.778447628021,0.0,0.0,0.0077519035,5768,-0.15307824,17.73537950348198,0.0047763274,1.0,31.2,0.12480000000000002,1129772
0.0042130076,9762.408288478851,0.0,0.0,0.0073337373,5808,-0.1475774,18.099584627589532,0.0042130076,1.0,32.0,0.12800000000000003,1139772
0.0035671494,9849.454833984375,0.0,0.0,0.0062781237,5848,-0.164238,18.65570555382205,0.0035671494,1.0,32.625,0.13050000000000006,1149772
0.005485691,9930.730494499207,0.0,0.024390243902439025,0.0074508497,5889,-0.14636432,17.5276300637437,0.005485691,0.975609756097561,31.0,0.12400000000000001,1159773
0.0049699456,10007.086705446243,0.0,0.0,0.007308483,5929,-0.07749941,18.305076358775338,0.0049699456,1.0,31.4,0.12560000000000002,1169773
