EpisodesSoFar,surrgain,AttNC,TtR,Fce,meankl,TimeElapsed,entloss,AttC,MtR,entropy,TimestepsSoFar,optimgain
916,0.00076394755,1.4666666666666666,97.53333333333333,0.13591534391534396,0.002076559,697.4269096851349,0.0,1.5333333333333334,18.70943202582132,1.2987871,169969,0.00076394755
958,0.0019512863,1.5476190476190477,102.42857142857143,0.14347637292464882,0.005821502,739.6759195327759,0.0,1.4523809523809523,19.308282193950806,1.2988306,179758,0.0019512863
999,0.00089573517,1.7804878048780488,104.1219512195122,0.13882926829268294,0.0030107477,779.3076119422913,0.0,1.2195121951219512,19.772236239301673,1.3026156,189761,0.00089573517
1041,0.00074629136,1.7380952380952381,99.35714285714286,0.13404938271604938,0.0015946017,820.3750479221344,0.0,1.2619047619047619,19.022577997892363,1.3104372,199795,0.00074629136
1087,0.0011142502,1.5,89.15217391304348,0.12410679054230389,0.0033188278,859.7304131984711,0.0,1.5,16.73692287135179,1.2835296,209885,0.0011142502
1132,0.0009894847,1.6888888888888889,96.0,0.128,0.002529532,902.9170212745667,0.0,1.3111111111111111,17.85775272642747,1.2657495,219906,0.0009894847
1173,0.0010716141,1.6829268292682926,104.26829268292683,0.13902439024390245,0.0033469198,942.7386741638184,0.0,1.3170731707317074,19.84750355505759,1.2556559,229909,0.0010716141
1216,0.0011125234,1.744186046511628,93.76744186046511,0.13119090924602028,0.0063565024,985.5696487426758,0.0,1.255813953488372,18.096737073857557,1.2502444,239988,0.0011125234
1264,0.0011960871,1.1041666666666667,83.9375,0.1327829909741675,0.0036891273,1024.7011461257935,0.0,1.8958333333333333,16.1119491708148,1.263064,249891,0.0011960871
1308,0.0012198626,1.2727272727272727,98.52272727272727,0.13805949430455358,0.003067395,1067.796310186386,0.0,1.7272727272727273,18.81358812094031,1.2688385,259973,0.0012198626
1352,0.0006455162,1.1590909090909092,96.61363636363636,0.12881818181818183,0.001382114,1108.4327533245087,0.0,1.8409090909090908,18.779832039834595,1.2700222,269997,0.0006455162
1392,0.00062964286,1.45,102.375,0.14035873015873018,0.0023583495,1149.6522212028503,0.0,1.55,19.590767497640645,1.2790501,279810,0.00062964286
1444,0.0011328964,1.1346153846153846,76.09615384615384,0.14909608023506807,0.005729602,1189.0458097457886,0.0,1.8653846153846154,14.502698283910403,1.2515862,289968,0.0011328964
1486,0.0017086385,1.5952380952380953,102.71428571428571,0.136952380952381,0.006813938,1230.582778453827,0.0,1.4047619047619047,19.54503768714513,1.2421345,299978,0.0017086385
1528,0.0010473353,1.7857142857142858,91.57142857142857,0.12209523809523815,0.0037284968,1273.6833982467651,0.0,1.2142857142857142,17.39002633243046,1.2360326,309980,0.0010473353
1573,0.0015158,1.8,80.53333333333333,0.12267730294396961,0.0053020744,1313.9691014289856,0.0,1.2,15.546796064672407,1.2126464,319794,0.0015158
1615,0.0012579275,1.7619047619047619,86.35714285714286,0.1176931216931217,0.0053316015,1357.2856974601746,0.0,1.2380952380952381,16.407648388091104,1.2408448,329804,0.0012579275
1661,0.00101055,1.6521739130434783,85.3695652173913,0.11496969696969696,0.0030226482,1397.6073310375214,0.0,1.3478260869565217,15.999474852659937,1.2523916,339846,0.00101055
1708,0.0008996699,1.5957446808510638,84.8936170212766,0.12705711001048256,0.003456161,1441.6613743305206,0.0,1.4042553191489362,16.31290901108862,1.2417682,349979,0.0008996699
