optimgain,TimestepsSoFar,Tmc,EpisodesSoFar,Ptt,MpbtN,meankl,AttC,Tbt,entloss,MtR,MpbtA,TtR,surrgain,TimeElapsed,entropy,Tmt,AttNC
0.0018521793,2029979,21.512820512820515,11234,80.16558866431414,78.89722671579342,0.008172228,0.0,337447.3846153846,0.0,-36.917545577771804,21.10277328420659,-65.05128205128206,0.0018521793,30593.96587085724,0.16681857,82.38461538461539,1.0
0.005335596,2039856,21.486486486486488,11271,80.20554762790862,79.21264198058802,0.009696061,0.0,337975.35135135136,0.0,-36.872728166161615,20.78735801941199,-65.37837837837837,0.005335596,30700.278284311295,0.20537429,82.51351351351352,1.0
0.0046391115,2049887,22.63157894736842,11309,79.1390436096001,78.58963043119081,0.008864488,0.07894736842105263,333285.05263157893,0.0,-36.04049289577141,21.41036956880921,-63.94736842105263,0.0046391115,30806.480697870255,0.18847826,81.36842105263158,0.9210526315789473
0.0040502,2059729,22.444444444444443,11345,79.31343885010422,77.7301951009913,0.009668859,0.0,334051.55555555556,0.0,-35.11642860043981,22.269804899008708,-63.416666666666664,0.0040502,30912.548484563828,0.21156314,81.55555555555556,1.0
0.006433948,2069799,22.0,11383,79.72664548520954,77.74650724437275,0.010139451,0.0,335872.0,0.0,-35.97022213671949,22.253492755627246,-63.78947368421053,0.006433948,31018.13453054428,0.23024614,82.0,1.0
0.0036030717,2079854,21.651162790697676,11426,80.04468204596854,79.94999646688453,0.008577306,0.16279069767441862,337110.32558139536,0.0,-39.34550741351131,20.050003533115454,-65.83720930232558,0.0036030717,31133.73002266884,0.1883292,82.30232558139535,0.8372093023255814
0.003550569,2089812,22.256410256410255,11465,79.47702263645508,78.64652477016031,0.01033176,0.07692307692307693,334506.6666666667,0.0,-36.85646975148027,21.353475229839677,-64.28205128205128,0.003550569,31241.814792633057,0.20455962,81.66666666666667,0.9230769230769231
0.004588676,2099759,22.256410256410255,11504,79.4888525557398,77.99973811486464,0.008613349,0.1794871794871795,334821.74358974356,0.0,-36.189102044057016,22.000261885135362,-63.743589743589745,0.004588676,31349.61835718155,0.19604766,81.74358974358974,0.8205128205128205
0.0041241213,2109837,22.615384615384617,11543,79.14791415447051,78.1806409080678,0.008361967,0.02564102564102564,333141.3333333333,0.0,-36.61903887266187,21.819359091932206,-63.64102564102564,0.0041241213,31455.28368639946,0.18475911,81.33333333333333,0.9743589743589743
0.0038477539,2119937,21.4,11583,80.28405115812822,79.16738871521486,0.008119904,0.15,338227.2,0.0,-37.48914885602075,20.832611284785152,-65.35,0.0038477539,31562.547035455704,0.20800915,82.575,0.85
0.005239409,2129759,21.710526315789473,11621,79.99025879691244,77.4677088246766,0.0106525365,0.18421052631578946,336842.1052631579,0.0,-36.04702958008205,22.532291175323397,-63.71052631578947,0.005239409,31673.22473859787,0.23434556,82.23684210526316,0.8157894736842105
0.005075897,2139783,21.88372093023256,11664,79.83401150868565,78.37119875654322,0.0082888,0.46511627906976744,336253.0232558139,0.0,-36.97770963797383,21.628801243456795,-64.34883720930233,0.005075897,31787.86244368553,0.1962704,82.09302325581395,0.5348837209302325
0.001671872,2149891,22.35,11704,79.39372177193218,77.78811782584867,0.007709617,0.275,334233.6,0.0,-35.607440622087616,22.211882174151345,-63.475,0.001671872,31896.120667219162,0.200469,81.6,0.725
0.004586685,2159759,22.13157894736842,11742,79.60518566840052,78.09671187186274,0.00916294,0.10526315789473684,335333.05263157893,0.0,-36.30753959575462,21.90328812813728,-63.94736842105263,0.004586685,32004.361981391907,0.20971718,81.86842105263158,0.8947368421052632
0.004374817,2169797,21.575,11782,80.11057709579254,77.39847696324162,0.008424217,0.15,337305.6,0.0,-36.712584446668956,22.60152303675838,-63.775,0.004374817,32114.836802244186,0.19195332,82.35,0.85
0.0041724886,2179984,22.025641025641026,11821,79.6912292072983,77.47894086515007,0.01067079,0.05128205128205128,335451.89743589744,0.0,-35.99246149618408,22.52105913484996,-63.48717948717949,0.0041724886,32221.216348409653,0.22498135,81.8974358974359,0.9487179487179487
0.0035069168,2189890,21.825,11861,79.88978535535281,78.22137497887306,0.008610876,0.15,336588.8,0.0,-37.23776762720871,21.778625021126953,-64.325,0.0035069168,32333.36913919449,0.19502959,82.175,0.85
0.005173787,2199897,22.21951219512195,11902,79.52167326250445,78.29997128706927,0.008513532,0.2682926829268293,334872.9756097561,0.0,-36.63191634935249,21.700028712930713,-64.0,0.005173787,32445.399794340134,0.18501155,81.7560975609756,0.7317073170731707
0.0057260757,2209908,21.15,11942,80.5119804323256,78.54865107236508,0.009221,0.125,339148.8,0.0,-37.30438539897146,21.45134892763492,-65.075,0.0057260757,32551.311458826065,0.19150765,82.8,0.875
0.0026568787,2219939,21.842105263157894,11980,79.8618307920325,77.47582371167543,0.010441543,0.05263157894736842,336195.36842105264,0.0,-36.00986701533338,22.524176288324583,-63.60526315789474,0.0026568787,32659.59596347809,0.20745341,82.07894736842105,0.9473684210526315
0.0046578147,2229762,21.3,12020,80.37054827040276,78.81741071678564,0.008466202,0.15,338534.4,0.0,-37.907167881419994,21.18258928321437,-65.2,0.0046578147,32769.046555519104,0.1708826,82.65,0.85
0.0028896793,2239987,21.743589743589745,12059,79.96322983863762,78.0027936529809,0.010364286,0.0,336817.23076923075,0.0,-36.917325548669126,21.997206347019088,-64.15384615384616,0.0028896793,32874.74192261696,0.20738094,82.23076923076923,1.0
0.0035652223,2249884,22.55263157894737,12097,79.20996729368417,76.48532998982927,0.00834569,0.15789473684210525,333500.63157894736,0.0,-35.138250077714794,23.514670010170736,-62.28947368421053,0.0035652223,32980.35154056549,0.1770324,81.42105263157895,0.8421052631578947
0.0053367815,2259789,21.78048780487805,12138,79.92559020643515,79.4512132814679,0.008091413,0.1951219512195122,336571.31707317074,0.0,-37.810718615073945,20.548786718532103,-65.2439024390244,0.0053367815,33095.18248653412,0.16351438,82.17073170731707,0.8048780487804879
0.0023477843,2269810,21.333333333333332,12177,80.3370262184864,78.16933576950667,0.007787011,0.02564102564102564,338287.58974358975,0.0,-36.91510274896669,21.830664230493326,-64.56410256410257,0.0023477843,33199.86995053291,0.19087856,82.58974358974359,0.9743589743589743
0.004489749,2279943,21.897435897435898,12216,79.81926853238957,77.7309170474707,0.009146656,0.15384615384615385,336187.07692307694,0.0,-36.33972946611955,22.269082952529306,-63.82051282051282,0.004489749,33306.3332157135,0.19651595,82.07692307692308,0.8461538461538461
0.0044013313,2289767,21.17948717948718,12255,80.48421895600632,78.02088560441959,0.009454815,0.07692307692307693,339022.76923076925,0.0,-36.882498191774104,21.979114395580382,-64.58974358974359,0.0044013313,33412.64197850227,0.20738874,82.76923076923077,0.9230769230769231
0.0029788322,2299743,22.743589743589745,12294,79.03728572861311,77.04824008987168,0.009516581,0.1282051282051282,332826.25641025644,0.0,-35.45587413290668,22.95175991012831,-62.61538461538461,0.0029788322,33521.72964644432,0.21753484,81.25641025641026,0.8717948717948718
0.00598096,2309787,22.35,12334,79.39333965573039,77.01929035418632,0.010060031,0.225,334233.6,0.0,-35.871681658113275,22.980709645813697,-62.85,0.00598096,33631.19112253189,0.20519385,81.6,0.775
0.0028323166,2319996,21.70731707317073,12375,79.99080428747946,76.4634325451646,0.008666227,0.1951219512195122,336871.0243902439,0.0,-35.93089615407754,23.53656745483543,-62.90243902439025,0.0028323166,33740.00964832306,0.18058987,82.2439024390244,0.8048780487804879
0.0054576937,2329992,21.571428571428573,12417,80.12630631385674,78.2645634349411,0.008414878,0.21428571428571427,337627.4285714286,0.0,-37.71104569678003,21.7354365650589,-64.52380952380952,0.0054576937,33854.7162296772,0.16815054,82.42857142857143,0.7857142857142857
0.003920103,2339782,21.692307692307693,12456,80.01017660846425,78.4641271718082,0.0077727316,0.05128205128205128,337027.28205128206,0.0,-36.83639662795401,21.535872828191803,-64.58974358974359,0.003920103,33960.12942028046,0.18095899,82.28205128205128,0.9487179487179487
