TimestepsSoFar,AttNC,MtR,EpisodesSoFar,entloss,meankl,Fce,entropy,TimeElapsed,AttC,TtR,optimgain,surrgain
2879995,10.0,142.8784238871937,12092,0.0,0.01017476,1.0,-1.0152164,32411.6803252697,0.0,2500.0,6.985759e-05,6.985759e-05
2889995,10.0,142.8784238871937,12132,0.0,0.008933204,1.0,-0.91762424,32504.39933848381,0.0,2500.0,0.00022401508,0.00022401508
2899995,10.0,142.8784238871937,12172,0.0,0.008933204,1.0,-0.8200452,32598.272609233856,0.0,2500.0,0.00018761402,0.00018761402
2909995,10.0,142.8784238871937,12212,0.0,0.010174781,1.0,-0.91762424,32696.47231245041,0.0,2500.0,0.00024365306,0.00024365306
2919995,10.0,142.8784238871937,12252,0.0,0.008933204,1.0,-0.8200452,32796.908094882965,0.0,2500.0,0.00045918816,0.00045918816
2929995,10.0,142.8784238871937,12292,0.0,0.010174863,1.0,-0.91762424,32892.127571344376,0.0,2500.0,0.00039492775,0.00039492775
2939995,10.0,142.8784238871937,12332,0.0,0.008933204,1.0,-0.8200452,32991.381729602814,0.0,2500.0,0.00027046676,0.00027046676
2949995,10.0,142.8784238871937,12372,0.0,0.008932582,1.0,-0.7224523,33091.70052194595,0.0,2500.0,0.0005958754,0.0005958754
2959995,10.0,142.8784238871937,12412,0.0,0.008933102,1.0,-0.62487143,33186.60080075264,0.0,2500.0,0.0001821936,0.0001821936
2969995,10.0,142.8784238871937,12452,0.0,0.010174781,1.0,-0.72245234,33289.49948620796,0.0,2500.0,0.00035430863,0.00035430863
2979995,10.0,142.8784238871937,12492,0.0,0.010174863,1.0,-0.8200488,33386.46530199051,0.0,2500.0,0.00038817702,0.00038817702
2989995,10.0,142.8784238871937,12532,0.0,0.008933196,1.0,-0.7224662,33486.50991463661,0.0,2500.0,0.00019538662,0.00019538662
2999995,10.0,142.8784238871937,12572,0.0,0.008933102,1.0,-0.62487155,33586.58313417435,0.0,2500.0,0.0006294461,0.0006294461
3009995,10.0,142.8784238871937,12612,0.0,0.008933196,1.0,-0.5272809,33680.25141453743,0.0,2500.0,0.00018105621,0.00018105621
3019995,10.0,142.8784238871937,12652,0.0,0.008933416,1.0,-0.4296876,33780.634964466095,0.0,2500.0,0.0001971248,0.0001971248
3029995,10.0,142.8784238871937,12692,0.0,0.008933204,1.0,-0.33209586,33876.83343601227,0.0,2500.0,5.7986774e-05,5.7986774e-05
3039995,10.0,142.8784238871937,12732,0.0,0.010174751,1.0,-0.42968753,33975.28343963623,0.0,2500.0,0.00050124404,0.00050124404
3049995,10.0,142.8784238871937,12772,0.0,0.010174781,1.0,-0.5272808,34070.637563467026,0.0,2500.0,0.0002229116,0.0002229116
3059995,10.0,142.8784238871937,12812,0.0,0.010174863,1.0,-0.62487155,34173.57369995117,0.0,2500.0,0.00028679246,0.00028679246
3069995,10.0,142.8784238871937,12852,0.0,0.008933204,1.0,-0.5272808,34268.21771788597,0.0,2500.0,0.000115333154,0.000115333154
3079995,10.0,142.8784238871937,12892,0.0,0.010174863,1.0,-0.62487155,34364.45542764664,0.0,2500.0,0.00015597076,0.00015597076
3089995,10.0,142.8784238871937,12932,0.0,0.008933204,1.0,-0.5272808,34462.05848836899,0.0,2500.0,0.00024389024,0.00024389024
3099995,10.0,142.8784238871937,12972,0.0,0.008933102,1.0,-0.42968747,34548.17600059509,0.0,2500.0,0.00023781757,0.00023781757
3109995,10.0,142.8784238871937,13012,0.0,0.010174163,1.0,-0.52727544,34646.57370519638,0.0,2500.0,0.00057122705,0.00057122705
3119995,10.0,142.8784238871937,13052,0.0,0.008933102,1.0,-0.42968532,34743.381578445435,0.0,2500.0,7.154235e-05,7.154235e-05
3129995,10.0,142.8784238871937,13092,0.0,0.010174781,1.0,-0.52727544,34836.99467253685,0.0,2500.0,0.00026764564,0.00026764564
3139995,10.0,142.8679729302521,13132,0.0,0.008933102,0.9999,-0.42968532,34932.48111152649,0.0,2499.75,0.00025226697,0.00025226697
3149995,10.0,142.8784238871937,13172,0.0,0.008933102,1.0,-0.3320925,35027.16425347328,0.0,2500.0,0.00035591057,0.00035591057
3159995,10.0,142.8784238871937,13212,0.0,0.010174871,1.0,-0.42968678,35118.3727722168,0.0,2500.0,0.00028185302,0.00028185302
3169995,10.0,142.8784238871937,13252,0.0,0.010174781,1.0,-0.52727556,35211.89129137993,0.0,2500.0,0.0004140631,0.0004140631
3179995,10.0,142.8784238871937,13292,0.0,0.008933204,1.0,-0.42968678,35306.669473171234,0.0,2500.0,0.00013328205,0.00013328205
3189995,10.0,142.8784238871937,13332,0.0,0.008933416,1.0,-0.3320925,35397.40300679207,0.0,2500.0,0.00017710736,0.00017710736
3199995,10.0,142.8784238871937,13372,0.0,0.008933204,1.0,-0.23450233,35491.4569504261,0.0,2500.0,0.00021773575,0.00021773575
3209995,10.0,142.8784238871937,13412,0.0,0.008933102,1.0,-0.13691525,35586.29834461212,0.0,2500.0,9.1733555e-06,9.1733555e-06
