entloss,EpisodesSoFar,TimestepsSoFar,AttC,MpbtA,optimgain,AttNC,TtR,surrgain,Ptt,Tmt,MpbtN,TimeElapsed,MtR,meankl,Tbt,Tmc,entropy
0.0,2688,109931,1.3571428571428572,32.94893986212345,0.0026262791,1.6428571428571428,-158.5,0.0026262791,76.6915039475327,78.73809523809524,67.05106013787653,6460.743443965912,-31.582384955965058,0.0020981645,322511.2380952381,25.261904761904763,0.27320135
0.0,2729,119792,1.170731707317073,33.21942025944991,0.0043394924,1.829268292682927,-159.0731707317073,0.0043394924,77.31838992802524,79.39024390243902,66.7805797405501,6594.263245105743,-31.51621696719147,0.003538534,325182.43902439025,24.585365853658537,0.30318782
0.0,2774,129995,1.9333333333333333,34.735503047478,0.0036123006,1.0666666666666667,-155.13333333333333,0.0036123006,77.081339868667,79.15555555555555,65.26449695252201,6727.621671915054,-31.015670741281312,0.0036067117,324221.15555555554,24.844444444444445,0.32189092
0.0,2816,139919,1.7857142857142858,34.15446423051797,0.0020764654,1.2142857142857142,-156.35714285714286,0.0020764654,76.86867471683355,78.92857142857143,65.84553576948204,6861.073445320129,-30.892381949533814,0.0031440875,323291.4285714286,25.071428571428573,0.2956271
0.0,2857,149915,1.3414634146341464,34.02229227513372,0.0025698065,1.6585365853658536,-154.97560975609755,0.0025698065,76.25309673871523,78.26829268292683,65.97770772486628,6996.34721827507,-29.70135646292118,0.0027816633,320586.9268292683,25.73170731707317,0.32577384
0.0,2901,160000,1.8863636363636365,33.08263888548385,0.0031506957,1.1136363636363635,-158.04545454545453,0.0031506957,76.63907220107407,78.68181818181819,66.91736111451615,7133.545342683792,-30.261663583053892,0.0037848987,322280.7272727273,25.318181818181817,0.32763132
0.0,2941,169917,1.525,33.393397321251975,0.0027565134,1.475,-156.3,0.0027565134,76.18997453110303,78.2,66.60660267874803,7263.268924713135,-29.7069373033501,0.006058819,320307.2,25.8,0.2799997
0.0,2984,179793,1.3953488372093024,34.16998533936774,0.004072759,1.6046511627906976,-155.72093023255815,0.004072759,76.76638329919356,78.81395348837209,65.83001466063226,7399.738660812378,-30.92134933683946,0.0050763264,322821.9534883721,25.186046511627907,0.3222266
0.0,3028,189983,1.9090909090909092,36.17393893875306,0.0036740443,1.0909090909090908,-150.4090909090909,0.0036740443,76.4718312043809,78.5,63.826061061246946,7530.553218841553,-29.857823050546987,0.0047175367,321536.0,25.5,0.34565836
0.0,3076,199818,2.7291666666666665,35.222577009499304,0.0033236744,0.2708333333333333,-152.3125,0.0033236744,76.31545589145112,78.33333333333333,64.77742299050071,7673.027585983276,-30.497579248129053,0.0062653483,320853.3333333333,25.666666666666668,0.28474003
0.0,3118,209922,1.7380952380952381,34.84745223720764,0.0025088582,1.2619047619047619,-152.92857142857142,0.0025088582,76.03892008924801,78.07142857142857,65.15254776279235,7806.734930753708,-29.710526363766338,0.0026799128,319780.5714285714,25.976190476190474,0.3091719
0.0,3162,219861,1.8181818181818181,36.350536561426054,0.004469348,1.1818181818181819,-147.8181818181818,0.004469348,75.3902930119957,77.3409090909091,63.64946343857394,7944.655255317688,-29.446196604849433,0.004922309,316788.36363636365,26.65909090909091,0.32983142
0.0,3206,229967,1.8863636363636365,31.667924740572822,0.00284122,1.1136363636363635,-163.22727272727272,0.00284122,77.42453714110086,79.52272727272727,68.33207525942717,8081.649262428284,-31.539744173682422,0.0040534916,325725.0909090909,24.477272727272727,0.29945314
0.0,3246,239988,1.9,31.48781291067196,0.0030825923,1.1,-163.125,0.0030825923,77.07574858540734,79.15,68.51218708932804,8212.561154842377,-30.492804511446728,0.0042036213,324198.4,24.85,0.3056106
0.0,3291,249946,1.8222222222222222,30.09598698479782,0.005426438,1.1777777777777778,-165.2,0.005426438,76.56225262215638,78.6,69.90401301520217,8350.653942346573,-33.44586246278869,0.00635698,321945.6,25.4,0.26508886
0.0,3334,259993,1.2325581395348837,37.88754382268288,0.0030756001,1.7674418604651163,-144.90697674418604,0.0030756001,75.67803440741845,77.65116279069767,62.112456177317114,8484.835437059402,-28.912000025841465,0.0036286488,318059.16279069765,26.348837209302324,0.31027395
0.0,3376,269827,1.7619047619047619,34.60478856108677,0.0032797926,1.2380952380952381,-153.07142857142858,0.0032797926,75.8312732691213,77.83333333333333,65.39521143891325,8621.458187580109,-29.901706359014785,0.0044361106,318805.3333333333,26.19047619047619,0.26429135
0.0,3419,279977,1.627906976744186,37.3496849386705,0.0030668706,1.372093023255814,-147.13953488372093,0.0030668706,76.14031135316085,78.16279069767442,62.650315061329515,8755.3616168499,-29.20183071219993,0.003407564,320154.79069767444,25.86046511627907,0.3047552
0.0,3462,289999,1.5116279069767442,36.608971362059954,0.0052367738,1.4883720930232558,-148.3953488372093,0.0052367738,75.8513874984762,77.83720930232558,63.391028637940046,8888.86831665039,-29.35773658683278,0.005627759,318821.20930232556,26.162790697674417,0.32017237
0.0,3505,299939,1.744186046511628,38.343078580518394,0.003505483,1.255813953488372,-143.72093023255815,0.003505483,75.6130295399501,77.5813953488372,61.65692141948159,9023.854063510895,-28.561449247595128,0.0040663783,317773.3953488372,26.41860465116279,0.3146624
0.0,3550,309845,2.311111111111111,38.693364058501864,0.0026942077,0.6888888888888889,-141.8,0.0026942077,75.13376543787497,77.06666666666666,61.306635941498136,9160.177959442139,-28.255192034979796,0.0044236807,315665.06666666665,26.933333333333334,0.27759466
0.0,3595,319907,1.9555555555555555,39.40970965278262,0.003654976,1.0444444444444445,-141.4,0.003654976,75.77714806293439,77.75555555555556,60.59029034721739,9295.552255153656,-28.792939712669963,0.003988199,318486.7555555556,26.244444444444444,0.32793307
0.0,3641,329954,2.0,39.44973446238434,0.0028701497,1.0,-141.7826086956522,0.0028701497,76.10529113910937,78.1086956521739,60.55026553761566,9429.48679804802,-28.704295965783825,0.0038544363,319933.2173913043,25.891304347826086,0.3082874
0.0,3685,339800,1.9318181818181819,39.159085394185894,0.0032079555,1.0681818181818181,-142.29545454545453,0.0032079555,75.94173142435484,77.93181818181819,60.840914605814106,9562.989351987839,-28.6101318927115,0.0033081875,319208.7272727273,26.068181818181817,0.31075338
