surrgain,Tbt,Tmt,MpbtA,optimgain,EpisodesSoFar,TtR,MtR,AttC,TimestepsSoFar,TimeElapsed,MpbtN,entropy,Ptt,Tmc,AttNC,meankl,entloss
0.011025632,342471.1111111111,83.61111111111111,11.790358747277455,0.011025632,4244,-73.77777777777777,-40.38322198672742,0.1388888888888889,239736,10585.221425771713,88.20964125272252,0.26764613,81.35358713365748,20.22222222222222,0.8611111111111112,0.008061267,0.0
0.009044427,340490.89361702127,83.12765957446808,12.709207027099637,0.009044427,4291,-72.57446808510639,-43.008394805018156,0.723404255319149,249911,10713.177554607391,87.29079297290038,0.2237774,80.79230336249925,20.851063829787233,0.2765957446808511,0.0052546347,0.0
0.0066174436,343328.8205128205,83.82051282051282,12.542749167247122,0.0066174436,4330,-73.33333333333333,-41.26046477999302,0.4358974358974359,259969,10824.061933279037,87.45725083275288,0.22182772,81.43779136699408,20.153846153846153,0.5641025641025641,0.0023987636,0.0
0.0049290834,338027.7894736842,82.52631578947368,12.961649879376932,0.0049290834,4368,-71.86842105263158,-40.032905641744975,0.6052631578947368,269895,10933.652031183243,87.03835012062305,0.22327055,80.25635280032967,21.42105263157895,0.39473684210526316,0.0021248672,0.0
0.0063261352,339652.92307692306,82.92307692307692,11.893571767920916,0.0063261352,4407,-73.07692307692308,-41.14275909862628,0.5128205128205128,279930,11048.207857370377,88.1064282320791,0.22475967,80.62387021895972,21.025641025641026,0.48717948717948717,0.0018188434,0.0
0.007804898,337552.41025641025,82.41025641025641,12.54541671737516,0.007804898,4446,-72.07692307692308,-39.34499029820317,0.48717948717948717,289906,11161.34465789795,87.45458328262488,0.24578065,80.10671269584402,21.58974358974359,0.5128205128205128,0.002411615,0.0
0.0064979745,336896.0,82.25,13.396512218745258,0.0064979745,4486,-71.225,-40.08713983739381,0.5,299825,11277.125618696213,86.60348778125476,0.23785864,80.01598541579293,21.675,0.5,0.0024578671,0.0
0.005677716,338707.6923076923,82.6923076923077,13.250295029660538,0.005677716,4525,-71.76923076923077,-40.08405621765348,0.358974358974359,309889,11390.77255821228,86.74970497033947,0.24218062,80.3899887045467,21.28205128205128,0.6410256410256411,0.001813596,0.0
0.0064151003,338750.2702702703,82.70270270270271,13.613923802854808,0.0064151003,4562,-71.45945945945945,-39.90878211777413,0.2972972972972973,319780,11500.657980203629,86.38607619714517,0.24446084,80.42138116280441,21.243243243243242,0.7027027027027027,0.0020891083,0.0
0.005819584,339442.8717948718,82.87179487179488,13.840932592669734,0.005819584,4601,-71.41025641025641,-40.516519726123065,0.4358974358974359,329749,11614.999089241028,86.15906740733023,0.22958095,80.57587431221978,21.076923076923077,0.5641025641025641,0.003761766,0.0
