TimestepsSoFar,meankl,MtR,AttC,AttNC,surrgain,entloss,optimgain,Fce,TimeElapsed,entropy,TtR,EpisodesSoFar
3279905,0.0036442978,15.937066246413709,0.09090909090909091,0.9090909090909091,0.006036885,0.0,0.006036885,0.13727609427609425,14658.23044872284,0.29896417,27.90909090909091,15829
3289955,0.004438201,16.634100879197945,0.09090909090909091,0.9090909090909091,0.0070059737,0.0,0.0070059737,0.12385051971621848,14702.914361000061,0.2789459,28.818181818181817,15873
3299955,0.0036592023,18.51424110943624,0.0,1.0,0.0049917786,0.0,0.0049917786,0.12910000000000002,14761.354126930237,0.28247184,32.275,15913
3309957,0.0040791617,17.08104950342385,0.047619047619047616,0.9523809523809523,0.006198922,0.0,0.006198922,0.1433333333333334,14804.345092058182,0.28463742,29.904761904761905,15955
3319965,0.003915691,15.486452686532152,0.09090909090909091,0.9090909090909091,0.005885986,0.0,0.005885986,0.11363636363636366,14844.515650749207,0.2524476,27.295454545454547,15999
3329985,0.0042501977,17.458667308222566,0.047619047619047616,0.9523809523809523,0.0068260315,0.0,0.0068260315,0.1266967418546366,14887.46601510048,0.2601989,31.095238095238095,16041
3339988,0.0038225884,16.67450271929563,0.06976744186046512,0.9302325581395349,0.0065683485,0.0,0.0065683485,0.1182325581395349,14932.821839571,0.25939018,29.558139534883722,16084
3349990,0.004663611,17.718382697368902,0.047619047619047616,0.9523809523809523,0.005958284,0.0,0.005958284,0.12361904761904763,14975.848753213882,0.265686,30.904761904761905,16126
3359996,0.0038361154,15.780080934651394,0.13043478260869565,0.8695652173913043,0.006048813,0.0,0.006048813,0.11130434782608697,15017.196672677994,0.24848434,27.82608695652174,16172
3369999,0.0048234626,16.879068765792653,0.06976744186046512,0.9302325581395349,0.0074231355,0.0,0.0074231355,0.14111627906976748,15062.98835682869,0.2689877,29.488372093023255,16215
3380000,0.0038138458,18.026601777396504,0.024390243902439025,0.975609756097561,0.005820637,0.0,0.005820637,0.12634146341463418,15106.974244832993,0.26899174,31.585365853658537,16256
3389755,0.0042185225,16.61771347749758,0.07142857142857142,0.9285714285714286,0.005875003,0.0,0.005875003,0.11657142857142862,15154.695001840591,0.26582456,29.142857142857142,16298
3399756,0.004966155,18.122007811540833,0.024390243902439025,0.975609756097561,0.0070143975,0.0,0.0070143975,0.12526829268292686,15194.000037670135,0.2965851,31.317073170731707,16339
3409776,0.0044191405,16.00031823969867,0.09090909090909091,0.9090909090909091,0.00693617,0.0,0.00693617,0.11724242424242429,15236.854573011398,0.3027331,27.886363636363637,16383
3419778,0.004091636,17.012835281223193,0.047619047619047616,0.9523809523809523,0.006117864,0.0,0.006117864,0.11828571428571433,15288.890454053879,0.30112213,29.571428571428573,16425
3429787,0.004626905,17.07206009828341,0.06976744186046512,0.9302325581395349,0.0075221956,0.0,0.0075221956,0.11981395348837212,15337.83577656746,0.2918658,29.953488372093023,16468
3439790,0.0037617062,17.10455911026821,0.06976744186046512,0.9302325581395349,0.006003682,0.0,0.006003682,0.12195348837209306,15377.416748523712,0.304642,30.488372093023255,16511
3449798,0.004223767,16.3468396006374,0.13043478260869565,0.8695652173913043,0.0061905975,0.0,0.0061905975,0.12055072463768117,15426.013089895248,0.30409142,28.347826086956523,16557
3459800,0.0037457368,17.153551922785564,0.047619047619047616,0.9523809523809523,0.0059336964,0.0,0.0059336964,0.12047619047619051,15471.597583293915,0.31256574,30.11904761904762,16599
3469865,0.004385438,16.18411822662226,0.14893617021276595,0.851063829787234,0.0070075532,0.0,0.0070075532,0.11661485019539732,15513.678410291672,0.2898713,27.97872340425532,16646
3479870,0.0039196825,17.212922732659177,0.06976744186046512,0.9302325581395349,0.0063084657,0.0,0.0063084657,0.11944186046511628,15553.237394332886,0.2840121,29.86046511627907,16689
3489871,0.004733342,17.95768823597909,0.024390243902439025,0.975609756097561,0.007091967,0.0,0.007091967,0.12663414634146342,15599.321653604507,0.2908519,31.658536585365855,16730
3499873,0.0039260583,16.925021574442468,0.047619047619047616,0.9523809523809523,0.0066445465,0.0,0.0066445465,0.12114285714285715,15645.453915596008,0.2886657,30.285714285714285,16772
3509925,0.0048839203,15.569620575030973,0.13043478260869565,0.8695652173913043,0.0065150987,0.0,0.0065150987,0.11358556891766883,15690.877018928528,0.28727722,27.73913043478261,16818
3519952,0.0037340587,17.136327187350926,0.06976744186046512,0.9302325581395349,0.0054458915,0.0,0.0054458915,0.12027906976744188,15734.928555965424,0.29888785,29.651162790697676,16861
3529971,0.0030529255,17.828337981712522,0.024390243902439025,0.975609756097561,0.0055123507,0.0,0.0055123507,0.12939666238767653,15775.596346616745,0.30340448,31.75609756097561,16902
3539765,0.0026971863,16.537400057518788,0.09302325581395349,0.9069767441860465,0.0065191253,0.0,0.0065191253,0.1221360895779501,15815.217216014862,0.30055204,29.209302325581394,16945
3549769,0.0044590095,16.70866049034745,0.047619047619047616,0.9523809523809523,0.006573329,0.0,0.006573329,0.1248888888888889,15863.870023965836,0.29211828,29.261904761904763,16987
3559771,0.0045677717,17.527546256629893,0.047619047619047616,0.9523809523809523,0.0054106438,0.0,0.0054106438,0.12380952380952381,15910.129371404648,0.2586521,30.952380952380953,17029
3569774,0.0057129352,16.307576448704438,0.06976744186046512,0.9302325581395349,0.005948596,0.0,0.005948596,0.1150697674418605,15958.705701112747,0.23797733,28.767441860465116,17072
3579775,0.0046138563,17.508453062074643,0.024390243902439025,0.975609756097561,0.006686495,0.0,0.006686495,0.12126829268292688,16005.838363647461,0.2505749,30.317073170731707,17113
3589775,0.004257967,18.015084375246467,0.0,1.0,0.0074613686,0.0,0.0074613686,0.12830000000000005,16049.649840831757,0.2658847,32.075,17153
3599842,0.0058425544,16.585418169206804,0.14893617021276595,0.851063829787234,0.008534654,0.0,0.008534654,0.12226981529109192,16096.939846515656,0.2871409,29.06382978723404,17200
3609855,0.005083837,16.413100957876765,0.11363636363636363,0.8863636363636364,0.0066390946,0.0,0.0066390946,0.12051279922512799,16136.628064155579,0.2618818,28.75,17244
3619988,0.0052455957,17.157734085661676,0.06976744186046512,0.9302325581395349,0.0063897828,0.0,0.0063897828,0.12145241352354896,16176.277448177338,0.28576526,29.953488372093023,17287
3629906,0.0032724557,18.32985547803579,0.09302325581395349,0.9069767441860465,0.005555057,0.0,0.005555057,0.1302607470049331,16226.106270074844,0.2779389,32.325581395348834,17330
3639862,0.0042103296,18.10999203874756,0.13333333333333333,0.8666666666666667,0.006746768,0.0,0.006746768,0.1396447876447877,16273.134392261505,0.29777402,31.177777777777777,17375
3649799,0.0036807884,17.06023953399571,0.11363636363636363,0.8863636363636364,0.005850511,0.0,0.005850511,0.12289718664942297,16316.18678689003,0.31288052,29.727272727272727,17419
3659988,0.0038214813,17.246658772057557,0.1111111111111111,0.8888888888888888,0.005848871,0.0,0.005848871,0.12949262563867917,16365.700874328613,0.3179978,30.2,17464
3669914,0.0034997277,17.01746131012919,0.1702127659574468,0.8297872340425532,0.0052771857,0.0,0.0052771857,0.1454986153118639,16411.04622244835,0.31343204,29.148936170212767,17511
3679961,0.0038813462,16.628378991612795,0.15217391304347827,0.8478260869565217,0.0061087767,0.0,0.0061087767,0.12367779020871111,16450.60029411316,0.33224934,29.26086956521739,17557
