Tbt,Ptt,entropy,MpbtN,Tmt,TimeElapsed,AttNC,EpisodesSoFar,surrgain,TimestepsSoFar,AttC,entloss,MtR,Tmc,MpbtA,TtR,optimgain,meankl
253269.33333333334,60.21641874499374,0.4067094,29.188697874331133,61.833333333333336,5780.343930482864,6.316666666666666,2440,0.0022140425,149907,3.683333333333333,0.0,-12.72979377191574,43.18333333333333,70.81130212566885,-180.66666666666666,0.0022140425,0.008991476
261932.1379310345,62.25333903669841,0.44232225,36.00022877380742,63.94827586206897,5918.091623544693,1.7413793103448276,2498,0.0015593087,159791,8.258620689655173,0.0,-14.48165082748659,40.98275862068966,63.99977122619255,-231.55172413793105,0.0015593087,0.007918885
262075.73333333334,62.3041475064093,0.39340016,29.643493313458517,63.983333333333334,6080.612710952759,6.533333333333333,2558,0.0013022046,169907,3.466666666666667,0.0,-12.921277840063684,40.916666666666664,70.3565066865415,-189.33333333333334,0.0013022046,0.009328083
259659.54098360657,61.69141155608239,0.4025236,32.162495382505696,63.39344262295082,6220.579857826233,2.3442622950819674,2619,0.000874397,179861,7.655737704918033,0.0,-13.317203815112665,41.60655737704918,67.83750461749429,-203.9344262295082,0.000874397,0.0057181846
255933.93548387097,60.836809423918325,0.39631832,28.100230209590798,62.483870967741936,6376.918291091919,6.032258064516129,2681,0.0024140263,189924,3.967741935483871,0.0,-12.356391676409539,42.516129032258064,71.89976979040918,-174.83870967741936,0.0024140263,0.009814258
266875.5862068966,63.38839683036971,0.44533056,37.03698458679468,65.15517241379311,6519.440967082977,2.0689655172413794,2739,0.0013195004,199854,7.931034482758621,0.0,-15.0188419616185,39.775862068965516,62.963015413205326,-242.06896551724137,0.0013195004,0.0047844485
250265.6,59.51728033395916,0.378624,29.56703629411915,61.1,6669.349630355835,4.216666666666667,2799,0.0007185236,209849,5.783333333333333,0.0,-12.401438330681243,43.93333333333333,70.43296370588085,-180.83333333333334,0.0007185236,0.003228159
249657.8064516129,59.37588339558708,0.44210583,27.551915926722597,60.95161290322581,6818.557144880295,4.290322580645161,2861,0.0013130695,219953,5.709677419354839,0.0,-11.761104643849515,44.08064516129032,72.4480840732774,-167.09677419354838,0.0013130695,0.009037875
267784.39344262297,63.60283148520338,0.46427467,44.945607620590096,65.37704918032787,6974.408766269684,0.639344262295082,2922,0.0016122669,229933,9.360655737704919,0.0,-17.760038282723983,39.540983606557376,55.05439237940989,-296.72131147540983,0.0016122669,0.007155781
252877.6393442623,60.145905526196344,0.40645534,27.836461707592214,61.73770491803279,7123.87917637825,5.0,2983,0.0011065955,239871,5.0,0.0,-12.038776397708677,43.24590163934426,72.16353829240778,-172.13114754098362,0.0011065955,0.007887015
266240.0,63.25641750584418,0.47634602,34.14860192612142,65.0,7270.256194829941,2.672727272727273,3038,0.0016951528,249877,7.327272727272727,0.0,-13.890241964252537,39.90909090909091,65.85139807387854,-222.36363636363637,0.0016951528,0.0064067957
252285.83050847458,60.00949475126703,0.4204609,31.155122906232013,61.59322033898305,7411.304496049881,3.3220338983050848,3097,0.0005772731,259956,6.677966101694915,0.0,-12.513760782832891,43.389830508474574,68.844877093768,-193.5593220338983,0.0005772731,0.0026135643
252810.49180327868,60.12686592342432,0.3975042,28.979341902518243,61.721311475409834,7561.139030218124,4.721311475409836,3158,0.0012664404,269942,5.278688524590164,0.0,-12.291810728656973,43.26229508196721,71.02065809748174,-178.68852459016392,0.0012664404,0.005881483
248311.60655737706,59.06615100264106,0.4193408,27.478921177459767,60.622950819672134,7703.920829772949,3.8360655737704916,3219,0.0008264783,279903,6.163934426229508,0.0,-11.354165378675287,44.40983606557377,72.52107882254023,-165.5737704918033,0.0008264783,0.004286478
251601.83606557376,59.83969886587273,0.42569426,29.817827940641187,61.42622950819672,7857.451707839966,3.0491803278688523,3280,0.00096828555,289861,6.950819672131147,0.0,-12.065074730924145,43.57377049180328,70.18217205935883,-184.59016393442624,0.00096828555,0.0028678733
255687.59322033898,60.7891229281597,0.39528275,32.116907912584175,62.42372881355932,8002.936936855316,3.305084745762712,3339,0.0015758605,299875,6.694915254237288,0.0,-12.973520402695986,42.559322033898304,67.8830920874158,-201.1864406779661,0.0015758605,0.0071650282
247279.48387096773,58.84590496194757,0.41262358,27.32975789531024,60.37096774193548,8158.8128118515015,5.306451612903226,3401,0.0013552582,309988,4.693548387096774,0.0,-11.554307935412943,44.62903225806452,72.67024210468975,-164.3548387096774,0.0013552582,0.0076802
248763.73333333334,59.19584112097502,0.4075871,29.280150597578427,60.733333333333334,8306.030050992966,2.783333333333333,3461,0.00075718446,319861,7.216666666666667,0.0,-11.737675623204693,44.25,70.7198494024216,-179.16666666666666,0.00075718446,0.0045612506
244954.22950819673,58.29224023423408,0.38214692,27.5732506647711,59.80327868852459,8455.05498957634,3.918032786885246,3522,0.0011854992,329833,6.081967213114754,0.0,-11.198197450752591,45.22950819672131,72.42674933522889,-165.08196721311475,0.0011854992,0.004588904
248006.1935483871,59.01421277165381,0.38857937,27.890411822655654,60.54838709677419,8611.892660617828,5.209677419354839,3584,0.0019455024,339850,4.790322580645161,0.0,-11.914697761341058,44.45161290322581,72.10958817734438,-170.16129032258064,0.0019455024,0.0074027483
242231.13846153847,57.669379888110946,0.39906067,24.44657883126164,59.13846153846154,8758.274855852127,3.830769230769231,3649,0.0017510522,349943,6.1692307692307695,0.0,-10.380734481462595,45.89230769230769,75.55342116873835,-143.84615384615384,0.0017510522,0.0060539246
247505.83606557376,58.883089199237524,0.42169484,30.025092677204817,60.42622950819672,8913.46380352974,2.5081967213114753,3710,0.00092700013,359952,7.491803278688525,0.0,-11.897549236753843,44.60655737704918,69.97490732279519,-182.95081967213116,0.00092700013,0.010113655
238413.20634920636,56.75540729668807,0.37543875,26.63251997760553,58.20634920634921,9062.473629713058,4.523809523809524,3773,0.0006762903,369902,5.476190476190476,0.0,-10.982203563767978,46.888888888888886,73.36748002239446,-155.71428571428572,0.0006762903,0.002858388
239584.4923076923,57.035053274345024,0.38683248,26.198449502920294,58.49230769230769,9228.95149922371,5.815384615384615,3838,0.0009157025,379973,4.184615384615385,0.0,-10.970211505972395,46.58461538461538,73.80155049707973,-153.84615384615384,0.0009157025,0.004470809
246800.25396825396,58.71887738517475,0.34344578,27.09814399567093,60.25396825396825,9375.869105577469,4.365079365079365,3901,0.0013664367,389895,5.634920634920635,0.0,-11.217418482250167,44.77777777777778,72.90185600432905,-164.76190476190476,0.0013664367,0.010058383
238464.0,56.78389520814597,0.34211987,24.529897437259244,58.21875,9549.435583114624,8.453125,3965,0.0022933085,399876,1.546875,0.0,-10.463530678853703,46.84375,75.47010256274076,-142.8125,0.0022933085,0.0071624327
246949.16129032258,58.75434048995299,0.3303072,27.62348762915285,60.29032258064516,9697.970906734467,4.919354838709677,4027,0.001073335,409894,5.080645161290323,0.0,-11.312528757650691,44.74193548387097,72.37651237084712,-168.2258064516129,0.001073335,0.0075199394
241916.06153846154,57.59477406888553,0.32579947,25.848525443660247,59.06153846153846,9865.195650100708,8.169230769230769,4092,0.0012558654,419994,1.8307692307692307,0.0,-11.018929112685587,45.96923076923077,74.15147455633976,-152.76923076923077,0.0012558654,0.0076391553
234921.35384615386,55.94642742923128,0.31644797,24.056620320825907,57.353846153846156,10015.584744215012,6.123076923076923,4157,0.00073050184,429962,3.876923076923077,0.0,-10.046845216354644,47.753846153846155,75.94337967917409,-138.46153846153845,0.00073050184,0.005671355
231858.42424242425,55.23261644088964,0.34561533,23.087020833160345,56.60606060606061,10177.727130174637,6.0606060606060606,4223,0.0017112317,439986,3.9393939393939394,0.0,-9.637940564501175,48.515151515151516,76.91297916683969,-130.75757575757575,0.0017112317,0.0055322642
250948.26666666666,59.68089936937472,0.3760874,28.954050293471916,61.266666666666666,10321.41684794426,4.283333333333333,4283,0.0015677201,449861,5.716666666666667,0.0,-11.666480376876937,43.75,71.04594970652806,-177.66666666666666,0.0015677201,0.006063059
245825.0158730159,58.509243852141246,0.39954087,28.13082291777177,60.01587301587302,10473.527416467667,3.7936507936507935,4346,0.0019373773,459987,6.2063492063492065,0.0,-11.47044354205859,44.98412698412698,71.86917708222822,-169.84126984126985,0.0019373773,0.008086056
