Fce,EpisodesSoFar,optimgain,AttC,AttNC,TimestepsSoFar,TimeElapsed,entloss,TtR,MtR,surrgain,meankl,entropy
0.09914989060980091,14914,0.0010819173,1.2448979591836735,1.7551020408163265,3249866,43855.93002128601,0.0,66.18367346938776,12.663683926270535,0.0010819173,0.0075235474,1.3662133
0.10318181818181822,14958,0.0010913763,1.1136363636363635,1.8863636363636365,3259874,43982.26961541176,0.0,77.38636363636364,14.668200989811561,0.0010913763,0.0034972415,1.3364259
0.11126099251961323,15006,0.0014610535,1.25,1.75,3269988,44102.24744486809,0.0,70.75,13.66250761880991,0.0014610535,0.0024176545,1.3581083
0.11258705738705742,15051,0.00042651876,1.3333333333333333,1.6666666666666667,3279770,44241.31537604332,0.0,75.06666666666666,14.317561010813172,0.00042651876,0.006198036,1.3271458
0.10585447476742374,15100,0.0004412618,1.3265306122448979,1.6734693877551021,3289886,44379.35207366943,0.0,67.83673469387755,13.212747872992724,0.0004412618,0.00173379,1.309817
0.10802254428341387,15146,0.00092739257,1.1956521739130435,1.8043478260869565,3299958,44500.44898438454,0.0,74.34782608695652,14.070733140671033,0.00092739257,0.0025050684,1.2904855
0.09842051282051284,15191,0.00065756025,0.9555555555555556,2.0444444444444443,3309983,44621.739448308945,0.0,72.6,13.848015985223038,0.00065756025,0.0063414117,1.2858992
0.10807677889382408,15235,0.0004399343,1.0909090909090908,1.9090909090909092,3319771,44754.55186700821,0.0,74.18181818181819,14.325924449396387,0.0004399343,0.0028871354,1.3084304
0.1121388888888889,15283,0.00091723737,1.2291666666666667,1.7708333333333333,3329807,44879.097113609314,0.0,67.5625,12.912530110500107,0.00091723737,0.0031742223,1.2708734
0.11540000000000003,15323,0.0006330259,1.025,1.975,3339807,44997.229105472565,0.0,86.55,16.397124840953726,0.0006330259,0.0031911274,1.2570109
0.10769459172852601,15364,0.00051309966,0.9512195121951219,2.048780487804878,3349830,45132.08740878105,0.0,80.04878048780488,15.272522389677537,0.00051309966,0.0023253106,1.2885748
0.11002097902097904,15408,3.5439047e-05,1.1363636363636365,1.8636363636363635,3359932,45259.29890370369,0.0,80.31818181818181,15.220837136925153,3.5439047e-05,0.0013960054,1.2905377
0.10819444444444448,15456,0.00046756997,1.25,1.75,3369966,45392.7953851223,0.0,73.0625,13.83019317122578,0.00046756997,0.0067293947,1.2863276
0.1145373885383054,15504,0.0015192064,1.2291666666666667,1.7708333333333333,3379907,45519.41322994232,0.0,74.25,14.146829280064253,0.0015192064,0.003935955,1.2822168
