optimgain,TimeElapsed,meankl,TimestepsSoFar,AttC,MtR,TtR,AttNC,entloss,Fce,surrgain,entropy,EpisodesSoFar
0.0055615236,16904.765406370163,0.0036748718,4159778,0.07142857142857142,19.01840772764868,33.38095238095238,0.9285714285714286,0.0,0.1442681992337165,0.0055615236,0.23055151,19050
0.0058949357,16942.548542022705,0.0037899509,4169784,0.09090909090909091,17.64573333992326,31.227272727272727,0.9090909090909091,0.0,0.12490909090909091,0.0058949357,0.2206214,19094
0.006280899,16978.32136440277,0.0036523186,4179785,0.024390243902439025,19.00228766046584,33.390243902439025,0.975609756097561,0.0,0.13356097560975605,0.006280899,0.21260212,19135
0.0070343963,17018.94719338417,0.003626986,4189917,0.09090909090909091,18.767008049377882,32.54545454545455,0.9090909090909091,0.0,0.15687990571310537,0.0070343963,0.2412735,19179
0.006173578,17056.81362247467,0.004510681,4199922,0.024390243902439025,18.522861697082117,32.34146341463415,0.975609756097561,0.0,0.13414634146341464,0.006173578,0.22422954,19220
0.0064944304,17098.115690231323,0.0041195634,4209940,0.047619047619047616,19.285584673056217,34.5,0.9523809523809523,0.0,0.13930532212885158,0.0064944304,0.21396467,19262
0.005912788,17134.110245227814,0.0035166095,4219943,0.06976744186046512,18.577460867414512,32.674418604651166,0.9302325581395349,0.0,0.13069767441860466,0.005912788,0.20717458,19305
0.007004929,17170.562292575836,0.0038904045,4229944,0.024390243902439025,19.78533716154433,34.926829268292686,0.975609756097561,0.0,0.13970731707317077,0.007004929,0.19802053,19346
0.0069522928,17209.076238155365,0.0047694677,4239960,0.09090909090909091,17.71362015996789,30.34090909090909,0.9090909090909091,0.0,0.1276753246753247,0.0069522928,0.1907482,19390
0.005582678,17250.207252264023,0.0045142816,4249755,0.11363636363636363,17.899411320042425,31.15909090909091,0.8863636363636364,0.0,0.13699975069493786,0.005582678,0.16597527,19434
0.0067161247,17289.9933013916,0.004238437,4259757,0.047619047619047616,19.945462029395028,34.26190476190476,0.9523809523809523,0.0,0.16076190476190472,0.0067161247,0.18551478,19476
0.00702417,17331.40082025528,0.0053799874,4269771,0.047619047619047616,19.81536956342323,34.595238095238095,0.9523809523809523,0.0,0.13838095238095244,0.00702417,0.15221211,19518
0.007192355,17369.23838376999,0.005601491,4279774,0.06976744186046512,19.016825717347828,33.30232558139535,0.9302325581395349,0.0,0.1332093023255814,0.007192355,0.1475656,19561
0.0061277673,17406.009256362915,0.0052055186,4289798,0.047619047619047616,19.255705614794916,33.642857142857146,0.9523809523809523,0.0,0.13833126293995857,0.0061277673,0.12938766,19603
0.007168402,17446.14190173149,0.0050171805,4299809,0.06976744186046512,19.23367681947221,33.55813953488372,0.9302325581395349,0.0,0.13423255813953489,0.007168402,0.14473455,19646
0.007157905,17480.704684495926,0.0040495256,4309936,0.06976744186046512,18.811398780640932,33.16279069767442,0.9302325581395349,0.0,0.13932498509242697,0.007157905,0.13036327,19689
0.0070474227,17520.53497648239,0.005306881,4319938,0.047619047619047616,18.986712312865002,33.904761904761905,0.9523809523809523,0.0,0.1356190476190476,0.0070474227,0.10308838,19731
