entloss,TtR,meankl,entropy,optimgain,AttC,AttNC,TimestepsSoFar,EpisodesSoFar,Fce,surrgain,TimeElapsed,MtR
0.0,100.2,0.008308283,-1.3042735,0.0024112915,0.0,3.0,4519904,19004,0.13360000000000002,0.0024112915,17052.28866147995,18.952419335353422
0.0,127.95,0.007860631,-1.3055394,0.0035390828,0.0,3.0,4529904,19044,0.17059999999999997,0.0035390828,17082.444398880005,23.937380801566615
0.0,100.125,0.009124311,-1.3145268,0.0032133027,0.0,3.0,4539904,19084,0.1335,0.0032133027,17110.498291254044,19.02809358540271
0.0,87.225,0.007825384,-1.2819929,0.0034156702,0.0,3.0,4549904,19124,0.11629999999999999,0.0034156702,17139.489403247833,16.602215619197466
0.0,99.225,0.007862854,-1.2794092,0.0023721592,0.0,3.0,4559904,19164,0.1323,0.0023721592,17169.86185836792,18.585390854312074
0.0,89.4,0.008153393,-1.2824831,0.004016347,0.0,3.0,4569904,19204,0.1192,0.004016347,17198.603061676025,16.94648796463487
0.0,95.1,0.006852062,-1.3185649,0.0031014525,0.0,3.0,4579904,19244,0.12679999999999997,0.0031014525,17227.67889523506,17.933479607379322
0.0,99.6,0.0070694094,-1.3154804,0.0018850017,0.0,3.0,4589904,19284,0.13279999999999997,0.0018850017,17257.754215478897,18.89013402810913
0.0,94.8,0.009900106,-1.3248196,0.0032117877,0.0,3.0,4599904,19324,0.1264,0.0032117877,17287.46808385849,18.151622087175973
0.0,110.175,0.007631287,-1.3254424,0.0032462794,0.0,3.0,4609904,19364,0.14689999999999998,0.0032462794,17315.90961241722,20.62938189210744
0.0,88.425,0.009828471,-1.3565698,0.0016720764,0.0,3.0,4619904,19404,0.11790000000000003,0.0016720764,17345.14465212822,17.22758112265703
0.0,76.425,0.0033055595,-1.3588045,0.0022572652,0.0,3.0,4629904,19444,0.10190000000000003,0.0022572652,17375.516895771027,14.649719490041473
0.0,90.3,0.0071271155,-1.3688989,0.0025310512,0.0,3.0,4639904,19484,0.12040000000000003,0.0025310512,17405.379122257233,17.260836671231125
0.0,88.575,0.00860646,-1.3721187,0.0023774474,0.0,3.0,4649904,19524,0.11810000000000001,0.0023774474,17433.078492879868,16.723085160745573
0.0,79.8,0.008681276,-1.3712986,0.0036640218,0.0,3.0,4659904,19564,0.10640000000000002,0.0036640218,17462.47315454483,15.079832561221238
0.0,84.0,0.010975362,-1.3706818,0.0032978444,0.0,3.0,4669904,19604,0.11200000000000002,0.0032978444,17491.032212018967,15.969805752936747
0.0,89.85,0.006820223,-1.3627101,0.0028868378,0.0,3.0,4679904,19644,0.11980000000000005,0.0028868378,17519.895303487778,16.785202580241464
0.0,89.4,0.0049804193,-1.3491235,0.0035329482,0.0,3.0,4689904,19684,0.1192,0.0035329482,17550.656066179276,16.747104144536255
0.0,80.775,0.008081283,-1.365246,0.0021113118,0.0,3.0,4699904,19724,0.10770000000000005,0.0021113118,17581.724742412567,15.316443868573321
0.0,98.1,0.009411154,-1.3755625,0.0030720928,0.0,3.0,4709904,19764,0.1308,0.0030720928,17612.031271457672,18.282384112548495
0.0,90.6,0.01087758,-1.3813505,0.003786985,0.0,3.0,4719904,19804,0.12079999999999999,0.003786985,17643.269945144653,17.05351972219646
0.0,98.25,0.007390723,-1.3911134,0.0024411138,0.0,3.0,4729904,19844,0.13099999999999995,0.0024411138,17673.552224636078,18.552427321581767
0.0,105.9,0.010788012,-1.3802031,0.001754779,0.0,3.0,4739904,19884,0.14119999999999988,0.001754779,17702.19921875,19.668084284940303
0.0,113.1,0.0065929964,-1.3860987,0.004216369,0.0,3.0,4749904,19924,0.1508,0.004216369,17730.318686008453,21.139633713592268
0.0,97.275,0.008863865,-1.3690089,0.004081221,0.0,3.0,4759904,19964,0.1297,0.004081221,17760.37905883789,18.106839037624688
0.0,96.75,0.0064817187,-1.3661737,0.0022789298,0.0,3.0,4769904,20004,0.12899999999999998,0.0022789298,17788.438497066498,18.445046879919875
0.0,82.575,0.0106622735,-1.3803719,0.0031300061,0.0,3.0,4779904,20044,0.11010000000000005,0.0031300061,17817.805120944977,15.30330728412523
0.0,97.5,0.011195946,-1.3834221,0.0027536352,0.0,3.0,4789904,20084,0.12999999999999995,0.0027536352,17844.983260393143,18.462302920527403
0.0,94.275,0.0070607266,-1.3776832,0.0015633015,0.0,3.0,4799904,20124,0.12569999999999998,0.0015633015,17873.38316679001,17.922024534065265
0.0,95.175,0.008384788,-1.3778929,0.0028807546,0.0,3.0,4809904,20164,0.12690000000000004,0.0028807546,17901.713415384293,17.79833789110292
0.0,93.75,0.009296705,-1.3541229,0.0036670105,0.0,3.0,4819904,20204,0.12499999999999997,0.0036670105,17930.219028949738,17.612494811251274
0.0,79.35,0.008536728,-1.3751104,0.003805207,0.0,3.0,4829904,20244,0.1058,0.003805207,17959.675949811935,15.12290512849319
0.0,87.0,0.008391372,-1.3610842,0.0039004588,0.0,3.0,4839904,20284,0.11600000000000002,0.0039004588,17987.439054727554,16.546842088361306
0.0,85.8,0.008353099,-1.3712547,0.003338526,0.0,3.0,4849904,20324,0.11440000000000003,0.003338526,18017.492018938065,16.208124017867863
0.0,66.15,0.0136752,-1.3692596,0.0054732184,0.0,3.0,4859904,20364,0.08820000000000003,0.0054732184,18044.84702682495,12.49607065028092
0.0,80.175,0.007886366,-1.3706148,0.0038962045,0.0,3.0,4869904,20404,0.1069,0.0038962045,18073.15181493759,15.285331102073496
