TtR,entloss,entropy,Ptt,surrgain,EpisodesSoFar,Tmc,MpbtA,TimeElapsed,MpbtN,Tbt,optimgain,TimestepsSoFar,MtR,Tmt,AttC,AttNC,meankl
-148.88888888888889,0.0,0.32729554,57.53580889364952,0.0017691839,3543,46.03174603174603,74.76325665608294,8644.991747617722,25.23674334391705,241664.0,0.0017691839,329863,-10.501097129735506,59.0,3.6507936507936507,6.349206349206349,0.006428388
-146.15384615384616,0.0,0.3595086,57.588079530536135,0.0029860989,3608,46.01538461538462,75.29602227679389,8800.158297300339,24.703977723206087,242042.0923076923,0.0029860989,339942,-10.789302929346233,59.09230769230769,3.1846153846153844,6.815384615384615,0.008527381
-177.86885245901638,0.0,0.40660498,58.76610254922948,0.00093653594,3669,44.721311475409834,70.74066797658509,8957.86070895195,29.259332023414892,246968.65573770492,0.00093653594,349968,-11.756436771197095,60.295081967213115,6.688524590163935,3.3114754098360657,0.008113316
-166.33333333333334,0.0,0.36229452,58.73093542056534,0.0011652838,3729,44.766666666666666,72.47698236387762,9102.880769968033,27.52301763612237,246852.26666666666,0.0011652838,359931,-10.987745625532943,60.266666666666666,6.15,3.85,0.0063539073
-159.03225806451613,0.0,0.34755477,58.21315098996996,0.0010373471,3791,45.306451612903224,73.38075518642533,9258.666278600693,26.619244813574614,244570.83870967742,0.0010373471,369873,-11.223444635162945,59.70967741935484,4.838709677419355,5.161290322580645,0.0072436184
-142.96875,0.0,0.34953028,57.66214792994042,0.0010445296,3855,45.921875,75.81179112388004,9407.25821685791,24.18820887611997,242304.0,0.0010445296,379998,-10.151475290680294,59.15625,5.3125,4.6875,0.0065365783
-163.44262295081967,0.0,0.35811487,58.64920712934388,0.0012569148,3916,44.83606557377049,72.8863112448006,9557.951224088669,27.113688755199423,246431.47540983607,0.0012569148,389850,-11.195786171028436,60.16393442622951,5.098360655737705,4.901639344262295,0.0052240468
-175.7377049180328,0.0,0.34902918,59.777112470830524,0.0011243642,3977,43.63934426229508,71.37167366166793,9702.337929725647,28.628326338332087,251333.24590163934,0.0011243642,399979,-11.664314656938267,61.36065573770492,6.081967213114754,3.918032786885246,0.0056695607
-181.6949152542373,0.0,0.37798628,58.944380665313865,0.0018827469,4036,44.52542372881356,70.3010196228786,9858.20704126358,29.698980377121398,247703.86440677967,0.0018827469,409889,-11.707896891384308,60.47457627118644,4.762711864406779,5.237288135593221,0.007297612
-160.98360655737704,0.0,0.30019838,58.719057073812955,0.0015794653,4097,44.77049180327869,73.42911717081769,10011.727368831635,26.570882829182292,246767.2131147541,0.0015794653,419913,-10.893734874257573,60.24590163934426,4.540983606557377,5.459016393442623,0.009365245
