entloss,optimgain,Tmt,meankl,MtR,TtR,TimestepsSoFar,surrgain,MpbtN,Tbt,TimeElapsed,AttC,entropy,Ptt,MpbtA,Tmc,EpisodesSoFar,AttNC
0.0,0.0035394516,83.02564102564102,0.0039242865,-39.04932160849048,-70.3076923076923,249906,0.0035394516,84.68642107651249,340073.0256410256,11142.254262208939,0.6666666666666666,0.21633421,80.71987815996975,15.313578923487508,20.923076923076923,4181,0.3333333333333333
0.0,0.0018422364,82.52777777777777,0.002185033,-39.22589890895787,-71.05555555555556,259750,0.0018422364,86.08083348482022,338033.77777777775,11271.808104991913,0.1111111111111111,0.21547912,80.25985797264667,13.919166515179766,21.416666666666668,4217,0.8888888888888888
0.0,0.0027795944,82.15789473684211,0.0029584523,-39.424740948637684,-71.02631578947368,269796,0.0027795944,86.4324750233992,336518.7368421053,11400.712455034256,0.2631578947368421,0.18725061,79.91345913131654,13.56752497660079,21.789473684210527,4255,0.7368421052631579
0.0,0.0067445664,82.33333333333333,0.0053902688,-39.372742480090864,-72.25,279981,0.0067445664,87.71953440771624,337237.3333333333,11526.214676141739,0.1111111111111111,0.2454312,80.05702585640748,12.280465592283754,21.63888888888889,4291,0.8888888888888888
0.0,0.003931311,82.11111111111111,0.0036030286,-39.50663271213581,-71.94444444444444,289852,0.003931311,87.60008651914747,336327.1111111111,11660.356375455856,0.3055555555555556,0.2627243,79.87039138734842,12.399913480852545,21.833333333333332,4327,0.6944444444444444
0.0,0.0077044577,82.56756756756756,0.006220966,-39.87054439322572,-71.05405405405405,299919,0.0077044577,85.977661726663,338196.75675675675,11782.343173980713,0.13513513513513514,0.28441,80.35707554297153,14.022338273336999,21.2972972972973,4364,0.8648648648648649
0.0,0.0029976936,82.21052631578948,0.0030526603,-38.179311085468015,-68.97368421052632,309928,0.0029976936,83.98130871814567,336734.3157894737,11915.31931400299,0.42105263157894735,0.25497496,79.96003406642897,16.01869128185435,21.736842105263158,4402,0.5789473684210527
0.0,0.003964769,82.5,0.0033598638,-39.130290713056496,-70.2,319919,0.003964769,85.07430250774408,337920.0,12049.571938753128,0.725,0.25444433,80.23121068956131,14.925697492255926,21.45,4442,0.275
0.0,0.005004921,82.35,0.0032284146,-40.60942247162963,-70.675,329889,0.005004921,85.80372855447322,337305.6,12183.742804050446,0.475,0.23137136,80.06991277473351,14.196271445526785,21.625,4482,0.525
0.0,0.0027379608,82.8157894736842,0.0035672097,-39.47512746245903,-70.63157894736842,339889,0.0027379608,85.26190649663802,339213.4736842105,12323.702427864075,0.3157894736842105,0.27814788,80.56727989220805,14.738093503361972,21.07894736842105,4520,0.6842105263157895
0.0,0.003936313,82.82926829268293,0.008887255,-39.709615767357604,-70.90243902439025,349845,0.003936313,85.52523821877985,339268.68292682926,12455.858580827713,0.8292682926829268,0.1889352,80.55148265261593,14.474761781220147,21.097560975609756,4561,0.17073170731707318
0.0,0.0032287415,82.05263157894737,0.0031517067,-39.672970678938206,-72.07894736842105,359846,0.0032287415,87.79876144397664,336087.5789473684,12590.734267950058,0.4473684210526316,0.20194773,79.7939130510761,12.201238556023322,21.92105263157895,4599,0.5526315789473685
0.0,0.0066505354,82.94444444444444,0.0073579033,-40.65421910330716,-72.80555555555556,369845,0.0066505354,87.78140910518133,339740.44444444444,12719.331988096237,0.1388888888888889,0.25063655,80.62429345303747,12.218590894818679,21.02777777777778,4635,0.8611111111111112
0.0,0.0037942752,82.92105263157895,0.003696009,-39.89436574847493,-71.23684210526316,379811,0.0037942752,85.90176605074731,339644.63157894736,12844.04360127449,0.47368421052631576,0.26021552,80.64417637949941,14.098233949252666,21.0,4673,0.5263157894736842
0.0,0.004363562,83.225,0.0042621596,-39.92674970311195,-70.725,389868,0.004363562,84.9700691025785,340889.6,12987.213743686676,0.625,0.2779912,80.866691773025,15.029930897421494,20.775,4713,0.375
0.0,0.004699837,82.1951219512195,0.004248238,-39.359127453380665,-70.2439024390244,399797,0.004699837,85.44713077917287,336671.2195121951,13121.736023664474,0.8536585365853658,0.26219985,79.92374020298027,14.55286922082713,21.78048780487805,4754,0.14634146341463414
0.0,0.0038908387,83.14634146341463,0.0028440629,-39.42352168234185,-70.09756097560975,409981,0.0038908387,84.29365266803873,340567.4146341463,13253.1119389534,0.5121951219512195,0.26756215,80.84921092249286,15.706347331961268,20.78048780487805,4795,0.4878048780487805
0.0,0.0023697389,82.975,0.0035704658,-39.260071462531606,-69.725,420000,0.0023697389,84.00820368311356,339865.6,13390.476016044617,0.625,0.2746488,80.6918088188775,15.99179631688639,20.95,4835,0.375
0.0,0.005652948,82.3170731707317,0.0052576885,-39.64795380892097,-69.53658536585365,429766,0.005652948,84.45576496162627,337170.73170731706,13524.275046348572,0.8292682926829268,0.2138886,80.03995003899624,15.544235038373719,21.658536585365855,4876,0.17073170731707318
0.0,0.0038010194,83.3170731707317,0.0070195557,-39.0578945692018,-70.46341463414635,439986,0.0038010194,84.55174112762884,341266.73170731706,13663.644287347794,0.7317073170731707,0.21875949,81.0265466473701,15.448258872371143,20.585365853658537,4917,0.2682926829268293
0.0,0.0025087097,82.86486486486487,0.0035701797,-39.42423942796736,-70.4054054054054,449909,0.0025087097,84.96311717341149,339414.4864864865,13787.602902173996,0.43243243243243246,0.2382709,80.55143713344565,15.036882826588537,21.10810810810811,4954,0.5675675675675675
0.0,0.0063104113,82.5,0.007661099,-39.12422553535773,-70.02631578947368,459973,0.0063104113,84.85311283766882,337920.0,13916.682599067688,0.2631578947368421,0.2693515,80.1907717348836,15.146887162331181,21.5,4992,0.7368421052631579
