entloss,AttNC,TimestepsSoFar,TtR,AttC,TimeElapsed,Tmc,meankl,entropy,Ptt,EpisodesSoFar,MpbtN,surrgain,optimgain,MtR,MpbtA,Tmt,Tbt
0.0,4.787878787878788,1819993,-126.36363636363636,5.212121212121212,28348.737108707428,48.42424242424242,0.0051988545,0.29469132,55.326084154782265,13253,22.251884158656527,0.0030835827,0.0030835827,-8.924896998341334,77.74811584134348,56.71212121212121,232292.84848484848
0.0,4.138461538461539,1829932,-120.15384615384616,5.861538461538461,28465.601650714874,50.12307692307692,0.0045237504,0.30092034,53.77727937644801,13318,21.78427130690588,0.0024729404,0.0024729404,-8.685301555627802,78.2157286930941,55.13846153846154,225847.13846153847
0.0,4.393939393939394,1839890,-125.75757575757575,5.606060606060606,28586.395542144775,49.60606060606061,0.0034845679,0.29748902,54.262984013696126,13384,22.47967269216378,0.0022281979,0.0022281979,-9.092161857732787,77.52032730783623,55.65151515151515,227948.60606060605
0.0,4.409090909090909,1849883,-110.60606060606061,5.590909090909091,28705.846091747284,49.56060606060606,0.004919783,0.28466907,54.30666970744963,13450,19.877407229508524,0.0021111323,0.0021111323,-8.06070696017667,80.12259277049147,55.696969696969695,228134.78787878787
0.0,5.208955223880597,1859892,-116.41791044776119,4.791044776119403,28826.048101902008,50.73134328358209,0.002782364,0.28788576,53.2197325068311,13517,21.404862285704837,0.0016234735,0.0016234735,-8.631945901712868,78.59513771429518,54.56716417910448,223507.10447761195
0.0,4.393939393939394,1869943,-124.54545454545455,5.606060606060606,28948.115998506546,50.13636363636363,0.004421434,0.29989895,53.76816012482568,13583,22.518432643093416,0.0022430688,0.0022430688,-8.959958993680607,77.4815673569066,55.13636363636363,225838.54545454544
0.0,4.358208955223881,1879933,-123.13432835820896,5.641791044776119,29065.250118494034,48.92537313432836,0.0042888587,0.30309272,54.86505578508977,13650,21.875107712932383,0.0019999838,0.0019999838,-9.067716107740425,78.12489228706761,56.23880597014925,230354.14925373133
0.0,4.1940298507462686,1889974,-125.5223880597015,5.8059701492537314,29180.680511951447,49.62686567164179,0.0038164905,0.28355187,54.2031012440918,13717,22.630806150269354,0.0018280026,0.0018280026,-9.041615899541751,77.36919384973065,55.53731343283582,227480.83582089553
0.0,4.7611940298507465,1899904,-127.91044776119404,5.2388059701492535,29291.436262369156,49.656716417910445,0.0055006985,0.3087725,54.187632181580966,13784,23.05571888391948,0.0023809238,0.0023809238,-9.505079650771945,76.94428111608055,55.53731343283582,227480.83582089553
0.0,4.184615384615385,1909992,-128.30769230769232,5.815384615384615,29403.36909365654,48.96923076923077,0.006370891,0.28243214,54.85293163258616,13849,22.7150510569879,0.0026608123,0.0026608123,-9.079568533976413,77.2849489430121,56.261538461538464,230447.26153846155
0.0,3.8333333333333335,1919889,-115.9090909090909,6.166666666666667,29512.12150454521,50.121212121212125,0.0040543675,0.28349483,53.78459881801584,13915,21.066916048321268,0.0016345087,0.0016345087,-8.703784506681485,78.93308395167873,55.15151515151515,225900.60606060605
0.0,4.358208955223881,1929994,-110.0,5.641791044776119,29624.31023311615,49.656716417910445,0.0041642054,0.28898948,54.19489490492905,13982,19.779880420557635,0.0017404871,0.0017404871,-8.131458720061062,80.2201195794424,55.55223880597015,227541.97014925373
