TtR,entropy,TimeElapsed,entloss,TimestepsSoFar,MtR,AttC,EpisodesSoFar,meankl,AttNC,optimgain,surrgain,Fce
32.27906976744186,0.16453013,19244.15157198906,0.0,2389814,18.295600969311817,0.06976744186046512,10973,0.0056791264,0.9302325581395349,0.004508784,0.004508784,0.13612013016090993
34.55813953488372,0.17098786,19320.693471193314,0.0,2399899,20.049621330432977,0.06976744186046512,11016,0.004579297,0.9302325581395349,0.0028835572,0.0028835572,0.14991098176381062
31.382978723404257,0.18833211,19409.049795150757,0.0,2409964,18.129973827895398,0.14893617021276595,11063,0.0062888227,0.851063829787234,0.004059167,0.004059167,0.1328917668825162
31.545454545454547,0.16526558,19493.72326374054,0.0,2419813,18.109579881030395,0.11363636363636363,11107,0.0044467505,0.8863636363636364,0.002801149,0.002801149,0.13685740346609918
34.976190476190474,0.13321911,19571.981515407562,0.0,2429843,19.8081297163883,0.047619047619047616,11149,0.00523611,0.9523809523809523,0.004386696,0.004386696,0.14135632183908048
32.20454545454545,0.11407469,19641.952008247375,0.0,2439877,18.45760456362457,0.09090909090909091,11193,0.004716518,0.9090909090909091,0.0031054628,0.0031054628,0.13540463458110516
36.48780487804878,0.094386995,19736.981424331665,0.0,2449878,20.482878595577212,0.024390243902439025,11234,0.005047031,0.975609756097561,0.0035155374,0.0035155374,0.14595121951219514
35.80952380952381,0.090423375,19815.195032596588,0.0,2459890,20.464885183787857,0.047619047619047616,11276,0.0076743006,0.9523809523809523,0.0039750272,0.0039750272,0.14323809523809525
33.266666666666666,0.076778494,19896.454295158386,0.0,2469935,19.15647582262968,0.1111111111111111,11321,0.0054086656,0.8888888888888888,0.0029448024,0.0029448024,0.13850406504065044
34.976190476190474,0.089615956,19971.757473945618,0.0,2479943,20.024604537228917,0.047619047619047616,11363,0.001989419,0.9523809523809523,0.0024603312,0.0024603312,0.14321088435374152
31.555555555555557,0.07633615,20055.514077186584,0.0,2489978,17.76888531180303,0.1111111111111111,11408,0.0068210205,0.8888888888888888,0.00430252,0.00430252,0.13008484848484847
33.325581395348834,0.048412357,20134.77667284012,0.0,2499997,19.335657475179282,0.06976744186046512,11451,0.004232518,0.9302325581395349,0.0039036365,0.0039036365,0.13712722298221616
33.44186046511628,0.032159757,20221.764887809753,0.0,2509769,19.258911670733315,0.09302325581395349,11494,0.0050007226,0.9069767441860465,0.0032154366,0.0032154366,0.13827953958186517
35.63414634146341,0.002097249,20292.2850420475,0.0,2519770,20.467872641903266,0.024390243902439025,11535,0.0065609342,0.975609756097561,0.0030256484,0.0030256484,0.14253658536585367
36.24390243902439,-0.004604423,20374.972373008728,0.0,2529771,20.918164571786146,0.024390243902439025,11576,0.0060824514,0.975609756097561,0.004626941,0.004626941,0.1449756097560976
36.225,-0.0029441118,20462.72613620758,0.0,2539771,20.50459064786633,0.0,11616,0.0051276917,1.0,0.0038791646,0.0038791646,0.14490000000000003
32.86046511627907,-0.017523766,20538.944761276245,0.0,2549804,18.71578443061071,0.06976744186046512,11659,0.006123255,0.9302325581395349,0.00333031,0.00333031,0.13783509513742073
31.733333333333334,-0.05104211,20618.967047929764,0.0,2559843,17.909054487895496,0.1111111111111111,11704,0.005474018,0.8888888888888888,0.0037486763,0.0037486763,0.1331874643874644
34.88095238095238,-0.0791661,20701.63968014717,0.0,2569855,19.65581347075522,0.047619047619047616,11746,0.0060408483,0.9523809523809523,0.0042072646,0.0042072646,0.14159307359307358
37.05,-0.055103198,20779.698757886887,0.0,2579855,20.959038069720116,0.0,11786,0.0062720207,1.0,0.0032986884,0.0032986884,0.14820000000000003
