meankl,entloss,TtR,optimgain,EpisodesSoFar,TimeElapsed,surrgain,MtR,TimestepsSoFar,AttNC,AttC,Fce,entropy
0.0065084198,0.0,30.431818181818183,0.00476499,12187,21381.546840190887,0.00476499,16.918291201734455,2689980,0.9090909090909091,0.09090909090909091,0.12172727272727274,0.091396585
0.0061163744,0.0,34.35,0.0040933876,12227,21462.346150159836,0.0040933876,19.668171029800792,2699980,1.0,0.0,0.13740000000000002,0.07251707
0.005097219,0.0,34.675,0.0033799384,12267,21545.863107442856,0.0033799384,19.66217863806108,2709833,0.975,0.025,0.14026990291262134,0.060493864
0.0058368742,0.0,31.790697674418606,0.0043892274,12310,21630.53453683853,0.0043892274,18.162429757081693,2719842,0.9302325581395349,0.06976744186046512,0.13039202657807308,0.029581085
0.0048730304,0.0,35.1219512195122,0.002372528,12351,21707.277802705765,0.002372528,20.01521857404496,2729845,0.975609756097561,0.024390243902439025,0.14048780487804877,0.07091167
0.0053877104,0.0,33.19047619047619,0.0033435104,12393,21782.552612304688,0.0033435104,18.812627194200548,2739873,0.9523809523809523,0.047619047619047616,0.13433509700176366,0.07814912
0.0057305763,0.0,32.8780487804878,0.0034177704,12434,21864.096762418747,0.0034177704,18.684746814873606,2749902,0.975609756097561,0.024390243902439025,0.13374264087468463,0.08844272
0.0055576963,0.0,35.707317073170735,0.0030094476,12475,21933.497955799103,0.0030094476,20.308601269631907,2759963,0.975609756097561,0.024390243902439025,0.14554978008796482,0.13380158
0.0039431327,0.0,31.761904761904763,0.0026131838,12517,22017.965302705765,0.0026131838,17.968709894750056,2769967,0.9523809523809523,0.047619047619047616,0.1348888888888889,0.13970724
0.006594733,0.0,34.829268292682926,0.0058676153,12558,22100.55222773552,0.0058676153,19.913909935690143,2779968,0.975609756097561,0.024390243902439025,0.1393170731707317,0.18207338
0.0073766327,0.0,32.30952380952381,0.003960289,12600,22185.125992059708,0.003960289,18.26963923446096,2789970,0.9523809523809523,0.047619047619047616,0.12923809523809526,0.16681127
0.010152137,0.0,34.90243902439025,0.004009655,12641,22265.269545793533,0.004009655,19.573335234114356,2799971,0.975609756097561,0.024390243902439025,0.139609756097561,0.1394856
0.0060253707,0.0,32.44186046511628,0.0040471246,12684,22337.169056892395,0.0040471246,18.302336078976328,2809835,0.9069767441860465,0.09302325581395349,0.13262816827802454,0.11801411
0.0053829863,0.0,31.58139534883721,0.0038259064,12727,22408.25217962265,0.0038259064,18.15410189733401,2819838,0.9302325581395349,0.06976744186046512,0.12632558139534886,0.14526929
0.0049482943,0.0,36.6,0.0026432755,12767,22482.211794614792,0.0026432755,21.0663395064271,2829838,1.0,0.0,0.14640000000000003,0.11587507
0.0068088043,0.0,34.73170731707317,0.004698567,12808,22561.23264527321,0.004698567,19.82562334408816,2839839,0.975609756097561,0.024390243902439025,0.13892682926829267,0.14934798
0.008783708,0.0,31.78048780487805,0.0038837083,12849,22643.726474046707,0.0038837083,18.05131411303599,2849840,0.975609756097561,0.024390243902439025,0.1514146341463415,0.103636816
0.003944197,0.0,32.675,0.0026332794,12889,22713.515322446823,0.0026332794,18.719447207920886,2859840,1.0,0.0,0.1307,0.1252412
