optimgain,AttNC,EpisodesSoFar,entloss,entropy,TtR,Fce,TimeElapsed,surrgain,TimestepsSoFar,MtR,AttC,meankl
0.0005851427,9.523809523809524,1227,0.0,0.78389525,2203.809523809524,0.8972063492063492,1689.2081592082977,0.0005851427,229868,126.08187026731018,0.47619047619047616,0.0048711454
0.00049120816,9.30232558139535,1270,0.0,0.7855238,2080.6976744186045,0.8437002583979328,1762.3809051513672,0.00049120816,239897,119.26000635521372,0.6976744186046512,0.004688556
0.0004691873,9.30232558139535,1313,0.0,0.74145514,2168.139534883721,0.8822780630222489,1834.9904448986053,0.0004691873,249940,124.1969761018648,0.6976744186046512,0.006166619
0.0004666278,9.0,1357,0.0,0.70129967,2180.0,0.8948254212313408,1909.9911303520203,0.0004666278,260000,124.71030550213415,1.0,0.005942611
0.00053427945,9.75,1397,0.0,0.64749885,2384.0,0.9634000000000003,1978.3636009693146,0.00053427945,269755,136.35237097410248,0.25,0.0055828225
0.0005603427,9.30232558139535,1440,0.0,0.5951313,2306.9767441860463,0.9377364341085269,2048.7586183547974,0.0005603427,279780,131.86942734377033,0.6976744186046512,0.0049416986
0.0002056353,10.0,1480,0.0,0.6161724,2489.75,0.9959,2117.514904975891,0.0002056353,289780,142.31965493640965,0.0,0.006353459
0.0008206451,9.255813953488373,1523,0.0,0.53698725,2298.3720930232557,0.9347183462532298,2185.3898890018463,0.0008206451,299809,131.4645903601604,0.7441860465116279,0.008564336
0.0001243723,9.75609756097561,1564,0.0,0.55642873,2432.1951219512193,0.9809105691056911,2255.118926525116,0.0001243723,309812,139.005951340298,0.24390243902439024,0.0023191697
7.479811e-05,9.975,1604,0.0,0.5804134,2490.5,0.9962,2322.317948579788,7.479811e-05,319812,142.3648865394652,0.025,0.0041026426
0.0002461121,9.75609756097561,1645,0.0,0.5206933,2424.1463414634145,0.9781374722838135,2391.272753715515,0.0002461121,329823,138.548047076499,0.24390243902439024,0.005934088
0.0006190171,10.0,1685,0.0,0.5025249,2489.75,0.9959,2461.276359796524,0.0006190171,339823,142.31828025126984,0.0,0.005849046
0.00039684106,10.0,1725,0.0,0.5618812,2490.75,0.9963,2530.2883400917053,0.00039684106,349823,142.37781570291037,0.0,0.0040510306
0.00061366346,10.0,1765,0.0,0.5802682,2489.75,0.9959000000000001,2599.557651758194,0.00061366346,359823,142.26091768973097,0.0,0.011511182
0.00072444597,10.0,1805,0.0,0.6517353,2463.75,0.9854999999999997,2671.253631591797,0.00072444597,369823,140.6657021814381,0.0,0.0060303933
0.00069454196,10.0,1845,0.0,0.6540455,2439.75,0.9758999999999999,2740.9644536972046,0.00069454196,379823,139.4103939825767,0.0,0.0063577797
