optimgain,entropy,AttNC,MtR,EpisodesSoFar,TtR,meankl,Fce,surrgain,entloss,TimestepsSoFar,AttC,TimeElapsed
0.0012500755,1.2861817,1.4,18.66612652585309,1758,96.8,0.003151283,0.15920763736737042,0.0012500755,0.0,349871,1.6,1394.579285144806
0.0012052762,1.2848386,1.619047619047619,20.71574026947943,1800,109.85714285714286,0.0040452518,0.14959230439928484,0.0012052762,0.0,359963,1.380952380952381,1435.402488231659
0.0011030828,1.260541,1.2553191489361701,18.2551644771178,1847,94.7872340425532,0.003771435,0.16367828580051305,0.0011030828,0.0,369869,1.7446808510638299,1475.8854413032532
0.0013826116,1.2484164,0.9019607843137255,17.49088124073382,1898,88.3529411764706,0.005480407,0.13738304782921484,0.0013826116,0.0,379839,2.0980392156862746,1515.512689113617
0.0014373596,1.2643523,1.2448979591836735,19.331337192324924,1947,100.53061224489795,0.004963918,0.16996026946690168,0.0014373596,0.0,389896,1.7551020408163265,1556.4051513671875
0.0012439932,1.2507455,1.5333333333333334,20.092293293890904,1992,105.2,0.00489026,0.15375066329269227,0.0012439932,0.0,399953,1.4666666666666666,1597.6452746391296
0.000871315,1.271323,1.2272727272727273,20.10786966726444,2036,105.47727272727273,0.0025527396,0.14560839160839162,0.000871315,0.0,409987,1.7727272727272727,1637.3058247566223
0.0011708437,1.2387805,1.619047619047619,21.472876220031715,2078,112.57142857142857,0.0040902244,0.15384260085812196,0.0011708437,0.0,419906,1.380952380952381,1678.4151639938354
0.0014297963,1.2165946,1.34,17.433823014190875,2128,89.34,0.004960306,0.13475648446286836,0.0014297963,0.0,429939,1.66,1718.3926539421082
0.00146869,1.1977965,1.5777777777777777,18.73512156224527,2173,98.33333333333333,0.004893709,0.13635446665233902,0.00146869,0.0,439777,1.4222222222222223,1758.779123544693
0.0012617665,1.1843718,1.5,20.903388517702847,2215,111.0,0.0032229242,0.14945155993431852,0.0012617665,0.0,449811,1.5,1799.1506860256195
0.0011604787,1.185805,1.2608695652173914,19.35755979330712,2261,101.34782608695652,0.0034554866,0.15234210772671875,0.0011604787,0.0,459832,1.7391304347826086,1838.88560962677
0.0010805613,1.2034495,1.4090909090909092,20.918181330904453,2305,110.11363636363636,0.0031345612,0.1566254654436473,0.0010805613,0.0,469900,1.5909090909090908,1878.8682742118835
0.0009889145,1.2080779,1.4186046511627908,20.775852965410078,2348,108.76744186046511,0.0029313318,0.1533910719059075,0.0009889145,0.0,479933,1.5813953488372092,1919.1148982048035
0.0011163125,1.2021513,1.391304347826087,19.34462268213962,2394,101.8695652173913,0.0030480083,0.14753288508243853,0.0011163125,0.0,489815,1.608695652173913,1960.0906262397766
0.0010932678,1.1824389,1.2708333333333333,18.749462052624825,2442,97.875,0.003208616,0.13698115031965968,0.0010932678,0.0,499876,1.7291666666666667,1999.8402094841003
0.0007990074,1.1869344,1.4545454545454546,20.551967817937538,2486,107.6590909090909,0.0025095951,0.15384948563893364,0.0007990074,0.0,509879,1.5454545454545454,2039.8149523735046
0.0008788783,1.1756032,1.8,21.60481807301354,2526,112.725,0.0016227234,0.15030000000000004,0.0008788783,0.0,519879,1.2,2079.697052717209
0.0014176152,1.1447316,1.608695652173913,18.58771835984958,2572,97.76086956521739,0.003650299,0.14478904991948474,0.0014176152,0.0,529947,1.391304347826087,2120.590404987335
0.0011780792,1.1478153,1.4883720930232558,19.963068776830806,2615,106.67441860465117,0.003464002,0.1422325581395349,0.0011780792,0.0,539958,1.5116279069767442,2160.40802025795
0.0013618686,1.1563693,1.4634146341463414,21.420224491303898,2656,112.02439024390245,0.0046737576,0.15524201053331288,0.0013618686,0.0,549770,1.5365853658536586,2200.5734071731567
0.0013876526,1.1534287,1.1702127659574468,18.73540068336866,2703,97.7872340425532,0.004668881,0.14238687038556444,0.0013876526,0.0,559955,1.8297872340425532,2241.0099761486053
0.0013754023,1.1386579,1.2444444444444445,19.714165285666677,2748,102.2,0.0038461888,0.15084125459595008,0.0013754023,0.0,569997,1.7555555555555555,2281.1032774448395
0.001229776,1.1634979,1.3777777777777778,20.703188254041677,2793,107.73333333333333,0.0046291095,0.14958970535582652,0.001229776,0.0,579841,1.6222222222222222,2320.989554166794
0.0019836645,1.1512487,1.4761904761904763,20.850359766094737,2835,109.57142857142857,0.0048653577,0.1460952380952381,0.0019836645,0.0,589851,1.5238095238095237,2361.2339169979095
0.0015798513,1.1096342,1.2857142857142858,22.19615969459518,2877,115.0,0.0051138345,0.15333333333333332,0.0015798513,0.0,599863,1.7142857142857142,2401.7008035182953
0.0016994873,1.0748911,1.4222222222222223,20.37184543893714,2922,106.06666666666666,0.0042389226,0.1495560044893378,0.0016994873,0.0,609944,1.5777777777777777,2442.4712047576904
0.002016046,1.064514,1.0,17.793183130141355,2970,91.5625,0.004683982,0.1538361182089019,0.002016046,0.0,619885,2.0,2482.4140844345093
0.0016435456,1.0302765,1.5952380952380953,21.63538483574841,3012,115.35714285714286,0.0047750967,0.15859116259116257,0.0016435456,0.0,629937,1.4047619047619047,2522.1728196144104
0.0018062877,0.9962904,1.4047619047619047,22.25806322144611,3054,115.5,0.0042428477,0.1614401933853025,0.0018062877,0.0,639802,1.5952380952380953,2561.7815749645233
0.0018066675,0.9884678,1.3095238095238095,22.878509996376458,3096,119.21428571428571,0.0052027088,0.16017893217893223,0.0018066675,0.0,649974,1.6904761904761905,2601.861836910248
0.0016932836,0.9996171,1.3555555555555556,19.280229421714772,3141,102.0,0.0038729834,0.14816284146591674,0.0016932836,0.0,659966,1.6444444444444444,2642.0372984409332
0.0011243653,0.9718015,1.6829268292682926,21.304033708667852,3182,111.29268292682927,0.003590802,0.14839024390243905,0.0011243653,0.0,669979,1.3170731707317074,2682.398456096649
0.0015815943,0.9693035,1.5,22.201574958786303,3224,113.85714285714286,0.004011258,0.1536891842008121,0.0015815943,0.0,679970,1.5,2721.787441968918
0.0016351796,0.9681566,1.4390243902439024,21.50231455276929,3265,112.6829268292683,0.0040977006,0.15483227437316388,0.0016351796,0.0,689890,1.5609756097560976,2761.938736438751
0.0016368012,0.9660164,1.5714285714285714,21.491064194509374,3307,114.28571428571429,0.0046944977,0.15725312347161088,0.0016368012,0.0,699970,1.4285714285714286,2801.6321952342987
0.0015669131,0.9839519,1.380952380952381,21.369944808375767,3349,112.35714285714286,0.0043179607,0.15333523387181924,0.0015669131,0.0,709781,1.619047619047619,2840.9765272140503
0.001394456,0.9861892,1.3636363636363635,21.465470371752552,3393,110.5909090909091,0.0039532264,0.1558776824410872,0.001394456,0.0,719926,1.6363636363636365,2881.3100488185883
0.0014858195,0.9734496,0.9347826086956522,19.724355073045732,3439,101.41304347826087,0.003584312,0.14689736853723526,0.0014858195,0.0,729896,2.0652173913043477,2921.3161749839783
0.0018505534,0.97442967,1.3333333333333333,19.928789665242494,3484,102.26666666666667,0.0059930263,0.15293065492638938,0.0018505534,0.0,739870,1.6666666666666667,2961.2120492458344
0.0012731659,0.963444,1.7317073170731707,21.604952647361305,3525,115.17073170731707,0.0040761097,0.15356097560975615,0.0012731659,0.0,749875,1.2682926829268293,3000.806385755539
0.0014314433,0.9691334,1.9523809523809523,22.418167593755886,3567,118.71428571428571,0.003297697,0.15828571428571425,0.0014314433,0.0,759891,1.0476190476190477,3040.3553194999695
0.0017501251,0.9340065,1.627906976744186,20.20699274678641,3610,106.74418604651163,0.0052841147,0.14383542039355993,0.0017501251,0.0,769932,1.372093023255814,3079.725703239441
0.0017361084,0.8879853,1.7560975609756098,21.034532700856076,3651,109.60975609756098,0.004840566,0.14614634146341463,0.0017361084,0.0,779933,1.2439024390243902,3119.8918771743774
0.001577001,0.8924523,1.8,20.194676724665733,3691,107.4,0.0038429291,0.14320000000000002,0.001577001,0.0,789933,1.2,3160.39165186882
0.0020630425,0.8906849,2.05,22.826966358458467,3731,121.8,0.005128423,0.16240000000000004,0.0020630425,0.0,799933,0.95,3199.305997133255
0.0014346252,0.8714636,1.853658536585366,22.198499715700986,3772,116.34146341463415,0.004290888,0.1574942233632863,0.0014346252,0.0,809952,1.146341463414634,3238.523223876953
