entropy,TimeElapsed,AttNC,AttC,MtR,Tmc,MpbtA,EpisodesSoFar,Tmt,TtR,Ptt,optimgain,MpbtN,Tbt,meankl,surrgain,entloss,TimestepsSoFar
0.215004,11490.010911464691,0.8611111111111112,0.1388888888888889,-38.455859936999246,21.47222222222222,14.110808743196188,4230,82.47222222222223,-70.86111111111111,80.2056392056917,0.004637924,85.88919125680381,337806.22222222225,0.0049462444,0.004637924,0.0,259890
0.2719373,11630.342059612274,0.7368421052631579,0.2631578947368421,-39.51788058712381,22.18421052631579,13.308019600173909,4268,81.8157894736842,-70.94736842105263,79.55469172421478,0.006292151,86.6919803998261,335117.4736842105,0.0049029775,0.006292151,0.0,269906
0.25835642,11755.081044912338,0.5384615384615384,0.46153846153846156,-40.33991515799662,20.82051282051282,13.59216039999537,4307,83.1025641025641,-71.82051282051282,80.81062886207711,0.001988385,86.40783960000462,340388.10256410256,0.0013161136,0.001988385,0.0,279972
0.18635744,11896.498393774033,0.36585365853658536,0.6341463414634146,-40.87307348663536,21.121951219512194,13.493640157617584,4348,82.85365853658537,-71.65853658536585,80.53850559867608,0.005936279,86.50635984238244,339368.5853658537,0.0062788813,0.005936279,0.0,289769
0.252992,12022.62710428238,0.7837837837837838,0.21621621621621623,-40.122619945849934,21.243243243243242,12.0749880633897,4385,82.67567567567568,-72.70270270270271,80.41691555943994,0.0036760606,87.9250119366103,338639.5675675676,0.0025230742,0.0036760606,0.0,299888
0.28267723,12145.544581651688,0.6842105263157895,0.3157894736842105,-40.46898337945097,20.526315789473685,13.665482165691776,4423,83.44736842105263,-72.05263157894737,81.09209070480391,0.003455075,86.33451783430822,341800.4210526316,0.004067237,0.003455075,0.0,309859
0.23781724,12292.966957569122,0.4146341463414634,0.5853658536585366,-40.02685087216604,20.853658536585368,14.525991568847314,4464,83.07317073170732,-71.02439024390245,80.78044357501108,0.0055848784,85.4740084311527,340267.7073170732,0.0044589224,0.0055848784,0.0,319847
0.1980874,12423.206085205078,0.6923076923076923,0.3076923076923077,-39.65385568705652,21.71794871794872,13.999482759521266,4503,82.23076923076923,-70.74358974358974,79.97906330822467,0.0034709107,86.00051724047876,336817.23076923075,0.0042348397,0.0034709107,0.0,329958
0.1994655,12553.34419631958,0.8333333333333334,0.16666666666666666,-40.15416622507558,21.63888888888889,11.671284631894292,4539,82.30555555555556,-72.69444444444444,80.05213277521767,0.0032822997,88.32871536810573,337123.55555555556,0.003698071,0.0032822997,0.0,339841
0.22046044,12682.91405415535,0.8611111111111112,0.1388888888888889,-39.48832242771274,21.194444444444443,12.96279308104957,4575,82.75,-72.05555555555556,80.46683426410509,0.0039543547,87.03720691895043,338944.0,0.002779137,0.0039543547,0.0,349822
0.25936145,12806.779965162277,0.7837837837837838,0.21621621621621623,-40.564826205518735,20.83783783783784,12.284714060095297,4612,83.10810810810811,-72.89189189189189,80.79791581682142,0.0050957976,87.71528593990469,340410.8108108108,0.0061269263,0.0050957976,0.0,359889
0.2337614,12952.824612617493,0.4473684210526316,0.5526315789473685,-40.204518024824,21.263157894736842,14.038968697499186,4650,82.6842105263158,-71.10526315789474,80.4031880240808,0.0022290756,85.9610313025008,338674.5263157895,0.0022661043,0.0022290756,0.0,369764
0.2281132,13086.840133428574,0.46153846153846156,0.5384615384615384,-39.16394159301208,21.871794871794872,14.20555408919242,4689,82.12820512820512,-70.46153846153847,79.84474409133458,0.0031486268,85.7944459108076,336397.1282051282,0.0017362615,0.0031486268,0.0,379968
0.21894898,13219.562113285065,0.6756756756756757,0.32432432432432434,-38.86085617620262,22.43243243243243,13.468440554666177,4726,81.56756756756756,-70.5945945945946,79.32345794676296,0.002980815,86.53155944533381,334100.75675675675,0.0026637074,0.002980815,0.0,389870
0.21574898,13355.32095503807,0.6578947368421053,0.34210526315789475,-39.95120710867694,21.36842105263158,12.396985645467517,4764,82.57894736842105,-72.36842105263158,80.30474937831254,0.00525816,87.6030143545325,338243.36842105264,0.005024665,0.00525816,0.0,399999
0.20069785,13477.928503036499,0.8888888888888888,0.1111111111111111,-39.2836888024483,21.27777777777778,12.24949262072111,4800,82.61111111111111,-72.5,80.3781633693957,0.0024736274,87.75050737927887,338375.1111111111,0.0027373459,0.0024736274,0.0,409930
0.28084695,13612.121187925339,1.0,0.0,-40.20766953030215,20.805555555555557,12.3389741425876,4836,83.13888888888889,-72.88888888888889,80.82787198506915,0.0067414367,87.66102585741243,340536.8888888889,0.008188632,0.0067414367,0.0,419955
0.2666353,13749.567103862762,0.7692307692307693,0.23076923076923078,-40.55581477972469,21.205128205128204,13.866786410545428,4875,82.76923076923077,-71.3076923076923,80.4609960038147,0.0053326865,86.1332135894546,339022.76923076925,0.0030338576,0.0053326865,0.0,429813
0.22510734,13879.142169713974,0.5897435897435898,0.41025641025641024,-38.582339441141144,22.256410256410255,16.449668582903698,4914,81.71794871794872,-68.3076923076923,79.48360554829512,0.0065149046,83.5503314170963,334716.71794871794,0.0056036105,0.0065149046,0.0,439756
0.27869576,14013.627067804337,0.7297297297297297,0.2702702702702703,-38.999750244965746,20.972972972972972,15.50211147606118,4951,83.0,-70.13513513513513,80.67746202555404,0.005220116,84.49788852393883,339968.0,0.00642697,0.005220116,0.0,449748
0.23882097,14149.738366127014,0.5121951219512195,0.4878048780487805,-38.705198587677366,21.609756097560975,15.430402551124347,4992,82.36585365853658,-69.6829268292683,80.08446547442219,0.0040263915,84.56959744887564,337370.53658536583,0.0025202003,0.0040263915,0.0,459888
0.26607096,14287.95704293251,0.4358974358974359,0.5641025641025641,-38.70189745155814,21.846153846153847,15.10268054253381,5031,82.15384615384616,-69.74358974358974,79.8701894187989,0.004558954,84.89731945746621,336502.1538461539,0.006401221,0.004558954,0.0,469892
0.24415565,14432.642411470413,0.19047619047619047,0.8095238095238095,-40.01825360262514,21.285714285714285,14.456215506231393,5073,82.71428571428571,-70.78571428571429,80.38856234263214,0.0048274444,85.54378449376858,338797.71428571426,0.004662013,0.0048274444,0.0,479776
0.22403516,14562.787974357605,0.55,0.45,-39.79803970776443,21.15,14.703217875905949,5113,82.75,-70.625,80.50062899103038,0.00655152,85.29678212409405,338944.0,0.003934205,0.00655152,0.0,489779
0.2811276,14696.272232055664,0.7297297297297297,0.2702702702702703,-39.33925386279821,21.675675675675677,14.224492894975727,5150,82.13513513513513,-70.51351351351352,79.99663961245041,0.0042377226,85.77550710502427,336425.5135135135,0.004847979,0.0042377226,0.0,499741
0.2529531,14836.252825021744,0.5121951219512195,0.4878048780487805,-40.3040261998041,21.24390243902439,15.838020755262603,5191,82.73170731707317,-69.65853658536585,80.4264579936952,0.0049156183,84.1619792447374,338869.0731707317,0.003607876,0.0049156183,0.0,509740
0.20416257,14972.768322467804,0.425,0.575,-38.79513976071687,21.6,15.862698886131545,5231,82.35,-69.3,80.08981848862024,0.005228192,84.13730111386846,337305.6,0.0070931944,0.005228192,0.0,519920
0.22394234,15108.725503921509,0.7368421052631579,0.2631578947368421,-39.918374376144556,20.86842105263158,14.053440855475795,5269,83.10526315789474,-71.42105263157895,80.77407825008301,0.0035565156,85.94655914452423,340399.15789473685,0.0030964576,0.0035565156,0.0,529883
0.20418604,15231.814120531082,0.6756756756756757,0.32432432432432434,-38.812422162348845,21.83783783783784,14.413894448726506,5306,82.10810810810811,-70.27027027027027,79.86717171406258,0.002615622,85.5861055512735,336314.8108108108,0.0037288207,0.002615622,0.0,539922
0.2580122,15366.083940029144,0.6756756756756757,0.32432432432432434,-39.470174820425036,21.216216216216218,13.96426080469432,5343,82.72972972972973,-71.1891891891892,80.4462454111629,0.0052350997,86.03573919530568,338860.97297297296,0.0057271286,0.0052350997,0.0,549914
0.22018065,15501.231286764145,0.41025641025641024,0.5897435897435898,-39.24689812605835,20.897435897435898,15.103481678629924,5382,83.05128205128206,-70.51282051282051,80.74426801542923,0.001976291,84.89651832137005,340178.0512820513,0.0019984383,0.001976291,0.0,559926
0.205939,15637.086735248566,0.475,0.525,-40.15229620884445,20.2,13.911259398275742,5422,83.7,-72.075,81.38404730954156,0.0031922606,86.08874060172427,342835.2,0.0037480101,0.0031922606,0.0,569920
0.2644054,15766.035763025284,0.8333333333333334,0.16666666666666666,-39.555950469925186,21.47222222222222,14.805390031628068,5458,82.5,-70.27777777777777,80.2134103860983,0.0057504354,85.19460996837192,337920.0,0.008472112,0.0057504354,0.0,579827
0.2801255,15899.143435955048,0.5641025641025641,0.4358974358974359,-38.777200601240885,21.102564102564102,15.425779297977606,5497,82.84615384615384,-70.07692307692308,80.55399513681607,0.0063977465,84.57422070202239,339337.8461538461,0.0072190734,0.0063977465,0.0,589995
0.23445562,16036.970168352127,0.2564102564102564,0.7435897435897436,-38.099662094170505,22.025641025641026,16.380889447156026,5536,81.94871794871794,-68.53846153846153,79.69746048896417,0.005351236,83.61911055284396,335661.9487179487,0.0060487185,0.005351236,0.0,599900
0.24061504,16172.782359600067,0.7105263157894737,0.2894736842105263,-38.33073221665562,21.68421052631579,16.04348735344816,5574,82.3157894736842,-69.10526315789474,80.02021578895827,0.004984848,83.95651264655186,337165.4736842105,0.0044192025,0.004984848,0.0,609798
0.2395447,16299.551806211472,0.7837837837837838,0.21621621621621623,-37.37554508055139,21.945945945945947,15.913003763621834,5611,82.05405405405405,-68.97297297297297,79.77716821858829,0.0035119262,84.08699623637816,336093.4054054054,0.0034372157,0.0035119262,0.0,619779
0.23404199,16430.363518238068,0.7631578947368421,0.23684210526315788,-38.83516496095825,21.68421052631579,16.256334792595403,5649,82.28947368421052,-68.94736842105263,80.01543298392157,0.0054177903,83.74366520740459,337057.6842105263,0.00555923,0.0054177903,0.0,629788
0.23100601,16561.39806318283,0.7297297297297297,0.2702702702702703,-38.873248110179965,21.243243243243242,15.491372099020825,5686,82.70270270270271,-69.89189189189189,80.42284323664309,0.00479946,84.50862790097916,338750.2702702703,0.004165806,0.00479946,0.0,639795
0.22253135,16688.35956454277,0.575,0.425,-40.3958161488567,20.525,15.109386342808998,5726,83.425,-70.825,81.0906158179441,0.0058451323,84.89061365719103,341708.8,0.0044030845,0.0058451323,0.0,649801
0.27127632,16821.61794614792,0.7027027027027027,0.2972972972972973,-38.699429090074304,21.2972972972973,15.510501733920469,5763,82.67567567567568,-69.86486486486487,80.37452755721536,0.006021814,84.48949826607952,338639.5675675676,0.0067295167,0.006021814,0.0,659973
0.2984372,16951.682007551193,0.475,0.525,-39.54420416908903,21.425,15.543909928433484,5803,82.525,-69.7,80.25503323008957,0.007497637,84.45609007156652,338022.4,0.0066565466,0.007497637,0.0,669894
