entloss,surrgain,AttNC,TimestepsSoFar,EpisodesSoFar,AttC,Tbt,MpbtN,TtR,MtR,Ptt,MpbtA,meankl,entropy,TimeElapsed,optimgain,Tmt,Tmc
0.0,0.0057343873,0.5957446808510638,449960,4481,2.404255319148936,325501.27659574465,69.06118016093832,-164.61702127659575,-32.6760682397647,77.37270794792873,30.938819839061697,0.003202923,0.37751785,11015.714371681213,0.0057343873,79.46808510638297,24.53191489361702
0.0,0.0049876543,0.7727272727272727,459893,4525,2.227272727272727,320698.1818181818,66.04278639171226,-155.38636363636363,-30.592797520953138,76.26471687280034,33.95721360828773,0.003434259,0.37274635,11136.055970191956,0.0049876543,78.29545454545455,25.727272727272727
0.0,0.0069066356,0.75,469952,4569,2.25,319674.1818181818,66.37623655386001,-155.52272727272728,-30.313151925313413,76.04673003637613,33.623763446139975,0.0045586843,0.38902527,11253.386852025986,0.0069066356,78.04545454545455,25.954545454545453
0.0,0.0071447752,0.7777777777777778,479859,4614,2.2222222222222223,322309.68888888886,67.27610865994289,-158.73333333333332,-31.44156624776338,76.64589607324137,32.7238913400571,0.005271925,0.41152665,11371.304258584976,0.0071447752,78.68888888888888,25.31111111111111
0.0,0.005963449,0.5625,489925,4662,2.4375,326400.0,69.14529325739385,-165.3125,-32.9137757118499,77.57759327707753,30.854706742606183,0.004076289,0.38903672,11497.40889430046,0.005963449,79.6875,24.3125
0.0,0.0067654215,0.3125,499857,4710,2.6875,324352.0,68.33158638989777,-162.625,-32.04687109433312,77.11013449875743,31.668413610102224,0.0040846285,0.37685463,11624.190086841583,0.0067654215,79.1875,24.8125
0.0,0.004964033,0.5652173913043478,509874,4756,2.4347826086956523,323138.7826086957,68.36651372582004,-161.80434782608697,-31.42199947651199,76.83547919125888,31.633486274179937,0.0032834543,0.36663145,11747.6283557415,0.004964033,78.8913043478261,25.108695652173914
0.0,0.005095928,0.7674418604651163,519779,4799,2.2325581395348837,320440.5581395349,67.11596966793685,-157.46511627906978,-30.5554451599884,76.220264343431,32.88403033206314,0.0029965907,0.37995246,11862.996170759201,0.005095928,78.23255813953489,25.767441860465116
0.0,0.005733307,0.5,529807,4845,2.5,320200.347826087,67.81258080528471,-159.19565217391303,-31.19638649361483,76.16599048325854,32.187419194715275,0.0035315347,0.36275294,11986.233978748322,0.005733307,78.17391304347827,25.82608695652174
0.0,0.005399713,0.6888888888888889,539838,4890,2.311111111111111,322036.6222222222,65.8656145932264,-155.66666666666666,-30.405138751950233,76.58367562960599,34.13438540677362,0.0037785547,0.3548069,12107.02465891838,0.005399713,78.62222222222222,25.377777777777776
0.0,0.0068982025,0.9302325581395349,549829,4933,2.0697674418604652,317678.1395348837,65.46950520072993,-152.51162790697674,-29.333518858872527,75.58873062746994,34.53049479927006,0.0045795483,0.34397498,12223.109699726105,0.0068982025,77.55813953488372,26.441860465116278
0.0,0.0060744495,0.7906976744186046,559867,4976,2.2093023255813953,318440.18604651163,64.03724671613077,-149.51162790697674,-29.523708595772305,75.74844200425662,35.962753283869226,0.003918271,0.34887055,12338.257777452469,0.0060744495,77.74418604651163,26.27906976744186
0.0,0.005719588,0.8409090909090909,569836,5020,2.159090909090909,318929.45454545453,64.30788886712959,-150.3409090909091,-29.71690903363291,75.87626981096588,35.692111132870394,0.003924653,0.3700921,12455.59026646614,0.005719588,77.86363636363636,26.136363636363637
0.0,0.005639337,0.75,579999,5064,2.25,322746.1818181818,66.40854489727484,-157.02272727272728,-30.9539731420139,76.74526067921433,33.59145510272518,0.003893011,0.39023334,12569.976949691772,0.005639337,78.79545454545455,25.204545454545453
0.0,0.0046551577,0.5454545454545454,589858,5108,2.4545454545454546,318184.7272727273,66.90249422694248,-156.13636363636363,-30.283236501589474,75.70573563982548,33.09750577305749,0.0031312187,0.3729718,12688.338984251022,0.0046551577,77.68181818181819,26.318181818181817
0.0,0.0057876436,0.4222222222222222,599902,5153,2.577777777777778,318668.8,68.41268928042409,-159.73333333333332,-30.74915079886233,75.81527331221012,31.58731071957588,0.0044544707,0.39750788,12807.196046829224,0.0057876436,77.8,26.2
0.0,0.004939976,0.4666666666666667,609772,5198,2.533333333333333,323219.9111111111,66.86686960632703,-158.53333333333333,-31.112946538746982,76.85399781031946,33.133130393672985,0.0035062393,0.38474324,12926.35101056099,0.004939976,78.91111111111111,25.08888888888889
0.0,0.0060477704,0.4888888888888889,619984,5243,2.511111111111111,320944.35555555555,67.30651338302971,-158.66666666666666,-30.660243870637633,76.33317000563856,32.69348661697028,0.0039459425,0.38473234,13048.999472379684,0.0060477704,78.35555555555555,25.644444444444446
0.0,0.005616939,0.8536585365853658,629881,5284,2.1463414634146343,316990.43902439025,64.93017179772521,-150.9512195121951,-29.147171083655145,75.43433029182198,35.069828202274785,0.0039066914,0.3725298,13161.630311250687,0.005616939,77.39024390243902,26.609756097560975
0.0,0.0050855377,0.7272727272727273,639968,5328,2.272727272727273,320232.7272727273,66.67317907702162,-156.61363636363637,-30.266225691834475,76.17330629582933,33.32682092297838,0.0036399756,0.37555167,13279.277131319046,0.0050855377,78.18181818181819,25.818181818181817
0.0,0.0055706264,0.9534883720930233,649898,5371,2.046511627906977,321297.8604651163,65.87924107492391,-155.2325581395349,-29.665375505845738,76.41653059236185,34.120758925076096,0.0033131202,0.37190378,13396.709251403809,0.0055706264,78.44186046511628,25.558139534883722
0.0,0.0049577393,0.7111111111111111,659867,5416,2.2888888888888888,320853.3333333333,68.42482339363458,-160.73333333333332,-31.168498927879575,76.3140334872424,31.575176606365407,0.0040029273,0.37380046,13519.614022493362,0.0049577393,78.33333333333333,25.666666666666668
0.0,0.0054341992,0.8780487804878049,669768,5457,2.1219512195121952,319388.0975609756,64.9194443296375,-151.90243902439025,-29.04867845905481,75.98089637457284,35.08055567036251,0.004066001,0.3743382,13635.11501121521,0.0054341992,77.97560975609755,26.024390243902438
0.0,0.0084663555,1.2954545454545454,679924,5501,1.7045454545454546,322466.9090909091,65.22711938018027,-154.5,-30.47335508400565,76.6810217387664,34.77288061981971,0.005051321,0.3559502,13751.181774377823,0.0084663555,78.72727272727273,25.272727272727273
0.0,0.0060735513,1.119047619047619,689800,5543,1.880952380952381,318317.71428571426,64.3992321441726,-150.35714285714286,-29.21274436166085,75.72214019610598,35.600767855827385,0.0042483504,0.36395684,13865.87257862091,0.0060735513,77.71428571428571,26.30952380952381
0.0,0.0054047913,0.9767441860465116,699920,5586,2.0232558139534884,319773.76744186046,64.90656068228267,-151.95348837209303,-29.966392969766424,76.068173252088,35.09343931771734,0.0038599456,0.36082283,13980.98964214325,0.0054047913,78.06976744186046,25.930232558139537
