surrgain,EpisodesSoFar,TimeElapsed,TimestepsSoFar,Fce,MtR,AttNC,AttC,entropy,TtR,optimgain,entloss,meankl
0.0020167169,9534,6971.385421991348,1909803,0.14112812071330588,20.04452127609517,0.8666666666666667,0.13333333333333333,-0.21338063,34.91111111111111,0.0020167169,0.0,0.0073750345
0.003463858,9577,7003.455317020416,1919918,0.15092170423191312,20.946663670177607,0.9302325581395349,0.06976744186046512,-0.19339553,36.55813953488372,0.003463858,0.0,0.0067123445
0.0032710808,9619,7039.24556183815,1929944,0.17057142857142857,20.232844222956714,0.9523809523809523,0.047619047619047616,-0.20939778,35.42857142857143,0.0032710808,0.0,0.008925995
0.0018969234,9660,7072.599483013153,1939945,0.14165853658536587,20.157477222665136,0.975609756097561,0.024390243902439025,-0.23131785,35.41463414634146,0.0018969234,0.0,0.008744649
0.0027186356,9703,7106.46488571167,1949843,0.14850207335211346,20.480359488462106,0.9069767441860465,0.09302325581395349,-0.24987178,36.04651162790697,0.0027186356,0.0,0.007846883
0.0032392112,9743,7143.310547590256,1959843,0.1526,21.617756329777162,1.0,0.0,-0.20752913,38.15,0.0032392112,0.0,0.0066995057
0.001245691,9785,7177.500926494598,1969921,0.1461162646876933,20.508517852849224,0.9523809523809523,0.047619047619047616,-0.230169,36.04761904761905,0.001245691,0.0,0.008822099
0.002309689,9825,7211.220348119736,1979921,0.1494,20.640501488659552,1.0,0.0,-0.25963432,37.35,0.002309689,0.0,0.0053313286
0.0034410863,9865,7248.952101230621,1989921,0.14599999999999996,20.663756078374963,1.0,0.0,-0.24498144,36.5,0.0034410863,0.0,0.007914588
0.002804704,9905,7281.88346529007,1999810,0.15385755395683454,21.616452019676487,0.975,0.025,-0.2596897,38.125,0.002804704,0.0,0.008154117
0.0040840018,9947,7315.01436829567,2009774,0.1508206162801145,20.56867777401198,0.9047619047619048,0.09523809523809523,-0.2638409,35.904761904761905,0.0040840018,0.0,0.011123372
0.005013313,9988,7348.445135831833,2019775,0.14692682926829265,20.74728877598263,0.975609756097561,0.024390243902439025,-0.21570368,36.73170731707317,0.005013313,0.0,0.0127529
0.002339868,10028,7382.128051996231,2029775,0.13970000000000002,19.75859021345612,1.0,0.0,-0.23469418,34.925,0.002339868,0.0,0.009660059
0.0022513566,10068,7417.391370534897,2039775,0.12940000000000002,17.94926161700743,1.0,0.0,-0.22932273,32.35,0.0022513566,0.0,0.0075067827
0.0029812288,10109,7451.521442651749,2049776,0.11941463414634146,16.932369515181048,0.975609756097561,0.024390243902439025,-0.22425012,29.853658536585368,0.0029812288,0.0,0.009538526
0.0034783853,10149,7483.518801689148,2059776,0.14479999999999998,20.29777768348619,1.0,0.0,-0.25310224,36.2,0.0034783853,0.0,0.008947186
0.0028873063,10189,7518.199791431427,2069776,0.1476,20.965696212052656,1.0,0.0,-0.25339684,36.9,0.0028873063,0.0,0.007866191
0.0022435952,10229,7550.088181734085,2079776,0.148,20.856852640106077,1.0,0.0,-0.23664236,37.0,0.0022435952,0.0,0.009482214
0.0012656845,10269,7584.813021183014,2089776,0.14770000000000005,20.928518032227498,1.0,0.0,-0.17942223,36.925,0.0012656845,0.0,0.0072876434
0.0043486557,10309,7621.3006427288055,2099776,0.14920000000000003,20.72466490956104,1.0,0.0,-0.19007112,37.3,0.0043486557,0.0,0.005704157
0.0016174385,10349,7653.697616100311,2109776,0.15140000000000003,21.453517485751924,1.0,0.0,-0.13747339,37.85,0.0016174385,0.0,0.005743513
0.0015937515,10389,7689.013372182846,2119776,0.14750000000000002,20.720306346098734,1.0,0.0,-0.13540721,36.875,0.0015937515,0.0,0.008005463
0.0025615082,10430,7724.813463449478,2129777,0.1389268292682927,19.836237969536434,0.975609756097561,0.024390243902439025,-0.17492084,34.73170731707317,0.0025615082,0.0,0.009771173
