entloss,TimeElapsed,AttC,optimgain,AttNC,meankl,surrgain,TimestepsSoFar,entropy,Fce,EpisodesSoFar,MtR,TtR
0.0,119822.71839237213,0.0,0.00094479584,10.0,0.0053366967,0.00094479584,3629844,-0.2667837,0.9705999999999998,14933,138.45805619698515,2426.5
0.0,120095.57187867165,0.0,0.0017946668,10.0,0.007259651,0.0017946668,3639844,-0.23526,0.9628,14973,137.27224966359512,2407.0
0.0,120361.016664505,0.0,0.0020932877,10.0,0.0074615297,0.0020932877,3649844,-0.2298082,0.9592000000000003,15013,136.81755149380672,2398.0
0.0,120638.18512034416,0.0,0.0018027406,10.0,0.006555819,0.0018027406,3659844,-0.21353598,0.9489000000000001,15053,135.62940774363764,2372.25
0.0,120910.1099729538,0.0,0.0017879101,10.0,0.007634553,0.0017879101,3669844,-0.22207211,0.9507,15093,135.42360621034814,2376.75
0.0,121181.76010322571,0.0,0.0019501931,10.0,0.0074425414,0.0019501931,3679844,-0.24014777,0.9279,15133,132.24916100392323,2319.75
0.0,121453.83823370934,0.0,0.0021618635,10.0,0.0077879163,0.0021618635,3689844,-0.2502441,0.9104000000000003,15173,129.78716141891732,2276.0
0.0,121719.23334503174,0.0,0.0015311167,10.0,0.006576984,0.0015311167,3699844,-0.27393007,0.9096999999999997,15213,129.92146716449304,2274.25
0.0,121992.40861725807,0.0,0.0019739117,10.0,0.0072024073,0.0019739117,3709844,-0.23630765,0.9158000000000002,15253,130.82621337818213,2289.5
0.0,122265.961810112,0.0,0.0013782392,10.0,0.006663417,0.0013782392,3719844,-0.23547861,0.9139000000000002,15293,130.65820192201863,2284.75
0.0,122532.8554224968,0.0,0.0020249188,10.0,0.007767686,0.0020249188,3729844,-0.26728362,0.9311,15333,133.19721834447023,2327.75
0.0,122806.40645003319,0.0,0.001861196,10.0,0.007175399,0.001861196,3739844,-0.30400112,0.9492,15373,135.58082343245368,2373.0
0.0,123066.44631528854,0.0,0.001867095,10.0,0.0067957346,0.001867095,3749844,-0.29899704,0.9498,15413,135.66860473792877,2374.5
0.0,123344.40336322784,0.0,0.0020691005,10.0,0.0069874665,0.0020691005,3759844,-0.29983544,0.9570000000000002,15453,136.77328162256848,2392.5
