EpisodesSoFar,surrgain,AttNC,AttC,MtR,TimeElapsed,optimgain,entropy,entloss,TtR,Fce,TimestepsSoFar,meankl
5181,0.0008618614,1.5555555555555556,1.4444444444444444,17.439920219075137,15977.072827339172,0.0008618614,1.3965203,0.0,90.33333333333333,0.1326777879125705,1129999,0.0028689518
5228,0.0009199759,1.5106382978723405,1.4893617021276595,14.840398026962523,16129.804943323135,0.0009199759,1.4078362,0.0,80.04255319148936,0.12053186529782275,1139803,0.0036179875
5275,0.0009364138,1.5319148936170213,1.4680851063829787,16.82649327500633,16272.86547255516,0.0009364138,1.3924084,0.0,88.7872340425532,0.12066193853427896,1149834,0.005603807
5322,0.00091102347,1.5957446808510638,1.4042553191489362,16.785562344424882,16421.765127420425,0.00091102347,1.3597292,0.0,87.95744680851064,0.12555327762942542,1159883,0.0072955242
5368,0.00097171555,1.5869565217391304,1.4130434782608696,15.79922438124821,16581.838064670563,0.00097171555,1.3322031,0.0,82.1086956521739,0.12015731067643012,1169852,0.0034246766
5409,0.0020753643,1.8048780487804879,1.1951219512195121,17.972881653501855,16709.551120996475,0.0020753643,1.3203943,0.0,95.26829268292683,0.1296368563685637,1179861,0.0038904464
5452,0.00056569546,2.0697674418604652,0.9302325581395349,15.113043050336291,16846.440151929855,0.00056569546,1.3198645,0.0,78.97674418604652,0.11050224241884227,1189920,0.0024574543
5500,0.00089540303,1.6666666666666667,1.3333333333333333,14.28827437310501,16980.617912054062,0.00089540303,1.3284792,0.0,72.9375,0.11693193520508642,1199770,0.0034912555
5552,0.0014262004,1.5961538461538463,1.4038461538461537,14.193184535026417,17119.719279289246,0.0014262004,1.3315456,0.0,72.57692307692308,0.11541655780686509,1209844,0.0064740027
5614,0.0014066447,1.2903225806451613,1.7096774193548387,12.264834582745928,17251.682267427444,0.0014066447,1.3201187,0.0,62.95161290322581,0.12198583583794997,1219960,0.007617955
5656,0.0003917511,1.9761904761904763,1.0238095238095237,16.34002591404349,17385.893590450287,0.0003917511,1.3026612,0.0,84.5,0.11936088154269975,1229796,0.008457744
5703,0.00072748767,1.6808510638297873,1.3191489361702127,15.01742647928289,17537.614237308502,0.00072748767,1.2774781,0.0,78.38297872340425,0.11446673421141505,1239871,0.003153847
5746,0.00043892668,1.8837209302325582,1.1162790697674418,15.192556297741362,17676.447236061096,0.00043892668,1.2714419,0.0,81.76744186046511,0.11151421188630492,1249882,0.0011209209
5789,0.0005302531,1.9069767441860466,1.0930232558139534,14.343361882894898,17802.771179914474,0.0005302531,1.2519541,0.0,76.25581395348837,0.10167441860465122,1259901,0.0026595383
5831,0.0004318105,2.2142857142857144,0.7857142857142857,13.895484298125856,17937.69615840912,0.0004318105,1.2671624,0.0,73.64285714285714,0.1219047619047619,1269903,0.0047402238
5871,0.00025711238,2.0,1.0,15.900397474265825,18078.90216898918,0.00025711238,1.2645271,0.0,83.4,0.11120000000000003,1279903,0.007693286
5914,0.0007022532,1.8372093023255813,1.1627906976744187,15.398801543450148,18225.74381160736,0.0007022532,1.2901586,0.0,79.88372093023256,0.11378314708547269,1289922,0.0020570718
5957,0.0013089577,1.627906976744186,1.372093023255814,15.997905120960233,18358.66735816002,0.0013089577,1.3053391,0.0,84.4186046511628,0.14070284237726097,1299939,0.0052823294
6002,0.0012348109,1.8666666666666667,1.1333333333333333,13.311765240829603,18520.685743808746,0.0012348109,1.3257315,0.0,69.2,0.11724300268640074,1309758,0.0031375086
6047,0.00097142666,1.8,1.2,15.780718307086232,18644.851987838745,0.00097142666,1.3212388,0.0,82.4,0.11943850388294833,1319869,0.0026310943
6093,0.0007682073,1.5869565217391304,1.4130434782608696,15.90493175857962,18781.82942867279,0.0007682073,1.3460575,0.0,82.1086956521739,0.11940242889106993,1329864,0.010136816
6135,0.0007261119,1.8095238095238095,1.1904761904761905,16.72597587762636,18924.427132606506,0.0007261119,1.3450896,0.0,88.07142857142857,0.11977259475218663,1339914,0.0011952384
6180,0.00054004265,1.5333333333333334,1.4666666666666666,15.169697880562916,19057.021159648895,0.00054004265,1.3436161,0.0,79.66666666666667,0.11288667496886677,1349770,0.0036531673
6231,0.0008884247,1.6274509803921569,1.3725490196078431,12.488361511385005,19208.99273610115,0.0008884247,1.3720818,0.0,65.17647058823529,0.11724428500899087,1359764,0.0026097696
