Fce,AttC,meankl,EpisodesSoFar,MtR,TimeElapsed,TimestepsSoFar,TtR,entloss,entropy,AttNC,optimgain,surrgain
0.16651540616246494,6.9523809523809526,0.010174871,5305,23.52992954441201,12513.290690898895,1279936,409.76190476190476,0.0,5.812717,3.0476190476190474,2.2277833e-08,2.2277833e-08
0.1655555555555556,6.785714285714286,0.008933102,5347,22.642704819659553,12609.58867096901,1289986,395.7142857142857,0.0,5.9103217,3.2142857142857144,7.93457e-09,7.93457e-09
0.1664258064516129,6.6,0.010174751,5387,23.535156724190117,12717.295793771744,1299767,409.0,0.0,5.812717,3.4,1.3275146e-08,1.3275146e-08
0.1727,6.075,0.008933102,5427,25.159181176667083,12816.925001382828,1309767,431.75,0.0,5.9103217,3.925,2.5939942e-08,2.5939942e-08
0.16457431457431457,6.454545454545454,0.010174751,5471,22.34307565226493,12917.531610488892,1319833,387.95454545454544,0.0,5.812717,3.5454545454545454,2.7770996e-08,2.7770996e-08
0.1708,6.475,0.008933196,5511,24.63614511974509,13023.550517559052,1329833,427.0,0.0,5.9103217,3.525,3.265381e-08,3.265381e-08
0.16508683473389357,6.571428571428571,0.0006043315,5553,23.19674385471757,13122.058361291885,1339875,401.9047619047619,0.0,5.8859186,3.4285714285714284,1.5258789e-09,1.5258789e-09
0.15536121520340476,7.159090909090909,0.008932582,5597,20.938730321787784,13222.238882780075,1349786,362.5,0.0,5.9834514,2.840909090909091,1.2207031e-08,1.2207031e-08
0.1614391534391534,6.5476190476190474,3.695488e-05,5639,22.16987303155143,13329.685872077942,1359918,392.6190476190476,0.0,5.989583,3.4523809523809526,-4.119873e-09,-4.119873e-09
0.17080758807588073,6.609756097560975,0.010174751,5680,24.218370737708987,13425.076819181442,1369963,421.4634146341463,0.0,5.8920484,3.3902439024390243,1.0070801e-08,1.0070801e-08
0.16099567099567103,6.833333333333333,0.010174751,5722,22.68643184508079,13518.698627471924,1379778,388.8095238095238,0.0,5.7944326,3.1666666666666665,6.5460206e-08,6.5460206e-08
0.1628,6.475,0.010174639,5762,23.416431674904086,13614.300248861313,1389778,407.0,0.0,5.6967916,3.525,6.4086914e-09,6.4086914e-09
0.16103738592876074,6.790697674418604,0.008933204,5805,22.97155779180997,13704.837230443954,1399889,392.7906976744186,0.0,5.794433,3.2093023255813953,6.7138672e-09,6.7138672e-09
0.17053658536585364,6.146341463414634,0.008933067,5846,24.485616728695632,13800.087604999542,1409900,426.3414634146341,0.0,5.8920484,3.8536585365853657,2.1972657e-08,2.1972657e-08
0.1612908067542214,6.975609756097561,0.008933102,5887,22.96637782637956,13898.116505861282,1419991,400.2439024390244,0.0,5.989583,3.024390243902439,1.4953613e-08,1.4953613e-08
