TimestepsSoFar,EpisodesSoFar,Ptt,Tmc,meankl,TtR,entropy,Tmt,entloss,surrgain,optimgain,AttNC,TimeElapsed,MtR,Tbt,AttC,MpbtN,MpbtA
129877,3803,81.32461297737856,20.26829268292683,0.0025368615,-71.51219512195122,0.25652152,83.65853658536585,0.0,0.003016504,0.003016504,0.6341463414634146,9377.696822404861,-41.13515611098431,342665.3658536585,0.36585365853658536,85.46228109987534,14.537718900124688
139999,3844,80.66889301909065,20.975609756097562,0.005253126,-70.46341463414635,0.19770125,82.95121951219512,0.0,0.0056473236,0.0056473236,0.6829268292682927,9490.585658073425,-40.08387339338074,339768.1951219512,0.3170731707317073,84.95587189773826,15.044128102261752
149771,3880,80.82237107288915,20.805555555555557,0.0031141988,-72.83333333333333,0.23123877,83.11111111111111,0.0,0.0022131389,0.0022131389,0.8611111111111112,9596.895316123962,-39.72961673422258,340423.1111111111,0.1388888888888889,87.59574151695273,12.404258483047245
159771,3917,80.84909196083413,20.783783783783782,0.0042168847,-71.86486486486487,0.2744749,83.16216216216216,0.0,0.0028768983,0.0028768983,0.918918918918919,9700.96583366394,-40.21533772464951,340632.2162162162,0.08108108108108109,86.39386405983329,13.60613594016671
169828,3959,80.75988238472311,20.88095238095238,0.0049514086,-70.78571428571429,0.23499553,83.07142857142857,0.0,0.00685444,0.00685444,0.7857142857142857,9818.56598496437,-42.16083953493235,340260.5714285714,0.21428571428571427,85.22889747896777,14.771102521032246
179865,3998,80.855020201643,20.76923076923077,0.0060826084,-71.87179487179488,0.2943896,83.12820512820512,0.0,0.005174271,0.005174271,0.7435897435897436,9927.064587831497,-40.25929506298144,340493.1282051282,0.2564102564102564,86.4301929236913,13.569807076308706
189759,4040,79.9668417532337,21.738095238095237,0.00556041,-69.30952380952381,0.22529228,82.23809523809524,0.0,0.0043529836,0.0043529836,0.47619047619047616,10045.232292175293,-39.47073177978898,336847.2380952381,0.5238095238095238,84.27008976856281,15.729910231437193
199974,4079,80.4821883565373,21.17948717948718,0.0043203724,-72.0,0.19254775,82.76923076923077,0.0,0.001837339,0.001837339,0.8205128205128205,10152.516951322556,-40.23088304615029,339022.76923076925,0.1794871794871795,86.9437057044107,13.0562942955893
209978,4115,81.51667360469301,20.055555555555557,0.01045986,-73.69444444444444,0.28959522,83.83333333333333,0.0,0.0065569654,0.0065569654,1.0,10255.243809223175,-40.5101421562791,343381.3333333333,0.0,87.87414496011125,12.125855039888725
219832,4153,80.62435632361145,21.026315789473685,0.0042636613,-69.71052631578948,0.26302037,82.92105263157895,0.0,0.004433063,0.004433063,0.8421052631578947,10364.639923095703,-39.06338806491175,339644.63157894736,0.15789473684210525,84.02741975094413,15.972580249055865
