meankl,EpisodesSoFar,TtR,optimgain,MpbtN,MtR,Tmc,Tbt,AttC,TimeElapsed,Tmt,entloss,surrgain,Ptt,entropy,AttNC,TimestepsSoFar,MpbtA
0.008799304,11250,-149.69230769230768,0.0011564398,26.090132960834136,-10.60341460668968,47.47692307692308,235929.6,5.6,27128.318654060364,57.6,0.0,0.0011564398,56.19504019421995,0.20177227,4.4,1529983,73.90986703916583
0.008098047,11312,-158.2258064516129,0.0011740839,26.71001910473865,-10.691189251234633,46.064516129032256,241664.0,5.951612903225806,27274.504539251328,59.0,0.0,0.0011740839,57.51972771738134,0.1469648,4.048387096774194,1539938,73.28998089526132
0.010077292,11377,-131.53846153846155,0.0015076236,23.503278925774108,-9.56141494301084,48.98461538461538,230132.1846153846,3.123076923076923,27435.08895945549,56.184615384615384,0.0,0.0015076236,54.81131731551868,0.22306664,6.876923076923077,1549876,76.49672107422587
0.008024091,11442,-138.92307692307693,0.0009297504,24.391990907429474,-9.702834234171485,48.33846153846154,232526.76923076922,4.6461538461538465,27589.175928354263,56.76923076923077,0.0,0.0009297504,55.393010250081026,0.17193301,5.3538461538461535,1559869,75.60800909257053
0.010532985,11508,-126.21212121212122,0.0024081452,23.049880632112558,-9.203635829089691,50.43939393939394,224535.27272727274,2.196969696969697,27753.44979071617,54.81818181818182,0.0,0.0024081452,53.476937077367054,0.24036881,7.803030303030303,1569857,76.95011936788747
0.009335849,11568,-196.83333333333334,0.0017616028,31.925219542979494,-12.699409301686833,44.05,249719.46666666667,6.366666666666666,27901.860937595367,60.96666666666667,0.0,0.0017616028,59.3987146328861,0.17554721,3.6333333333333333,1579858,68.07478045702047
0.00856901,11632,-179.6875,0.0014705963,30.12550937118984,-11.855781542961141,45.9375,242048.0,6.859375,28053.780198574066,59.09375,0.0,0.0014705963,57.62653446618648,0.14135282,3.140625,1589909,69.87449062881015
0.009464147,11699,-137.16417910447763,0.0018437445,24.244639190675027,-10.023144529210148,48.80597014925373,230843.223880597,2.462686567164179,28215.22192645073,56.35820895522388,0.0,0.0018437445,54.97842761904893,0.2130821,7.537313432835821,1599913,75.755360809325
0.008161161,11764,-135.53846153846155,0.0013634361,23.936313385065073,-9.689432941058387,48.49230769230769,232085.66153846154,3.5384615384615383,28371.46680498123,56.66153846153846,0.0,0.0013634361,55.26927284211658,0.16861574,6.461538461538462,1609863,76.06368661493494
0.011760897,11829,-138.92307692307693,0.0010270133,24.93711917168844,-10.217901015179883,49.56923076923077,228052.6769230769,2.076923076923077,28537.38404893875,55.676923076923075,0.0,0.0010270133,54.29392067923076,0.22423714,7.923076923076923,1619900,75.06288082831155
