TimestepsSoFar,AttC,AttNC,TtR,MpbtA,MpbtN,Tbt,Ptt,entloss,Tmt,EpisodesSoFar,entropy,optimgain,Tmc,meankl,surrgain,TimeElapsed,MtR
2929799,0.23684210526315788,0.7631578947368421,-66.3157894736842,19.44281365417077,80.55718634582922,337165.4736842105,80.08243739159694,0.0,82.3157894736842,14659,0.21561338,0.0055217133,21.605263157894736,0.0053394926,0.0055217133,47318.29361271858,-37.55442460927602
2939758,0.2894736842105263,0.7105263157894737,-65.78947368421052,18.923463403939035,81.07653659606098,332314.94736842107,78.93966279863696,0.0,81.13157894736842,14697,0.24373262,0.004926808,22.842105263157894,0.0053338925,0.004926808,47446.54080700874,-37.2952776344964
2949803,0.28205128205128205,0.717948717948718,-66.23076923076923,18.352947780924723,81.64705221907528,332091.07692307694,78.88733862873742,0.0,81.07692307692308,14736,0.21295324,0.005749884,22.897435897435898,0.0058015776,0.005749884,47579.58069014549,-37.11657883497101
2959783,0.2894736842105263,0.7105263157894737,-66.42105263157895,18.54882573484041,81.45117426515958,333931.7894736842,79.30710312836736,0.0,81.52631578947368,14774,0.25245506,0.0086178025,22.44736842105263,0.007904282,0.0086178025,47710.94246697426,-37.27300473005868
2969839,0.5384615384615384,0.46153846153846156,-65.7948717948718,19.54614141129555,80.45385858870443,334926.76923076925,79.53330320812617,0.0,81.76923076923077,14813,0.2362917,0.005334529,22.205128205128204,0.0035389562,0.005334529,47842.87224030495,-37.0086972985565
2979958,0.475,0.525,-66.1,19.526537592787484,80.47346240721251,336384.0,79.88250075851894,0.0,82.125,14853,0.24184562,0.0033547303,21.825,0.0042091776,0.0033547303,47975.29263687134,-37.2459049863242
2989949,0.6,0.4,-65.9,19.79225407502023,80.20774592497978,336486.4,79.92311033189422,0.0,82.15,14893,0.21307422,0.005007344,21.775,0.0053010355,0.005007344,48111.31531906128,-37.21472197617089
2999845,0.4358974358974359,0.5641025641025641,-66.46153846153847,18.971313635087796,81.0286863649122,335872.0,79.78653011872477,0.0,82.0,14932,0.21617651,0.004090329,21.923076923076923,0.0048790826,0.004090329,48246.3574757576,-37.43590334588513
3009813,0.41025641025641024,0.5897435897435898,-66.7948717948718,18.73596416595463,81.26403583404539,336712.2051282051,79.97777560579831,0.0,82.2051282051282,14971,0.22019143,0.00901417,21.71794871794872,0.0066627045,0.00901417,48379.83840537071,-37.97915597544052
3019855,0.5384615384615384,0.46153846153846156,-65.84615384615384,19.313760191317293,80.68623980868271,334191.58974358975,79.34496053825941,0.0,81.58974358974359,15010,0.21363567,0.004840552,22.41025641025641,0.00560777,0.004840552,48513.79565000534,-37.10851337653927
3029845,0.45,0.55,-66.85,18.87863067956355,81.12136932043646,337408.0,80.1143381886184,0.0,82.375,15050,0.21715643,0.005968744,21.575,0.0054367,0.005968744,48650.83833837509,-38.27589884854291
3039994,0.5128205128205128,0.48717948717948717,-65.76923076923077,19.394264361539562,80.60573563846044,334191.58974358975,79.34487200742518,0.0,81.58974358974359,15089,0.20941328,0.0038451904,22.41025641025641,0.0064245737,0.0038451904,48782.99752640724,-36.65081636398513
3049803,0.19444444444444445,0.8055555555555556,-65.72222222222223,19.784598273697476,80.21540172630253,335644.44444444444,79.69638805553186,0.0,81.94444444444444,15125,0.20238386,0.0047909026,22.02777777777778,0.005116691,0.0047909026,48907.1002035141,-36.063880946512135
3059948,0.02702702702702703,0.972972972972973,-65.83783783783784,19.919780654940606,80.08021934505939,336757.6216216216,79.99013244854137,0.0,82.21621621621621,15162,0.22091499,0.005557749,21.7027027027027,0.0053709303,0.005557749,49039.159846544266,-36.29538876902009
3069996,0.15384615384615385,0.8461538461538461,-66.15384615384616,19.264218094641812,80.7357819053582,335346.8717948718,79.64784467247672,0.0,81.87179487179488,15201,0.19813448,0.005803598,22.076923076923077,0.0057069976,0.005803598,49174.00420117378,-37.684953819473634
3079883,0.027777777777777776,0.9722222222222222,-65.88888888888889,19.15524245395632,80.8447575460437,333710.22222222225,79.23509339322645,0.0,81.47222222222223,15237,0.24226464,0.009001206,22.52777777777778,0.0083155455,0.009001206,49303.256583452225,-37.08749170026053
3089924,0.25,0.75,-67.05,18.64343348583489,81.35656651416512,337612.8,80.16173434976731,0.0,82.425,15277,0.23004395,0.0058272476,21.525,0.0053744484,0.0058272476,49437.28786468506,-38.05311448165487
3099931,0.1794871794871795,0.8205128205128205,-65.74358974358974,19.28420819739179,80.71579180260821,333456.41025641025,79.19661063070448,0.0,81.41025641025641,15316,0.20666523,0.004928267,22.564102564102566,0.0053988346,0.004928267,49568.75491023064,-37.43976698963244
3109814,0.15384615384615385,0.8461538461538461,-67.15384615384616,18.578008696218806,81.42199130378121,337762.46153846156,80.21722271063567,0.0,82.46153846153847,15355,0.22388999,0.0071785706,21.46153846153846,0.00651282,0.0071785706,49699.17024874687,-38.13518408189835
3119802,0.15789473684210525,0.8421052631578947,-64.78947368421052,20.667036120085715,79.33296387991429,334470.7368421053,79.42862405054497,0.0,81.65789473684211,15393,0.2039811,0.005519684,22.31578947368421,0.005418247,0.005519684,49831.40783905983,-36.05661754158482
3129777,0.20512820512820512,0.7948717948717948,-66.15384615384616,19.310334525249047,80.68966547475095,335977.0256410256,79.79166204495647,0.0,82.02564102564102,15432,0.19333267,0.0035004676,21.923076923076923,0.0051314575,0.0035004676,49956.53980565071,-36.776977117730006
3139827,0.10810810810810811,0.8918918918918919,-65.54054054054055,18.978124263956527,81.02187573604348,331222.4864864865,78.66985655716084,0.0,80.86486486486487,15469,0.23198862,0.0076829004,23.135135135135137,0.008322852,0.0076829004,50087.980739593506,-36.60916976794718
3149758,0.21052631578947367,0.7894736842105263,-64.73684210526316,19.723294303453812,80.27670569654617,330374.7368421053,78.51822716189585,0.0,80.65789473684211,15507,0.20981069,0.004525747,23.289473684210527,0.005857347,0.004525747,50219.12798309326,-37.08897393434198
3159793,0.46153846153846156,0.5384615384615384,-65.15384615384616,19.900081695676004,80.099918304324,333036.3076923077,79.12146702627096,0.0,81.3076923076923,15546,0.21420528,0.0050829356,22.641025641025642,0.007491423,0.0050829356,50350.4048306942,-37.15245799733258
3169803,0.5897435897435898,0.41025641025641024,-65.94871794871794,19.459886041457743,80.54011395854225,335451.89743589744,79.6526890064771,0.0,81.8974358974359,15585,0.21572632,0.005673564,22.076923076923077,0.0051603517,0.005673564,50487.08908057213,-37.09831787178794
3179932,0.358974358974359,0.6410256410256411,-64.07692307692308,21.44870542502004,78.55129457497995,334086.5641025641,79.34058832651817,0.0,81.56410256410257,15624,0.2176843,0.004512052,22.41025641025641,0.0050088083,0.004512052,50617.16238808632,-35.43944073633846
3189753,0.1891891891891892,0.8108108108108109,-65.0,20.452911858057977,79.547088141942,334654.2702702703,79.49184595322866,0.0,81.70270270270271,15661,0.20704526,0.0056506637,22.243243243243242,0.005756977,0.0056506637,50744.371883392334,-37.04829440275032
3199761,0.07894736842105263,0.9210526315789473,-65.86842105263158,20.020540351599312,79.97945964840068,337165.4736842105,80.06320962969347,0.0,82.3157894736842,15699,0.21572708,0.0068586706,21.63157894736842,0.0074348557,0.0068586706,50874.33387327194,-37.464791960328604
3209862,0.2631578947368421,0.7368421052631579,-65.97368421052632,18.98489473516966,81.01510526483034,333608.4210526316,79.21235121327682,0.0,81.44736842105263,15737,0.19991975,0.0053826296,22.55263157894737,0.004847782,0.0053826296,51001.39473819733,-36.714903434849724
3219933,0.325,0.675,-65.75,19.696246027239106,80.30375397276092,335360.0,79.60897443674938,0.0,81.875,15777,0.1937501,0.006691861,22.125,0.005557794,0.006691861,51140.43303966522,-37.51371453190895
3229846,0.18421052631578946,0.8157894736842105,-65.94736842105263,19.93647063351696,80.06352936648307,337381.05263157893,80.11261886095278,0.0,82.36842105263158,15815,0.22993676,0.0057440726,21.57894736842105,0.005054657,0.0057440726,51269.89256668091,-37.81033222589894
3239746,0.34210526315789475,0.6578947368421053,-65.13157894736842,19.93556383438032,80.06443616561968,333177.2631578947,79.11529810403488,0.0,81.34210526315789,15853,0.21850117,0.00745522,22.657894736842106,0.0064442307,0.00745522,51401.45513963699,-37.11640872831851
