EpisodesSoFar,AttNC,meankl,Ptt,TimestepsSoFar,entloss,Tmc,entropy,surrgain,MpbtN,MtR,optimgain,TimeElapsed,MpbtA,TtR,Tbt,Tmt,AttC
4151,2.5166666666666666,0.0032015743,60.86574626713949,369907,0.0,42.46666666666667,0.3938755,0.0029908158,32.78483442194049,-13.498868998680994,0.0029908158,10320.828820705414,67.2151655780595,-205.33333333333334,255931.73333333334,62.483333333333334,7.483333333333333
4212,2.2950819672131146,0.00371953,59.95400818493789,379931,0.0,43.42622950819672,0.39783257,0.0034341526,32.96142011445897,-13.468581351719076,0.0034341526,10491.460604429245,67.03857988554103,-203.7704918032787,251937.5737704918,61.50819672131148,7.704918032786885
4272,2.816666666666667,0.0037733535,60.05082562552453,389939,0.0,43.35,0.3752397,0.0030593036,29.71647083075447,-12.257095738906802,0.0030593036,10644.402718544006,70.28352916924557,-184.0,252518.4,61.65,7.183333333333334
4332,2.9,0.0035821733,60.43175875746968,399993,0.0,42.93333333333333,0.38878813,0.0034049042,29.101725589229243,-12.068472314696892,0.0034049042,10832.129701852798,70.89827441077078,-181.33333333333334,254088.53333333333,62.03333333333333,7.1
4392,3.1333333333333333,0.0031096267,58.644001745422386,409974,0.0,44.85,0.36972234,0.0026442108,29.481143851358535,-12.319369219211634,0.0026442108,10987.288719177246,70.51885614864146,-178.5,246442.66666666666,60.166666666666664,6.866666666666666
4452,3.3833333333333333,0.003614483,58.799685416429014,419957,0.0,44.68333333333333,0.37526336,0.0032359553,30.252914299145257,-12.573869267008636,0.0032359553,11164.654950380325,69.74708570085475,-182.66666666666666,247125.33333333334,60.333333333333336,6.616666666666666
4511,3.305084745762712,0.003493938,59.974583307422805,429817,0.0,43.42372881355932,0.36731482,0.003410931,27.892268011542544,-11.952584865399324,0.003410931,11316.118129730225,72.10773198845746,-171.864406779661,252146.98305084746,61.559322033898304,6.694915254237288
4571,3.4,0.00313282,59.38369737895205,439891,0.0,44.06666666666667,0.37774342,0.0026855972,29.32589443953502,-12.325932092796444,0.0026855972,11507.315865039825,70.674105560465,-179.0,249651.2,60.95,6.6
4632,3.0163934426229506,0.003973704,57.98970618614699,449931,0.0,45.540983606557376,0.37175393,0.0032662635,29.674973108594656,-12.135167028972639,0.0032662635,11663.672399520874,70.32502689140533,-176.39344262295083,243611.2786885246,59.47540983606557,6.983606557377049
4692,2.966666666666667,0.0029215857,59.61850406410687,459890,0.0,43.81666666666667,0.37290773,0.00305602,29.271733003261925,-12.399592725662396,0.00305602,11843.023431301117,70.72826699673807,-180.5,250675.2,61.2,7.033333333333333
4752,2.8666666666666667,0.003443839,59.53670181134842,469994,0.0,43.88333333333333,0.3591418,0.003076413,30.098617001254144,-12.359333318371268,0.003076413,11994.358780384064,69.90138299874585,-184.83333333333334,250197.33333333334,61.083333333333336,7.133333333333334
4811,3.983050847457627,0.0036571827,60.30582947822556,479896,0.0,43.08474576271186,0.36885345,0.0033749493,29.497312340140017,-12.618882930826391,0.0033749493,12177.255401849747,70.50268765985999,-182.71186440677965,253674.30508474575,61.932203389830505,6.016949152542373
4871,2.75,0.0031223623,59.374778720356126,489927,0.0,44.06666666666667,0.37817,0.0030716034,30.43689901945587,-12.704539007323774,0.0030716034,12330.823799848557,69.56310098054412,-185.83333333333334,249582.93333333332,60.93333333333333,7.25
4930,3.0338983050847457,0.003473012,58.71399430032372,499868,0.0,44.76271186440678,0.37350884,0.002897113,26.742843785803238,-11.088634878433108,0.002897113,12515.007234811783,73.2571562141968,-162.03389830508473,246662.50847457626,60.220338983050844,6.966101694915254
4991,3.2459016393442623,0.002739582,59.297947059918606,509970,0.0,44.16393442622951,0.36826554,0.0025444767,27.815274001805378,-11.790601670183124,0.0025444767,12666.104259490967,72.18472599819466,-169.672131147541,249318.81967213115,60.868852459016395,6.754098360655738
5051,3.3333333333333335,0.0035291007,59.37292722089496,519983,0.0,44.06666666666667,0.37266883,0.0028911203,30.718906732594096,-13.191090145590529,0.0028911203,12848.630212306976,69.28109326740591,-187.0,249582.93333333332,60.93333333333333,6.666666666666667
5111,3.05,0.003564585,58.79343855192504,529974,0.0,44.7,0.38137296,0.0028506953,30.247318228597603,-12.64376651414914,0.0028506953,13004.09486579895,69.75268177140241,-183.16666666666666,247125.33333333334,60.333333333333336,6.95
5169,3.293103448275862,0.0034724667,58.81358941455574,539849,0.0,44.672413793103445,0.40815973,0.0029105805,28.81291994010333,-11.846656801859055,0.0029105805,13194.201200246811,71.18708005989666,-173.9655172413793,247172.41379310345,60.3448275862069,6.706896551724138
5228,2.593220338983051,0.0036510683,61.165482032673104,549948,0.0,42.13559322033898,0.41222104,0.0026537532,32.758546654371344,-13.65766145936487,0.0026537532,13345.386801958084,67.24145334562867,-206.77966101694915,257145.49152542374,62.779661016949156,7.406779661016949
5288,2.8333333333333335,0.0032428757,59.462210001377784,559943,0.0,43.96666666666667,0.38732064,0.0027796011,29.10284799051581,-11.910503486913408,0.0027796011,13519.709241867065,70.89715200948419,-178.66666666666666,249924.26666666666,61.016666666666666,7.166666666666667
5348,2.6166666666666667,0.0034897134,60.46507257771696,569947,0.0,42.9,0.38620833,0.0029654566,31.157184501835154,-12.91940410795565,0.0029654566,13672.989651679993,68.84281549816482,-194.5,254293.33333333334,62.083333333333336,7.383333333333334
5409,2.4754098360655736,0.0038220333,59.51049790243037,579980,0.0,43.91803278688525,0.3721082,0.0032622379,28.873953966240904,-12.036479497969225,0.0032622379,13853.789095878601,71.12604603375908,-177.04918032786884,250124.59016393442,61.0655737704918,7.524590163934426
5472,1.8095238095238095,0.0042999457,59.18250258550766,589900,0.0,44.26984126984127,0.3854166,0.0039621894,33.35610183091327,-13.668761745251473,0.0039621894,14010.828110933304,66.64389816908673,-203.33333333333334,248750.73015873015,60.73015873015873,8.19047619047619
5533,2.2950819672131146,0.0032506147,59.91141293262546,599899,0.0,43.49180327868852,0.35862923,0.0032915315,33.37090106473357,-13.950215906428895,0.0032915315,14193.03891134262,66.62909893526641,-205.40983606557376,251870.4262295082,61.49180327868852,7.704918032786885
5595,3.3225806451612905,0.0046912944,59.08018204597552,609939,0.0,44.38709677419355,0.38333952,0.0031701,29.478890325565608,-12.659284648815241,0.0031701,14350.564190387726,70.5211096744344,-178.5483870967742,248336.51612903227,60.62903225806452,6.67741935483871
5658,2.8412698412698414,0.003604727,58.773259218591036,619986,0.0,44.698412698412696,0.36164176,0.0033360256,31.94730301309984,-13.363826313991366,0.0033360256,14536.42158317566,68.05269698690019,-195.3968253968254,246930.2857142857,60.285714285714285,7.158730158730159
5719,2.9344262295081966,0.0028708829,58.107094290919115,629998,0.0,45.42622950819672,0.394268,0.0026461785,28.81494265573391,-11.795372561234196,0.0026461785,14694.260017633438,71.18505734426608,-171.9672131147541,244148.45901639343,59.60655737704918,7.065573770491803
5780,2.3934426229508197,0.00357676,59.945988472452356,639988,0.0,43.459016393442624,0.41545743,0.0029704424,29.618330524640793,-12.29960587820211,0.0029704424,14871.961277008057,70.38166947535919,-182.45901639344262,252071.868852459,61.540983606557376,7.60655737704918
5841,1.8360655737704918,0.004436788,59.33829826771747,649985,0.0,44.09836065573771,0.39537555,0.0032258579,30.657469865343305,-12.304210342257305,0.0032258579,15029.581668138504,69.34253013465671,-187.37704918032787,249385.96721311475,60.885245901639344,8.163934426229508
5900,2.389830508474576,0.00409933,59.79867652941127,659839,0.0,43.610169491525426,0.39411426,0.0031359568,29.145631040842325,-12.099199410530204,0.0031359568,15204.598934650421,70.85436895915765,-178.98305084745763,251383.3220338983,61.3728813559322,7.610169491525424
5962,2.838709677419355,0.0030570899,58.587584558199765,669994,0.0,44.903225806451616,0.39308804,0.002425491,27.580101860734167,-11.495392182365617,0.002425491,15363.164726257324,72.41989813926584,-166.1290322580645,246156.38709677418,60.096774193548384,7.161290322580645
6021,2.389830508474576,0.0034664373,59.337024890407214,679860,0.0,44.101694915254235,0.378295,0.002796836,31.129415761554178,-12.572195361017341,0.002796836,15550.378114700317,68.8705842384458,-190.33898305084745,249370.0338983051,60.88135593220339,7.610169491525424
6082,3.7540983606557377,0.0026258926,58.43925593030699,689922,0.0,45.0655737704918,0.36098891,0.0027870913,27.84279191908566,-11.805383479099556,0.0027870913,15725.432744264603,72.15720808091436,-168.19672131147541,245558.55737704918,59.950819672131146,6.245901639344262
6143,3.3934426229508197,0.004775021,58.23988224600065,699921,0.0,45.295081967213115,0.39897573,0.0029565585,28.05643959813316,-11.7278213501005,0.0029565585,15907.451991796494,71.94356040186682,-167.86885245901638,244752.7868852459,59.75409836065574,6.60655737704918
6205,1.8387096774193548,0.0040211226,61.09430951672413,709891,0.0,42.225806451612904,0.3948076,0.0028288153,32.19635051956988,-13.313428144138944,0.0028288153,16078.98423409462,67.80364948043011,-204.03225806451613,256924.90322580645,62.725806451612904,8.161290322580646
