entropy,Tbt,MtR,entloss,meankl,TtR,MpbtN,TimestepsSoFar,Tmc,Ptt,MpbtA,AttNC,EpisodesSoFar,TimeElapsed,Tmt,optimgain,AttC,surrgain
0.21542369,339187.8095238095,-43.40360924386584,0.0,0.004218807,-73.0,88.10937336289018,489918,21.166666666666668,80.49753555060818,11.890626637109795,0.5714285714285714,5220,13690.797855377197,82.80952380952381,0.008071311,0.42857142857142855,0.008071311
0.25580624,340388.10256410256,-40.43260104165271,0.0,0.004365371,-72.07692307692308,86.71986036872852,499972,20.871794871794872,80.77119329299227,13.280139631271487,0.5641025641025641,5259,13810.268555164337,83.1025641025641,0.008282214,0.4358974358974359,0.008282214
0.25790948,338602.6666666667,-39.5327757508606,0.0,0.002808817,-70.8974358974359,85.728001413591,509778,21.307692307692307,80.36575881669134,14.271998586409,0.41025641025641024,5298,13924.18264913559,82.66666666666667,0.0077247587,0.5897435897435898,0.0077247587
0.22832732,338212.5714285714,-39.521719027972004,0.0,0.002723075,-70.42857142857143,85.2355421814766,519976,21.38095238095238,80.29304081578177,14.764457818523418,0.30952380952380953,5340,14042.83317899704,82.57142857142857,0.0059910933,0.6904761904761905,0.0059910933
0.2224232,337972.5128205128,-39.92801717706125,0.0,0.0028823842,-70.87179487179488,85.86827440974278,529954,21.487179487179485,80.20264910125816,14.1317255902572,0.4358974358974359,5379,14161.661032438278,82.51282051282051,0.0074934936,0.5641025641025641,0.0074934936
0.24828513,338243.36842105264,-40.2162183170511,0.0,0.0050284085,-72.28947368421052,87.52745085391904,539788,21.36842105263158,80.30526815566441,12.472549146080974,0.5,5417,14273.457448005676,82.57894736842105,0.011273564,0.5,0.011273564
0.23710342,339456.0,-40.13591086428772,0.0,0.0032010558,-72.625,87.61651298196256,549860,21.125,80.53874307180253,12.383487018037448,0.425,5457,14392.432024478912,82.875,0.008767781,0.575,0.008767781
0.202398,336782.22222222225,-42.24480043061713,0.0,0.0049188444,-72.6,88.33252511274236,559782,21.755555555555556,79.94885038285962,11.66747488725762,0.15555555555555556,5502,14522.22379398346,82.22222222222223,0.009163067,0.8444444444444444,0.009163067
0.21379048,340480.0,-40.599527942218934,0.0,0.0023330364,-72.475,87.1335636864328,569844,20.75,80.86899559218558,12.8664363135672,0.325,5542,14637.731838464737,83.125,0.005360048,0.675,0.005360048
0.2162611,341504.0,-41.70094730399937,0.0,0.0028494326,-72.725,87.2302757995267,579625,20.55,81.0632517678575,12.769724200473327,0.425,5582,14754.156881570816,83.375,0.00699155,0.575,0.00699155
0.20940112,338869.0731707317,-40.16391129669086,0.0,0.003801512,-72.6829268292683,87.81982809472767,589840,21.21951219512195,80.44321791645119,12.180171905272307,0.36585365853658536,5623,14876.178915977478,82.73170731707317,0.008150015,0.6341463414634146,0.008150015
0.22893022,341196.8,-40.24135480904396,0.0,0.0035906986,-72.8,87.37941504594698,599980,20.6,81.01165188791398,12.620584954053012,0.4,5663,14989.218901395798,83.3,0.010409087,0.6,0.010409087
0.24241129,339862.9743589744,-39.491375627515104,0.0,0.00304703,-71.64102564102564,86.32431888251082,609950,20.974358974358974,80.67168194462808,13.675681117489171,0.38461538461538464,5702,15102.455099105835,82.97435897435898,0.007031167,0.6153846153846154,0.007031167
0.25338915,339536.84210526315,-40.49699468917004,0.0,0.0034573884,-71.10526315789474,85.70811790378916,619744,21.026315789473685,80.6172834420495,14.291882096210832,0.5789473684210527,5740,15217.775084018707,82.89473684210526,0.0071093813,0.42105263157894735,0.0071093813
0.23490137,336771.1219512195,-38.59944794422868,0.0,0.0024147618,-70.82926829268293,86.13772722956621,629944,21.75609756097561,79.94785217206338,13.86227277043378,0.3170731707317073,5781,15332.351906299591,82.21951219512195,0.006201767,0.6829268292682927,0.006201767
0.2483377,336384.0,-39.197846167090894,0.0,0.0027769736,-70.125,85.39329716405548,639880,21.875,79.84201953193681,14.606702835944503,0.325,5821,15455.125445127487,82.125,0.0059368894,0.675,0.0059368894
0.25096825,338022.4,-39.00505659365478,0.0,0.0025769856,-70.125,84.95919181755872,649962,21.45,80.23299330103497,15.040808182441271,0.45,5861,15574.045288562775,82.525,0.0073031187,0.55,0.0073031187
0.27662677,338392.6153846154,-40.54003076486016,0.0,0.00463496,-71.74358974358974,86.86963622040479,659763,21.307692307692307,80.35842218694445,13.130363779595227,0.6666666666666666,5900,15684.732369661331,82.61538461538461,0.009468462,0.3333333333333333,0.009468462
0.2978284,338287.58974358975,-38.45486782528598,0.0,0.005426033,-69.38461538461539,84.00283529850525,669823,21.307692307692307,80.35370584146727,15.997164701494768,0.5897435897435898,5939,15800.859039783478,82.58974358974359,0.007901013,0.41025641025641024,0.007901013
0.25751913,337967.62790697673,-41.82435062070786,0.0,0.0041237203,-70.20930232558139,85.03774072526016,679724,21.441860465116278,80.23842136234467,14.962259274739836,0.5581395348837209,5982,15930.364968299866,82.51162790697674,0.008460296,0.4418604651162791,0.008460296
