AttC,surrgain,TimestepsSoFar,MtR,optimgain,entropy,TimeElapsed,AttNC,TtR,entloss,meankl,Fce,EpisodesSoFar
0.024390243902439025,0.005308207,2259832,20.169846055757862,0.005308207,0.109191015,18871.967257022858,0.975609756097561,35.51219512195122,0.0,0.007244668,0.1420487804878049,10473
0.0,0.004877362,2269832,19.219009146110295,0.004877362,0.11655431,18955.599294662476,1.0,33.325,0.0,0.0067307176,0.13330000000000003,10513
0.024390243902439025,0.002988771,2279833,19.512837223617694,0.002988771,0.12343596,19042.121419668198,0.975609756097561,34.53658536585366,0.0,0.0045866943,0.13814634146341465,10554
0.047619047619047616,0.0037405884,2289835,19.441540107218426,0.0037405884,0.15555808,19127.057112455368,0.9523809523809523,34.69047619047619,0.0,0.0058648116,0.13876190476190478,10596
0.09090909090909091,0.0036997925,2299847,19.606471062644797,0.0036997925,0.16310704,19208.544725894928,0.9090909090909091,33.68181818181818,0.0,0.011549558,0.13788311688311689,10640
0.0,0.0032384568,2309847,19.662003923567887,0.0032384568,0.17243193,19290.56946516037,1.0,34.8,0.0,0.004276154,0.13920000000000002,10680
0.047619047619047616,0.003578844,2319849,18.480020433044096,0.003578844,0.16406247,19375.516939640045,0.9523809523809523,32.45238095238095,0.0,0.0044321846,0.12980952380952382,10722
0.024390243902439025,0.004635285,2329870,19.245007483327317,0.004635285,0.13542953,19459.053047418594,0.975609756097561,33.41463414634146,0.0,0.0055032456,0.13685017421602788,10763
0.024390243902439025,0.0027610448,2339873,19.635439237369443,0.0027610448,0.10065466,19544.080649375916,0.975609756097561,34.24390243902439,0.0,0.006349873,0.13697560975609757,10804
0.09090909090909091,0.0038821776,2349877,17.280164990260392,0.0038821776,0.0903699,19616.108936071396,0.9090909090909091,30.272727272727273,0.0,0.00644451,0.14372727272727268,10848
0.024390243902439025,0.004374271,2359878,19.86588954886331,0.004374271,0.086552575,19705.72977399826,0.975609756097561,34.707317073170735,0.0,0.007468663,0.13882926829268294,10889
