AttNC,TimestepsSoFar,optimgain,MtR,entropy,EpisodesSoFar,TimeElapsed,TtR,Fce,entloss,AttC,surrgain,meankl
2.05,3779979,0.0007723053,14.657511330255968,1.1205913,16914,24525.479511260986,77.7,0.10360000000000005,0.0,0.95,0.0007723053,0.0035938837
1.9148936170212767,3789869,0.0011239217,11.88786242909357,1.1287695,16961,24590.788888454437,62.361702127659576,0.10216160897381989,0.0,1.0851063829787233,0.0011239217,0.0022228293
2.1666666666666665,3799885,0.00025228653,14.033784393220214,1.1251211,17003,24650.578564167023,74.28571428571429,0.10159788359788365,0.0,0.8333333333333334,0.00025228653,0.0008167077
1.891304347826087,3809800,0.0011997193,13.686935051453862,1.1402141,17049,24712.858382701874,71.21739130434783,0.10589691317473907,0.0,1.108695652173913,0.0011997193,0.00329737
1.951219512195122,3819803,0.0005440234,16.341392091261312,1.1315918,17090,24778.631502866745,84.36585365853658,0.12052032520325204,0.0,1.048780487804878,0.0005440234,0.001280852
2.0697674418604652,3829828,0.000606222,14.616135874916994,1.1902516,17133,24841.96600842476,74.72093023255815,0.10551063406877363,0.0,0.9302325581395349,0.000606222,0.003862734
2.0476190476190474,3839858,0.00025811463,14.966741234131282,1.185194,17175,24899.5253469944,78.71428571428571,0.11074185463659149,0.0,0.9523809523809523,0.00025811463,0.0022739253
1.8636363636363635,3849954,0.0011092394,14.449401332753276,1.2158092,17219,24962.0317902565,75.0,0.1054813792479298,0.0,1.1363636363636365,0.0011092394,0.0032291333
1.7954545454545454,3859982,0.00062440493,15.031279711563503,1.2118443,17263,25023.287110567093,77.93181818181819,0.1210106951871658,0.0,1.2045454545454546,0.00062440493,0.004003092
2.1951219512195124,3869987,0.0009252874,15.327060531985602,1.2574058,17304,25085.36331677437,79.02439024390245,0.10536585365853661,0.0,0.8048780487804879,0.0009252874,0.0030896976
1.64,3879773,0.0009943111,12.994906874815502,1.2541605,17354,25151.47579598427,67.8,0.1092350173403832,0.0,1.36,0.0009943111,0.0008010932
