Ptt,AttC,EpisodesSoFar,MpbtN,meankl,entropy,TtR,Tmt,Tmc,Tbt,MpbtA,TimestepsSoFar,MtR,optimgain,surrgain,TimeElapsed,AttNC,entloss
80.99988934821374,0.05405405405405406,4359,87.84960186394561,0.0054771313,0.2353,-73.1891891891892,83.32432432432432,20.62162162162162,341296.4324324324,12.15039813605438,269890,-40.80916078665044,0.0060448656,0.0060448656,11060.162719011307,0.9459459459459459,0.0
81.14976771200459,0.21621621621621623,4396,87.29749264755002,0.004165435,0.23415342,-72.91891891891892,83.48648648648648,20.45945945945946,341960.64864864864,12.702507352449988,279820,-40.35564536190762,0.004942563,0.004942563,11166.243722438812,0.7837837837837838,0.0
81.25792743401203,0.2222222222222222,4432,86.81722689887529,0.004743765,0.240427,-72.55555555555556,83.55555555555556,20.333333333333332,342243.55555555556,13.182773101124683,289741,-40.116561914695495,0.004068099,0.004068099,11274.52426815033,0.7777777777777778,0.0
80.94459035547071,0.10810810810810811,4469,85.507339430714,0.004788343,0.21132873,-71.1891891891892,83.24324324324324,20.675675675675677,340964.3243243243,14.492660569286011,299681,-39.87085183654435,0.005134708,0.005134708,11383.610652446747,0.8918918918918919,0.0
80.77939531472555,0.05555555555555555,4505,87.33107021995797,0.0051934626,0.24217148,-72.61111111111111,83.11111111111111,20.86111111111111,340423.1111111111,12.668929780042,309919,-39.2956279949348,0.005757663,0.005757663,11491.14753484726,0.9444444444444444,0.0
81.2223549733007,0.25,4545,87.00356555593497,0.004449725,0.19124314,-72.675,83.525,20.375,342118.4,12.996434444065049,319931,-40.71670781247303,0.005029254,0.005029254,11603.042910814285,0.75,0.0
80.86371411921893,0.02857142857142857,4580,86.66311915177249,0.006691879,0.2572335,-72.14285714285714,83.2,20.771428571428572,340787.2,13.336880848227548,329733,-39.53831306612709,0.007898113,0.007898113,11705.607899904251,0.9714285714285714,0.0
81.42291491553932,0.2894736842105263,4618,85.07307932016143,0.0041368906,0.2601206,-71.23684210526316,83.73684210526316,20.157894736842106,342986.1052631579,14.926920679838561,339766,-40.159646119842854,0.0052819625,0.0052819625,11811.726689577103,0.7105263157894737,0.0
80.024421611024,0.45,4658,84.43025985489086,0.0050794017,0.23039877,-69.525,82.3,21.675,337100.8,15.569740145109119,349931,-39.48152426785323,0.0044861957,0.0044861957,11926.13689994812,0.55,0.0
80.43155888066474,0.3157894736842105,4696,85.23206332028894,0.0036548318,0.22374716,-70.55263157894737,82.73684210526316,21.236842105263158,338890.1052631579,14.767936679711061,359834,-38.89798718050085,0.0032328109,0.0032328109,12033.635605573654,0.6842105263157895,0.0
80.67373947131495,0.1891891891891892,4733,84.63750750869121,0.0039685103,0.25056157,-70.24324324324324,82.97297297297297,20.972972972972972,339857.2972972973,15.36249249130878,369959,-38.39711783661852,0.0046184678,0.0046184678,12137.026260137558,0.8108108108108109,0.0
80.76900014670896,0.3157894736842105,4771,84.688428702586,0.005043763,0.20929141,-70.39473684210526,83.07894736842105,20.86842105263158,340291.36842105264,15.311571297413996,379747,-38.724586825160316,0.0048720655,0.0048720655,12248.430309534073,0.6842105263157895,0.0
80.76336032220075,0.2564102564102564,4810,85.26928181841468,0.0041343803,0.24266216,-70.87179487179488,83.05128205128206,20.871794871794872,340178.0512820513,14.730718181585322,389887,-40.04986865331644,0.0041537993,0.0041537993,12359.51257276535,0.7435897435897436,0.0
81.293276313559,0.13157894736842105,4848,86.15724172522341,0.0021200166,0.22929661,-72.02631578947368,83.55263157894737,20.289473684210527,342231.5789473684,13.842758274776587,399979,-40.084970883398064,0.00265922,0.00265922,12462.806777000427,0.868421052631579,0.0
81.41045048906824,0.13513513513513514,4885,85.28333780941774,0.0042301523,0.2587083,-71.43243243243244,83.67567567567568,20.16216216216216,342735.5675675676,14.716662190582236,409791,-40.257395207315454,0.0047761565,0.0047761565,12569.416741371155,0.8648648648648649,0.0
80.5002675635595,0.21052631578947367,4923,83.91225036093059,0.0056090388,0.25758788,-69.52631578947368,82.78947368421052,21.157894736842106,339105.6842105263,16.087749639069425,419922,-38.08828123071078,0.0062992754,0.0062992754,12676.962853193283,0.7894736842105263,0.0
80.62457867772987,0.15789473684210525,4961,84.28454278101366,0.004994992,0.28298345,-69.89473684210526,82.92105263157895,21.026315789473685,339644.63157894736,15.715457218986336,429975,-38.74073295904469,0.0048511475,0.0048511475,12784.392045259476,0.8421052631578947,0.0
