AttC,TimeElapsed,MtR,AttNC,Tmt,entropy,EpisodesSoFar,Tbt,entloss,MpbtN,surrgain,Tmc,optimgain,TimestepsSoFar,Ptt,MpbtA,meankl,TtR
1.7857142857142858,8159.4375586509705,-30.514327602020195,1.2142857142857142,78.92857142857143,0.32155442,3224,323291.4285714286,0.0,63.649527372795255,0.0035729634,25.071428571428573,0.0035729634,249848,76.87074246070536,36.35047262720472,0.0039256224,-150.78571428571428
2.238095238095238,8294.05724477768,-28.491511039184587,0.7619047619047619,77.38095238095238,0.29248086,3266,316952.38095238095,0.0,62.50249217281469,0.0024550068,26.61904761904762,0.0024550068,259919,75.42470659979656,37.497507827185316,0.002637483,-145.21428571428572
1.9772727272727273,8428.936911344528,-30.025124157865342,1.0227272727272727,78.54545454545455,0.3196747,3310,321722.1818181818,0.0,63.36766908443848,0.0026322936,25.454545454545453,0.0026322936,269967,76.51255982295257,36.63233091556149,0.00270414,-149.38636363636363
2.511111111111111,8567.26822566986,-28.49237885773,0.4888888888888889,77.64444444444445,0.28234288,3355,318031.64444444445,0.0,62.20363015718715,0.0030014717,26.355555555555554,0.0030014717,279958,75.6718319780403,37.79636984281288,0.006075952,-145.0
1.7073170731707317,8699.459971904755,-29.679323204180346,1.2926829268292683,78.0,0.32918644,3396,319488.0,0.0,64.5369853667923,0.003056896,26.048780487804876,0.003056896,289790,75.97132363539694,35.46301463320769,0.0039344393,-151.2439024390244
1.6666666666666667,8831.661166667938,-28.874741083421668,1.3333333333333333,76.9047619047619,0.30906814,3438,315001.90476190473,0.0,64.4325640052444,0.0032630828,27.11904761904762,0.0032630828,299978,74.96544855535744,35.56743599475557,0.0041573923,-148.71428571428572
1.8095238095238095,8967.141659975052,-29.715836267170577,1.1904761904761905,77.38095238095238,0.312929,3480,316952.38095238095,0.0,64.44265755699648,0.0032213908,26.642857142857142,0.0032213908,309836,75.40936667521787,35.55734244300352,0.0032718414,-149.92857142857142
1.5813953488372092,9099.019779920578,-29.195714809261407,1.4186046511627908,78.06976744186046,0.33398074,3523,319773.76744186046,0.0,62.045422664084356,0.003700923,25.930232558139537,0.003700923,319964,76.0680780974647,37.95457733591563,0.0041327556,-145.3953488372093
2.1363636363636362,9233.401323795319,-26.93971509333784,0.8636363636363636,76.9090909090909,0.29059902,3567,315019.63636363635,0.0,59.30708160211015,0.0024461867,27.09090909090909,0.0024461867,329925,74.98489820030413,40.69291839788984,0.0035015056,-136.8409090909091
2.2,9373.19799900055,-28.706099508625453,0.8,77.22222222222223,0.27930167,3612,316302.22222222225,0.0,62.51999405467124,0.003231256,26.77777777777778,0.003231256,339961,75.27755376066231,37.480005945328756,0.0052246368,-145.0
1.7142857142857142,9509.216704130173,-29.108016531049056,1.2857142857142858,76.47619047619048,0.3298858,3654,313246.4761904762,0.0,62.76548644557214,0.0033441833,27.523809523809526,0.0033441833,349856,74.58054586165683,37.23451355442788,0.0029180658,-144.07142857142858
1.9090909090909092,9645.272597312927,-29.240826162120413,1.0909090909090908,77.5,0.33224085,3698,317440.0,0.0,62.84020178730202,0.002849885,26.5,0.002849885,359850,75.53843853232857,37.15979821269801,0.004353821,-146.11363636363637
1.8863636363636365,9779.319374322891,-29.70375966726622,1.1136363636363635,77.68181818181819,0.30482695,3742,318184.7272727273,0.0,63.88145216418778,0.0034954092,26.318181818181817,0.0034954092,369918,75.70785063613302,36.11854783581221,0.005463848,-148.9090909090909
1.5909090909090908,9914.743760347366,-28.2831862147191,1.4090909090909092,77.5,0.329533,3786,317440.0,0.0,60.38188327415569,0.0031541097,26.522727272727273,0.0031541097,379935,75.52192108417158,39.61811672584431,0.0041259853,-140.38636363636363
2.1363636363636362,10051.074773788452,-29.41794419147951,0.8636363636363636,77.79545454545455,0.30433866,3830,318650.1818181818,0.0,63.417607051272874,0.002992684,26.227272727272727,0.002992684,389818,75.79795689402029,36.58239294872712,0.003790986,-148.29545454545453
2.1818181818181817,10189.166134357452,-28.78779864519527,0.8181818181818182,78.18181818181819,0.29488242,3874,320232.7272727273,0.0,61.916092159907315,0.0026060008,25.818181818181817,0.0026060008,399953,76.17322425590345,38.08390784009266,0.0035264979,-145.29545454545453
1.6363636363636365,10324.905525922775,-30.619457919946147,1.3636363636363635,78.04545454545455,0.32600573,3918,319674.1818181818,0.0,64.66680408859406,0.0036418254,25.954545454545453,0.0036418254,409922,76.04755823516884,35.333195911405916,0.0046216785,-151.4318181818182
2.022727272727273,10458.165231227875,-29.107775866022266,0.9772727272727273,78.0909090909091,0.3345851,3962,319860.36363636365,0.0,61.978996173271234,0.003992748,25.90909090909091,0.003992748,419911,76.08825219210217,38.02100382672877,0.0041842656,-145.36363636363637
2.239130434782609,10598.242562055588,-28.920897339327745,0.7608695652173914,77.08695652173913,0.33399147,4008,315748.17391304346,0.0,61.42207425048256,0.00330779,26.91304347826087,0.00330779,429918,75.15373760396689,38.57792574951746,0.00417117,-142.1086956521739
2.2,10735.814270973206,-30.300583430474706,0.8,77.93333333333334,0.3364521,4053,319214.93333333335,0.0,64.94179381687091,0.004582566,26.08888888888889,0.004582566,439890,75.92563040383612,35.05820618312909,0.006552102,-152.2
2.5,10878.27704167366,-29.563367722257993,0.5,77.5,0.30730483,4099,317440.0,0.0,64.07608683726785,0.004485252,26.5,0.004485252,449829,75.53774276304351,35.92391316273215,0.0070086652,-149.15217391304347
1.9545454545454546,11012.839614629745,-29.62269411045262,1.0454545454545454,76.88636363636364,0.33144772,4143,314926.54545454547,0.0,64.31990637559043,0.002799173,27.113636363636363,0.002799173,459880,74.96322296747256,35.680093624409565,0.004010891,-148.5681818181818
1.9024390243902438,11147.961919307709,-28.779908379207548,1.0975609756097562,77.95121951219512,0.36329353,4184,319288.1951219512,0.0,62.97543121045498,0.004298222,26.048780487804876,0.004298222,469775,75.95699433553388,37.02456878954498,0.006177568,-147.29268292682926
2.2325581395348837,11283.69622206688,-29.422512233780804,0.7674418604651163,77.13953488372093,0.3398694,4227,315963.5348837209,0.0,65.24265815775657,0.0024993063,26.88372093023256,0.0024993063,479851,75.18265608215646,34.75734184224346,0.0031059575,-151.25581395348837
2.111111111111111,11418.791505336761,-28.3362460742736,0.8888888888888888,77.4888888888889,0.32645497,4272,317394.4888888889,0.0,61.28526786394935,0.002724463,26.511111111111113,0.002724463,489839,75.52795595622625,38.71473213605066,0.00384747,-142.6
1.7906976744186047,11555.039590358734,-28.53641091481183,1.2093023255813953,77.32558139534883,0.3233138,4315,316725.5813953488,0.0,61.035746659539356,0.0030691507,26.674418604651162,0.0030691507,499828,75.3739980403886,38.964253340460644,0.003618987,-141.8372093023256
1.8863636363636365,11688.642036676407,-28.463406893496828,1.1136363636363635,76.6590909090909,0.30332792,4359,313995.63636363635,0.0,61.53960832069651,0.0025613536,27.34090909090909,0.0025613536,509933,74.75327926394787,38.46039167930349,0.0031941468,-141.8181818181818
2.0930232558139537,11824.433422803879,-28.092263959498492,0.9069767441860465,76.67441860465117,0.3258636,4402,314058.4186046512,0.0,61.95702045333682,0.00422549,27.325581395348838,0.00422549,519988,74.76472622918268,38.04297954666319,0.0056734914,-142.53488372093022
1.7619047619047619,11956.57552576065,-30.776172467546974,1.2380952380952381,78.9047619047619,0.32300416,4444,323193.90476190473,0.0,66.30407386783496,0.004585111,25.095238095238095,0.004585111,529939,76.84877078179848,33.69592613216504,0.0053858897,-157.21428571428572
1.6744186046511629,12090.691625833511,-28.229319090515144,1.3255813953488371,77.09302325581395,0.31615195,4487,315773.0232558139,0.0,61.736904745401354,0.0037808898,26.906976744186046,0.0037808898,539925,75.15714456806322,38.263095254598646,0.0042782254,-142.88372093023256
1.25,12227.48115181923,-28.29243085899512,1.75,76.88636363636364,0.31630793,4531,314926.54545454547,0.0,60.75517086160803,0.004072528,27.136363636363637,0.004072528,549967,74.95016499304093,39.24482913839196,0.005638209,-140.45454545454547
