entropy,meankl,TtR,AttC,EpisodesSoFar,AttNC,TimestepsSoFar,entloss,Fce,TimeElapsed,MtR,surrgain,optimgain
0.71871144,0.008933102,2486.0,0.0,1611,10.0,299758,0.0,0.9944,10465.520191669464,142.0571325488756,9.155937e-05,9.155937e-05
0.81630266,0.008933204,2353.5714285714284,0.5,1653,9.5,309784,0.0,0.9544036281179138,10778.059167146683,134.71772098711853,0.00014900444,0.00014900444
0.91388375,0.008933067,2403.9024390243903,0.24390243902439024,1694,9.75609756097561,319819,0.0,0.9693519163763064,11110.479701519012,137.48238864449462,3.1726074e-06,3.1726074e-06
0.8163075,0.010172375,1955.9183673469388,1.836734693877551,1743,8.16326530612245,329956,0.0,0.8177450567096107,11435.114975452423,112.21226361085014,0.00034398003,0.00034398003
0.9138961,0.008932931,2322.1951219512193,0.4878048780487805,1784,9.512195121951219,339768,0.0,0.9396270541428816,11760.37621498108,132.8066715955815,8.990536e-06,8.990536e-06
1.0114549,0.008925575,2266.4285714285716,0.5714285714285714,1826,9.428571428571429,349788,0.0,0.9196339869281044,12085.334376096725,129.3345681156591,0.00041364928,0.00041364928
1.1079724,0.008746622,2018.0434782608695,1.434782608695652,1872,8.565217391304348,359938,0.0,0.8500704648715793,12401.392534732819,115.78901974899048,7.774551e-05,7.774551e-05
1.0103806,0.010174781,1571.25,3.232142857142857,1928,6.767857142857143,369936,0.0,0.6938519438980876,12676.481055736542,90.3776826401966,0.000113801005,0.000113801005
1.1079724,0.008933196,1808.235294117647,2.3529411764705883,1979,7.647058823529412,379860,0.0,0.7674247198923964,12989.51219534874,103.54150180344335,0.00014771172,0.00014771172
1.0103806,0.01017476,1745.4901960784314,2.372549019607843,2030,7.627450980392157,389790,0.0,0.7440943934836554,13292.332771778107,100.23209598843144,5.8556212e-05,5.8556212e-05
0.9127973,0.01017476,1900.2083333333333,1.875,2078,8.125,399775,0.0,0.7999070032191643,13609.781294107437,109.20512739218678,0.00031626227,0.00031626227
0.81520545,0.010174863,1971.2244897959183,1.836734693877551,2127,8.16326530612245,409854,0.0,0.8280274102314918,13949.818389177322,112.8694908535768,0.0004591641,0.0004591641
0.7177787,0.010139578,2369.0243902439024,0.36585365853658536,2168,9.634146341463415,419857,0.0,0.9556422764227641,14271.523097276688,135.37006283107212,9.37532e-05,9.37532e-05
0.6202068,0.010172724,2467.75,0.0,2208,10.0,429857,0.0,0.9870999999999999,14584.283121109009,141.0826918096064,0.0003813325,0.0003813325
0.7177948,0.008933416,2427.560975609756,0.2682926829268293,2249,9.731707317073171,439876,0.0,0.9828857509627728,14895.53936624527,138.86439803318024,5.576439e-05,5.576439e-05
0.62020683,0.01017476,2352.3809523809523,0.47619047619047616,2291,9.523809523809524,449896,0.0,0.9547619047619046,15200.605553865433,134.48774433191613,1.3361092e-05,1.3361092e-05
0.7177948,0.008933204,2487.0,0.0,2331,10.0,459896,0.0,0.9948,15503.542938709259,142.0815950120096,0.00030312763,0.00030312763
0.62020683,0.010174751,2465.0,0.0,2371,10.0,469896,0.0,0.9859999999999998,15819.364191293716,140.94335316835577,6.762451e-05,6.762451e-05
0.5226134,0.010174871,2487.5,0.0,2411,10.0,479896,0.0,0.9949999999999999,16128.642211675644,142.21360632668194,8.733412e-05,8.733412e-05
0.42502055,0.010174863,2494.0,0.0,2451,10.0,489896,0.0,0.9975999999999999,16415.591480970383,142.55057568289106,0.000621794,0.000621794
0.32743478,0.010174751,2497.25,0.0,2491,10.0,499896,0.0,0.9988999999999999,16711.407264232635,142.72513927326253,0.00017345246,0.00017345246
0.22984312,0.01017476,2499.75,0.0,2531,10.0,509896,0.0,0.9999,17024.956883907318,142.85658838479304,0.00014617464,0.00014617464
0.13225375,0.01017476,2499.75,0.0,2571,10.0,519896,0.0,0.9999,17348.44514656067,142.8684838761735,0.00016909753,0.00016909753
0.22984317,0.008933204,2500.0,0.0,2611,10.0,529896,0.0,1.0,17657.114056110382,142.8784238871937,0.0006259356,0.0006259356
0.3274353,0.008933204,2500.0,0.0,2651,10.0,539896,0.0,1.0,17960.14815568924,142.8784238871937,0.00012995438,0.00012995438
0.22984312,0.010175116,2500.0,0.0,2691,10.0,549896,0.0,1.0,18226.262990951538,142.8784238871937,0.00013552188,0.00013552188
0.32743528,0.008933196,2500.0,0.0,2731,10.0,559896,0.0,1.0,18554.742260932922,142.8784238871937,0.00016156609,0.00016156609
0.4250182,0.008932242,2500.0,0.0,2771,10.0,569896,0.0,1.0,18891.962681770325,142.8784238871937,0.0005156099,0.0005156099
0.52261126,0.008933196,2498.75,0.0,2811,10.0,579896,0.0,0.9994999999999999,19223.820314645767,142.81238850381595,0.00017374245,0.00017374245
0.42501813,0.010174863,2494.75,0.0,2851,10.0,589896,0.0,0.9979000000000001,19570.64772129059,142.58232093459728,0.00028931754,0.00028931754
0.522604,0.008931985,2438.5365853658536,0.24390243902439024,2892,9.75609756097561,599909,0.0,0.9860863039399623,19892.334760427475,139.4216938818232,0.0004997265,0.0004997265
0.4250093,0.010174781,2438.2926829268295,0.24390243902439024,2933,9.75609756097561,609928,0.0,0.9895507060333764,20175.053248167038,139.44941986909694,0.00024790587,0.00024790587
