MpbtA,entloss,meankl,AttNC,Tmt,Tmc,Ptt,surrgain,TimestepsSoFar,EpisodesSoFar,TimeElapsed,optimgain,MtR,Tbt,MpbtN,AttC,TtR,entropy
37.39660147649761,0.0,0.0042864974,1.0952380952380953,77.69047619047619,26.30952380952381,75.71447768881113,0.0036284048,299755,3552,9152.379865646362,0.0036284048,-28.957725710099616,318220.1904761905,62.60339852350239,1.9047619047619047,-146.07142857142858,0.35231867
34.90304590745465,0.0,0.004203606,0.9777777777777777,78.06666666666666,25.933333333333334,76.06670172539076,0.0037954263,309877,3597,9287.25523853302,0.0037954263,-30.15273891381218,319761.06666666665,65.09695409254535,2.022222222222222,-152.66666666666666,0.32968074
38.015315562517145,0.0,0.005282952,0.8181818181818182,78.5,25.5,76.47156495155801,0.003173178,319837,3641,9425.339799642563,0.003173178,-29.57459111615049,321536.0,61.98468443748284,2.1818181818181817,-146.1818181818182,0.29936486
37.67294161766855,0.0,0.00575642,1.5238095238095237,76.71428571428571,27.285714285714285,74.80150657603639,0.0034976476,329814,3683,9561.456005096436,0.0034976476,-28.550884755158602,314221.71428571426,62.32705838233143,1.4761904761904763,-143.57142857142858,0.29032338
38.39280477756329,0.0,0.00417468,1.6136363636363635,78.0909090909091,25.90909090909091,76.0899694483972,0.0035504287,339997,3727,9697.696910381317,0.0035504287,-28.937976091213375,319860.36363636365,61.60719522243671,1.3863636363636365,-144.4090909090909,0.32236215
35.855170344744494,0.0,0.004553538,0.7333333333333333,78.22222222222223,25.77777777777778,76.21150875218048,0.0027672139,349889,3772,9839.675902366638,0.0027672139,-30.177043941401593,320398.22222222225,64.1448296552555,2.2666666666666666,-150.73333333333332,0.31900996
36.731249931840345,0.0,0.002468021,1.3333333333333333,77.85714285714286,26.166666666666668,75.85339421409053,0.0022690897,359840,3814,9973.764638185501,0.0022690897,-29.12471035005067,318902.85714285716,63.268750068159655,1.6666666666666667,-147.85714285714286,0.31453067
36.424629583829976,0.0,0.004443394,1.2954545454545454,78.0,26.022727272727273,75.98993446652906,0.0032821647,369926,3858,10112.159811258316,0.0032821647,-29.832011414256474,319488.0,63.575370416169996,1.7045454545454546,-148.70454545454547,0.28026125
35.13257719255036,0.0,0.0054778857,1.380952380952381,77.64285714285714,26.38095238095238,75.65478040785239,0.0053000357,379780,3900,10248.914110660553,0.0053000357,-29.733255445726893,318025.14285714284,64.86742280744963,1.619047619047619,-151.21428571428572,0.31947425
35.94781602350638,0.0,0.0047336738,1.302325581395349,76.53488372093024,27.511627906976745,74.60314373824136,0.003631551,389980,3943,10387.176768064499,0.003631551,-29.193018105770058,313486.88372093026,64.05218397649364,1.697674418604651,-147.2093023255814,0.29199767
37.56799612003596,0.0,0.005056972,1.7619047619047619,77.21428571428571,26.785714285714285,75.2692384263188,0.0043681087,399851,3985,10522.01144361496,0.0043681087,-29.02055681829986,316269.71428571426,62.432003879964064,1.2380952380952381,-144.85714285714286,0.30461496
38.222388110069836,0.0,0.0040818537,1.7380952380952381,77.80952380952381,26.238095238095237,75.79411129758724,0.0042506675,409788,4027,10660.069368600845,0.0042506675,-28.81481016620422,318707.8095238095,61.77761188993015,1.2619047619047619,-144.42857142857142,0.29369974
39.42614003686724,0.0,0.005359337,1.3181818181818181,76.77272727272727,27.227272727272727,74.85633148652249,0.0045729075,419994,4071,10796.809516429901,0.0045729075,-27.98139414252132,314461.0909090909,60.57385996313274,1.6818181818181819,-139.5,0.34407642
36.42342496667664,0.0,0.0037239715,1.0714285714285714,76.78571428571429,27.214285714285715,74.86924100670178,0.0037432618,429823,4113,10933.985252380371,0.0037432618,-28.99173532973369,314514.28571428574,63.57657503332336,1.9285714285714286,-146.64285714285714,0.3454666
39.25472337486035,0.0,0.0034426383,1.0444444444444445,77.4888888888889,26.511111111111113,75.52709126226776,0.0027977773,439765,4158,11073.475967407227,0.0027977773,-28.49640286735766,317394.4888888889,60.74527662513963,1.9555555555555555,-141.4,0.30925444
39.62899720030976,0.0,0.005014898,1.0454545454545454,76.88636363636364,27.136363636363637,74.95045346461356,0.0025780308,449789,4202,11208.868612527847,0.0025780308,-27.941407027458048,314926.54545454547,60.371002799690224,1.9545454545454546,-139.36363636363637,0.33806697
37.870495914403236,0.0,0.005557662,0.4166666666666667,77.04166666666667,26.958333333333332,75.10825214633034,0.0033307353,459906,4250,11350.980147361755,0.0033307353,-28.463394006973445,315562.6666666667,62.12950408559677,2.5833333333333335,-143.6875,0.28787154
39.98522211571785,0.0,0.0037785736,1.2093023255813953,76.81395348837209,27.186046511627907,74.89678678260961,0.0030168858,469858,4293,11487.336951255798,0.0030168858,-27.89420166850031,314629.9534883721,60.01477788428215,1.7906976744186047,-138.27906976744185,0.3149727
39.867386888794094,0.0,0.0036823577,1.25,76.79545454545455,27.204545454545453,74.8806139567781,0.0034869786,479896,4337,11624.193691253662,0.0034869786,-28.26753295311389,314554.1818181818,60.13261311120593,1.75,-138.54545454545453,0.32603896
37.45000657223057,0.0,0.0058746045,0.8666666666666667,76.73333333333333,27.266666666666666,74.82044530364402,0.003213554,489927,4382,11764.35952448845,0.003213554,-28.741293372450663,314299.73333333334,62.54999342776941,2.1333333333333333,-144.0,0.28733283
38.87782034215344,0.0,0.0052186362,1.7857142857142858,75.71428571428571,28.285714285714285,73.86700845626781,0.0041741887,499942,4424,11903.088631868362,0.0041741887,-27.52493890357486,310125.71428571426,61.12217965784655,1.2142857142857142,-138.85714285714286,0.32724574
39.60930847106523,0.0,0.006703155,1.619047619047619,76.66666666666667,27.333333333333332,74.75719848635576,0.004484156,509781,4466,12035.003752470016,0.004484156,-27.673731598954017,314026.6666666667,60.39069152893477,1.380952380952381,-139.07142857142858,0.35712844
39.75590392045484,0.0,0.00458205,1.1136363636363635,77.47727272727273,26.545454545454547,75.5004914848836,0.0034914226,519997,4510,12168.268714666367,0.0034914226,-27.887636532363228,317346.9090909091,60.24409607954517,1.8863636363636365,-140.25,0.3115405
