Fce,TtR,meankl,EpisodesSoFar,surrgain,optimgain,AttNC,MtR,entropy,AttC,TimestepsSoFar,TimeElapsed,entloss
0.16109421329507415,118.53658536585365,0.007974329,15281,0.0011149572,0.0011149572,1.9024390243902438,22.3825429801863,0.46495733,1.0975609756097562,3489975,15397.068434238434,0.0
0.1560571428571429,115.8,0.007009733,15321,0.0010773051,0.0010773051,2.15,21.76126527488378,0.48754933,0.85,3499830,15438.256145477295,0.0
0.16402378796057945,120.14634146341463,0.006092031,15362,0.000996165,0.000996165,1.975609756097561,22.74967038018844,0.44526076,1.024390243902439,3509882,15478.565541028976,0.0
0.16256095972248485,118.5,0.0092039285,15404,0.001786882,0.001786882,1.7380952380952381,22.34061475514298,0.38427728,1.2619047619047619,3519867,15519.892446517944,0.0
0.16360000000000002,122.7,0.007330786,15444,0.0017031338,0.0017031338,2.325,22.934804112569257,0.38405344,0.675,3529867,15560.839422225952,0.0
0.14840905083749628,108.95121951219512,0.00806106,15485,0.0018577399,0.0018577399,2.3902439024390243,20.23235392460713,0.35491708,0.6097560975609756,3539950,15602.035581827164,0.0
0.14410000000000003,108.075,0.007966577,15525,0.0020309563,0.0020309563,2.675,20.066698005320752,0.31479135,0.325,3549950,15643.496345996857,0.0
0.135,101.25,0.008083336,15565,0.0015370401,0.0015370401,2.5,18.552168893594274,0.24515113,0.5,3559950,15684.287106275558,0.0
0.13290000000000002,99.675,0.00631151,15605,0.0014488454,0.0014488454,2.7,18.24701787701423,0.25114447,0.3,3569950,15726.003268957138,0.0
0.14740000000000003,110.55,0.0070035104,15645,0.001625204,0.001625204,2.7,20.44276811505235,0.31952903,0.3,3579950,15767.808719396591,0.0
0.15102439024390246,113.26829268292683,0.0066822697,15686,0.0019734798,0.0019734798,2.6341463414634148,21.170081521973486,0.37582174,0.36585365853658536,3589951,15809.190035820007,0.0
0.1457461538461539,107.475,0.0058980114,15726,0.0019869904,0.0019869904,2.425,19.954227834032853,0.37452057,0.575,3599792,15849.984724998474,0.0
0.1509,113.175,0.004475176,15766,0.0012876699,0.0012876699,2.3,20.95172868744134,0.39444172,0.7,3609792,15891.417844772339,0.0
0.16457009485201854,119.0,0.0070383833,15808,0.0014233373,0.0014233373,2.4047619047619047,22.642183576931828,0.32477787,0.5952380952380952,3619940,15932.627008676529,0.0
0.1558,116.85,0.007456946,15848,0.0017386922,0.0017386922,2.4,21.725014632346507,0.2973194,0.6,3629940,15974.101870775223,0.0
0.16449999999999998,123.375,0.004501914,15888,0.0015619202,0.0015619202,2.025,22.829799490282365,0.27907202,0.975,3639940,16016.323389291763,0.0
0.16499999999999998,123.75,0.0073789153,15928,0.0012957972,0.0012957972,2.0,23.10887283540151,0.25680462,1.0,3649940,16058.280174016953,0.0
0.173343405984937,127.60975609756098,0.0053589814,15969,0.0011399903,0.0011399903,1.4634146341463414,23.692021282691655,0.26496515,1.5365853658536586,3659925,16100.321078777313,0.0
0.16473129718134358,113.09302325581395,0.0062721954,16012,0.0017337962,0.0017337962,1.5116279069767442,21.3189695027489,0.24922188,1.4883720930232558,3669938,16141.76769566536,0.0
0.17509999999999998,131.325,0.004297657,16052,0.000601888,0.000601888,2.25,24.49366457204399,0.26110834,0.75,3679938,16183.212431669235,0.0
0.16567559436145593,122.55,0.007783822,16092,0.0013209066,0.0013209066,2.1,22.919537825401225,0.27870515,0.9,3689780,16224.915508031845,0.0
0.16007669426216906,116.14285714285714,0.008278271,16134,0.0022772278,0.0022772278,1.5238095238095237,21.727398899167877,0.26997358,1.4761904761904763,3699874,16266.879326820374,0.0
0.16790863530054975,124.17073170731707,0.008227017,16175,0.0017166906,0.0017166906,2.073170731707317,23.473334099708268,0.30135846,0.926829268292683,3709752,16308.982261657715,0.0
0.1653,123.975,0.0068456074,16215,0.0012499654,0.0012499654,2.2,22.70319673563485,0.31588736,0.8,3719752,16350.191779851913,0.0
0.161,120.75,0.005628317,16255,0.0014057638,0.0014057638,2.25,22.443241870168766,0.28849623,0.75,3729752,16391.469757795334,0.0
0.162,121.5,0.0084811775,16295,0.002095373,0.002095373,2.575,21.923640605126185,0.26449955,0.425,3739752,16434.947355747223,0.0
