TimestepsSoFar,TimeElapsed,meankl,entloss,Fce,entropy,optimgain,AttNC,surrgain,EpisodesSoFar,TtR,AttC,MtR
1069975,14197.691358089447,0.008933102,0.0,0.1769330414158,5.7929654,7.762909e-08,3.857142857142857,7.762909e-08,4555,425.95238095238096,6.142857142857143,24.679591530715545
1079825,14328.643133878708,0.010174751,0.0,0.16431259182576802,5.695326,2.5863647e-08,3.395348837209302,2.5863647e-08,4598,391.3953488372093,6.604651162790698,22.882615007470008
1089862,14455.879984140396,0.010174751,0.0,0.16065559246954597,5.597713,7.629395e-09,3.046511627906977,7.629395e-09,4641,386.27906976744185,6.953488372093023,22.199502278797656
1099862,14578.496712446213,0.008933067,0.0,0.1637,5.695326,1.0070801e-08,3.275,1.0070801e-08,4681,409.25,6.725,23.439426520318314
1109923,14706.950721979141,0.008933204,0.0,0.17928863502425313,5.7929654,2.6092529e-08,3.4186046511627906,2.6092529e-08,4724,423.95348837209303,6.5813953488372094,24.403449105941675
1119994,14830.203130245209,0.008933196,0.0,0.16363036757128135,5.8905807,1.121521e-08,3.0,1.121521e-08,4765,402.9268292682927,7.0,23.495764370307356
1129994,14963.501034498215,0.00893351,0.0,0.17869999999999997,5.9881177,1.2054444e-08,4.125,1.2054444e-08,4805,446.75,5.875,25.5883481369441
1139760,15085.129129648209,0.008933196,0.0,0.17080758807588076,6.08573,3.707886e-08,3.902439024390244,3.707886e-08,4846,420.4878048780488,6.097560975609756,24.11843468876439
1149769,15218.747265577316,0.008933196,0.0,0.1658319783197832,6.1833024,2.3345947e-08,3.097560975609756,2.3345947e-08,4887,408.0487804878049,6.902439024390244,23.674020345295506
1159769,15344.769341945648,0.008933204,0.0,0.1704,6.2809176,4.7302247e-09,3.35,4.7302247e-09,4927,426.0,6.65,24.588336751850864
1169769,15486.823082447052,0.008933204,0.0,0.17529999999999996,6.378456,2.746582e-08,3.65,2.746582e-08,4967,438.25,6.35,25.605245341641186
1179941,15602.813935995102,0.008933204,0.0,0.1642375515965347,6.378456,2.746582e-08,2.9545454545454546,2.746582e-08,5011,391.3636363636364,7.045454545454546,22.473717395993404
1189980,15721.93099975586,0.010174781,0.0,0.15940546006066733,6.2809176,1.1291504e-08,3.2093023255813953,1.1291504e-08,5054,391.6279069767442,6.790697674418604,22.807206154631196
1199804,15855.824048280716,0.008933204,0.0,0.16785669432141892,6.378456,1.4801025e-08,3.1707317073170733,1.4801025e-08,5095,398.5365853658537,6.829268292682927,23.050096370239
1209809,15977.90445971489,0.008933204,0.0,0.17200000000000001,6.476075,1.525879e-08,3.5609756097560976,1.525879e-08,5136,430.0,6.439024390243903,24.84467917177702
1219818,16107.557763576508,0.008933204,0.0,0.16848780487804882,6.5737176,1.2207031e-08,3.1219512195121952,1.2207031e-08,5177,421.219512195122,6.878048780487805,24.155990718581798
1229872,16240.416465997696,0.00893351,0.0,0.15579696787550926,6.6712427,1.9683839e-08,2.9523809523809526,1.9683839e-08,5219,381.42857142857144,7.0476190476190474,21.966550972420492
1239977,16378.623674631119,0.008933102,0.0,0.16687108013937285,6.768865,1.9836426e-09,3.292682926829268,1.9836426e-09,5260,414.1463414634146,6.7073170731707314,24.139527612681594
1249757,16495.39427113533,0.008933102,0.0,0.1644878048780488,6.866395,8.697509e-09,3.2195121951219514,8.697509e-09,5301,406.8292682926829,6.780487804878049,23.267015404122912
1259850,16633.201670646667,0.010174744,0.0,0.16168439449001099,6.768865,5.1879883e-09,2.9302325581395348,5.1879883e-09,5344,386.51162790697674,7.069767441860465,22.13491827121919
1269850,16754.487961530685,0.008933416,0.0,0.16830000000000003,6.8663964,-7.171631e-09,3.775,-7.171631e-09,5384,420.75,6.225,24.68087444936788
1279850,16878.02152466774,0.008933102,0.0,0.18400000000000002,6.9640136,-6.637573e-09,4.675,-6.637573e-09,5424,460.0,5.325,26.592979691504542
1289871,17009.944046974182,0.008933102,0.0,0.1658350754936121,7.0615664,0.0,3.317073170731707,0.0,5465,409.2682926829268,6.682926829268292,23.362979763874502
1299937,17141.748309612274,0.008933204,0.0,0.1786274777853725,7.1591825,-1.8310546e-09,4.0,-1.8310546e-09,5509,422.95454545454544,6.0,24.638423999162605
1309759,17276.142779111862,0.008933102,0.0,0.17325301759705244,7.2568274,-3.890991e-09,3.5365853658536586,-3.890991e-09,5550,418.780487804878,6.463414634146342,24.132021661845833
1319922,17421.669754981995,5.9604645e-08,0.0,0.1521379310344827,7.2566614,3.0517577e-09,2.86046511627907,3.0517577e-09,5593,369.06976744186045,7.1395348837209305,21.10978514671789
1329922,17541.32443213463,0.010174781,0.0,0.1679,7.1591825,1.159668e-08,3.3,1.159668e-08,5633,419.75,6.7,24.031524415419124
