entropy,AttNC,entloss,surrgain,meankl,AttC,Fce,TimeElapsed,TtR,MtR,optimgain,EpisodesSoFar,TimestepsSoFar
0.9585575,7.94,0.0,4.2349853e-05,0.010174863,2.06,0.7843057728806957,8845.106206655502,1847.6,105.88237158286321,4.2349853e-05,1414,239904
1.0561521,8.446808510638299,0.0,0.00016779205,0.008933204,1.553191489361702,0.8334997289579305,9161.336913108826,2006.1702127659576,114.88335175089304,0.00016779205,1461,249995
1.1537464,9.261904761904763,0.0,3.372635e-05,0.008933102,0.7380952380952381,0.8771789980834841,9478.208951234818,2159.7619047619046,123.8003905429013,3.372635e-05,1503,259972
1.0561521,7.5,0.0,5.0055314e-05,0.010174781,2.5,0.7291958141167366,9777.030666828156,1683.6,96.93038406697187,5.0055314e-05,1553,269788
1.1537464,7.8,0.0,4.704521e-05,0.008933204,2.2,0.771725346900134,10052.210102081299,1812.0,104.10363709155894,4.704521e-05,1603,279819
1.0561522,7.98,0.0,0.00014273217,0.010174781,2.02,0.763616340893369,10375.773268938065,1794.8,102.95202084404545,0.00014273217,1653,289973
0.9585575,8.25531914893617,0.0,0.00013429622,0.010174751,1.7446808510638299,0.8108819079577813,10685.98853135109,1928.936170212766,110.53478702970834,0.00013429622,1700,299847
0.8609664,9.022727272727273,0.0,0.0005300975,0.010174863,0.9772727272727273,0.8875646530776694,11029.705462217331,2162.5,123.82142349557051,0.0005300975,1744,309973
0.7633732,8.555555555555555,0.0,0.0003536823,0.010174863,1.4444444444444444,0.8666056778744952,11361.697873592377,2077.5555555555557,119.05958927936281,0.0003536823,1789,319823
0.66579545,9.068181818181818,0.0,0.00020211929,0.01017476,0.9318181818181818,0.9100071878661219,11700.1116771698,2230.4545454545455,127.56152451404378,0.00020211929,1833,329877
0.5682047,9.75609756097561,0.0,0.00042936677,0.010174863,0.24390243902439024,0.9736585365853655,12039.030304431915,2422.1951219512193,138.42661985860093,0.00042936677,1874,339882
0.4706115,10.0,0.0,0.00042672336,0.01017476,0.0,0.9970000000000002,12336.024891614914,2492.5,142.43714317742226,0.00042672336,1914,349882
0.5682047,10.0,0.0,0.00014748759,0.008933204,0.0,0.9984,12638.522653102875,2496.0,142.67023315449302,0.00014748759,1954,359882
0.4706115,10.0,0.0,0.0001242059,0.010174781,0.0,0.9969999999999997,12914.098568677902,2492.5,142.43993232729835,0.0001242059,1994,369882
0.568205,10.0,0.0,0.0003963694,0.008933196,0.0,0.9992999999999999,13248.922016382217,2498.25,142.78231862630633,0.0003963694,2034,379882
0.66579545,9.75609756097561,0.0,0.00039313405,0.008933196,0.24390243902439024,0.9796867779204109,13545.942947626114,2434.390243902439,139.22547496780393,0.00039313405,2075,389901
0.7633732,9.523809523809524,0.0,1.42996405e-05,0.008933204,0.47619047619047616,0.9572709551656916,13863.340670347214,2365.9523809523807,135.32312771348006,1.42996405e-05,2117,399929
0.66579455,9.75609756097561,0.0,0.00015303463,0.010174781,0.24390243902439024,0.9657560975609756,14188.91139292717,2402.439024390244,137.3329598971616,0.00015303463,2158,409934
0.5682047,9.523809523809524,0.0,3.9360046e-05,0.01017476,0.47619047619047616,0.9502002442002444,14493.361877679825,2362.6190476190477,135.1451569514369,3.9360046e-05,2200,419976
0.4706114,10.0,0.0,0.00051069015,0.010174871,0.0,0.9961,14783.561452627182,2490.25,142.34626055670745,0.00051069015,2240,429976
0.5682047,9.75,0.0,8.649853e-05,0.008933204,0.25,0.984244827586207,15077.084644079208,2437.75,139.44413908287194,8.649853e-05,2280,439755
0.4706114,10.0,0.0,0.0005214565,0.010174871,0.0,0.9964000000000001,15401.235465049744,2491.0,142.45530691812831,0.0005214565,2320,449755
0.37301892,10.0,0.0,7.293785e-05,0.010174751,0.0,0.9991999999999999,15702.808706998825,2498.0,142.75306706702662,7.293785e-05,2360,459755
0.4706115,10.0,0.0,8.069229e-05,0.008933204,0.0,0.9998000000000001,16020.94198346138,2499.5,142.85908581945515,8.069229e-05,2400,469755
