EpisodesSoFar,AttNC,MtR,TimeElapsed,TimestepsSoFar,optimgain,Fce,entloss,surrgain,AttC,TtR,meankl,entropy
12319,0.8695652173913043,16.18446705139686,11009.840795755386,2509802,0.005069789,0.11601372997711672,0.0,0.005069789,0.13043478260869565,28.73913043478261,0.0039822017,0.469333
12366,0.851063829787234,16.128438717151596,11052.43026804924,2519811,0.0054998444,0.11455319148936173,0.0,0.0054998444,0.14893617021276595,28.638297872340427,0.0034158325,0.46081865
12410,0.9090909090909091,16.80324624999884,11100.785219669342,2529821,0.0037068946,0.11790909090909092,0.0,0.0037068946,0.09090909090909091,29.477272727272727,0.002790037,0.46623495
12460,0.8,14.681029255432147,11140.190461397171,2539831,0.0033121887,0.10256000000000003,0.0,0.0033121887,0.2,25.64,0.0027029633,0.46182245
12508,0.8125,16.47490912371222,11188.164299249649,2549786,0.0047963085,0.11717554578038453,0.0,0.0047963085,0.1875,28.458333333333332,0.0029487817,0.46460214
12553,0.8888888888888888,16.134534443090125,11233.586122512817,2559791,0.0059844907,0.11395555555555557,0.0,0.0059844907,0.1111111111111111,28.488888888888887,0.0059259227,0.44448778
12598,0.8888888888888888,16.25650246339969,11275.908238172531,2569796,0.00273761,0.1336,0.0,0.00273761,0.1111111111111111,27.866666666666667,0.006718558,0.44545454
12642,0.9090909090909091,16.40034983616549,11322.534664154053,2579802,0.005874659,0.11536363636363642,0.0,0.005874659,0.09090909090909091,28.84090909090909,0.004216685,0.430035
12689,0.851063829787234,14.954556903263878,11360.100558757782,2589809,0.0041201264,0.10621276595744684,0.0,0.0041201264,0.14893617021276595,26.5531914893617,0.0037482781,0.42725724
12733,0.9090909090909091,16.68345268687312,11402.120418548584,2599813,0.005960295,0.11627272727272729,0.0,0.005960295,0.09090909090909091,29.068181818181817,0.0034963752,0.43553525
12776,0.9302325581395349,16.49135709659563,11460.05075263977,2609816,0.004915233,0.11572093023255818,0.0,0.004915233,0.06976744186046512,28.930232558139537,0.0028025655,0.44605824
12818,0.9523809523809523,17.22140636104242,11501.88587808609,2619818,0.0048481585,0.12390476190476189,0.0,0.0048481585,0.047619047619047616,30.976190476190474,0.0033375518,0.43817428
12862,0.9090909090909091,16.260703801214856,11541.996540307999,2629822,0.0044325334,0.1144545454545455,0.0,0.0044325334,0.09090909090909091,28.613636363636363,0.0041080755,0.4690272
12910,0.8333333333333334,14.768161980037908,11585.121690273285,2639830,0.005136809,0.1021666666666667,0.0,0.005136809,0.16666666666666666,25.541666666666668,0.004494572,0.48379272
