entloss,TtR,TimestepsSoFar,TimeElapsed,entropy,surrgain,meankl,optimgain,AttC,EpisodesSoFar,Fce,AttNC,MtR
0.0,82.88372093023256,1149907,7328.1200568675995,1.4587401,0.00022479756,0.0011775861,0.00022479756,1.2790697674418605,5393,0.12005167958656336,1.7209302325581395,15.7571488044732
0.0,68.14285714285714,1159837,7386.98232460022,1.4425057,0.00010668335,0.0035625063,0.00010668335,1.3877551020408163,5442,0.09646026063617329,1.6122448979591837,12.938106743820065
0.0,72.31914893617021,1169885,7461.846112728119,1.4842172,0.00060733897,0.0018463165,0.00060733897,1.3617021276595744,5489,0.10833228290243106,1.6382978723404256,14.15988659723149
0.0,86.93181818181819,1179897,7522.264751672745,1.4762323,0.00077421224,0.006164922,0.00077421224,1.3636363636363635,5533,0.11590909090909092,1.6363636363636365,16.56361514194718
0.0,80.6086956521739,1189961,7589.747536897659,1.4610507,0.0003002121,0.004002603,0.0003002121,1.3478260869565217,5579,0.11152217830478701,1.6521739130434783,15.504208827394514
0.0,71.125,1199846,7651.978750944138,1.4755964,0.0010423134,0.012196808,0.0010423134,1.3125,5627,0.13340548340548336,1.6875,13.895067316395739
0.0,72.56603773584905,1209959,7718.169251203537,1.4773061,0.001286737,0.006122934,0.001286737,1.5471698113207548,5680,0.14127896644018834,1.4528301886792452,14.315388918841986
0.0,79.59574468085107,1219776,7783.702591657639,1.4750868,0.0004225933,0.0009986607,0.0004225933,1.425531914893617,5727,0.12243886114947805,1.574468085106383,15.602636672860768
0.0,92.26666666666667,1229839,7850.009681224823,1.4644773,0.0025580872,0.008454066,0.0025580872,1.6444444444444444,5772,0.13015321098445037,1.3555555555555556,17.38530975700785
0.0,83.53333333333333,1239862,7905.330467224121,1.4444604,0.0005356452,0.0008677963,0.0005356452,1.3555555555555556,5817,0.11754920634920633,1.6444444444444444,15.916406355727936
0.0,87.55813953488372,1249891,7973.328547000885,1.4210294,0.0005435669,0.0030341132,0.0005435669,1.4651162790697674,5860,0.12093023255813957,1.5348837209302326,16.737561022807693
0.0,81.95454545454545,1259913,8037.656956195831,1.4211543,0.00037340343,0.0010672164,0.00037340343,1.2045454545454546,5904,0.11372727272727277,1.7954545454545454,15.508190035969276
