AttC,EpisodesSoFar,Ptt,optimgain,TimeElapsed,MtR,AttNC,surrgain,TtR,TimestepsSoFar,entloss,MpbtN,MpbtA,Tbt,entropy,meankl,Tmc,Tmt
1.3409090909090908,5699,75.28418798170938,0.0042615244,15691.784220695496,-28.337200245875977,1.6590909090909092,0.0042615244,-140.25,769951,0.0,60.4232665439562,39.5767334560438,316322.9090909091,0.33484712,0.00588956,26.772727272727273,77.22727272727273
1.7272727272727273,5743,75.2061131790781,0.0036403697,15824.591862678528,-27.443363463116633,1.2727272727272727,0.0036403697,-135.8181818181818,779944,0.0,58.66450098667503,41.33549901332498,316043.63636363635,0.32247722,0.0053558224,26.863636363636363,77.1590909090909
1.4090909090909092,5787,75.390479664873,0.0063757263,15957.305430412292,-28.445952089292984,1.5909090909090908,0.0063757263,-140.6590909090909,789834,0.0,60.58609654687097,39.41390345312903,316788.36363636365,0.33302474,0.0069376887,26.65909090909091,77.3409090909091
1.5454545454545454,5831,75.14887342411343,0.0038848196,16087.692708492279,-27.33643021929876,1.4545454545454546,0.0038848196,-135.0,799907,0.0,58.269618339052435,41.73038166094755,315857.45454545453,0.33670792,0.005986402,26.931818181818183,77.11363636363636
1.9361702127659575,5878,74.95782327685392,0.0023160437,16228.096994876862,-27.009611930188857,1.0638297872340425,0.0023160437,-132.0,809962,0.0,57.254233245850436,42.745766754149564,314956.25531914894,0.2916291,0.0045206086,27.127659574468087,76.8936170212766
1.3777777777777778,5923,75.1775840771217,0.003918589,16362.903719425201,-27.010077339859134,1.6222222222222222,0.003918589,-130.13333333333333,819803,0.0,56.20794417824517,43.79205582175484,315847.1111111111,0.3153563,0.005449118,26.88888888888889,77.11111111111111
1.4680851063829787,5970,75.03829001964394,0.003422873,16496.792521715164,-27.900578435814264,1.5319148936170213,0.003422873,-134.48936170212767,829886,0.0,58.168797518793184,41.83120248120683,315304.8510638298,0.29141334,0.0045861155,27.04255319148936,76.97872340425532
1.6666666666666667,6015,74.92594193615516,0.0034977433,16629.112646102905,-27.70183163147062,1.3333333333333333,0.0034977433,-134.26666666666668,839919,0.0,58.2487461950846,41.751253804915414,314754.84444444446,0.27283278,0.0059084324,27.155555555555555,76.84444444444445
0.9545454545454546,6059,75.41105891092279,0.0057527963,16765.794712781906,-28.127276758985207,2.0454545454545454,0.0057527963,-134.86363636363637,849829,0.0,58.056731573095455,41.94326842690455,316881.45454545453,0.32727224,0.0068797516,26.636363636363637,77.36363636363636
1.1162790697674418,6102,74.62135058010783,0.0043562017,16900.948684692383,-26.522569936298567,1.8837209302325582,0.0043562017,-131.02325581395348,859830,0.0,57.01278482219255,42.987215177807464,313486.88372093026,0.32391745,0.0047823465,27.488372093023255,76.53488372093024
1.6428571428571428,6144,75.31355883082968,0.003077415,17032.055371046066,-28.44991978884997,1.3571428571428572,0.003077415,-146.21428571428572,869793,0.0,62.931206757397135,37.068793242602844,316464.7619047619,0.31142038,0.004530065,26.738095238095237,77.26190476190476
1.3555555555555556,6189,76.02517232326551,0.0039438205,17165.15866303444,-27.940537951591512,1.6444444444444444,0.0039438205,-136.66666666666666,879912,0.0,58.232032185639,41.767967814361015,319579.02222222224,0.30968893,0.0057293996,25.977777777777778,78.02222222222223
1.4651162790697674,6232,75.24461348001608,0.0030316673,17297.1302421093,-26.75251833492977,1.5348837209302326,0.0030316673,-135.48837209302326,889929,0.0,58.43636728227093,41.56363271772907,316154.0465116279,0.30917156,0.004091868,26.813953488372093,77.18604651162791
1.5454545454545454,6276,74.3547811553964,0.0032030947,17434.194581985474,-26.668129850813788,1.4545454545454546,0.0032030947,-130.77272727272728,899747,0.0,57.121953144381834,42.87804685561816,312320.0,0.298628,0.00410062,27.772727272727273,76.25
