EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
12759,76.53333333333333,0.11229958847736626,2759870,14247.935459375381,14.663278937989178,0.0011109558,0.0,1.6444444444444444,0.0011109558,0.0028762452,1.3555555555555556,1.2915459
12801,85.85714285714286,0.11683597883597888,2769902,14303.23559474945,16.44749790469967,0.0014323974,0.0,1.8333333333333333,0.0014323974,0.0036164,1.1666666666666667,1.2935894
12841,97.35,0.12980000000000003,2779902,14351.253714561462,18.43768738766716,0.0006139384,0.0,1.9,0.0006139384,0.0024608544,1.1,1.2944362
12886,78.13333333333334,0.10417777777777783,2789909,14401.307047367096,14.883983986711117,0.0010390604,0.0,1.8888888888888888,0.0010390604,0.0017688512,1.1111111111111112,1.2691127
12932,72.0,0.09977865612648222,2799949,14453.029474258423,13.789423817946316,0.0007721817,0.0,1.934782608695652,0.0007721817,0.0021191074,1.065217391304348,1.2635002
12980,70.4375,0.1381399018567892,2809934,14503.562549114227,13.3350950833433,0.00088068645,0.0,1.625,0.00088068645,0.002930165,1.375,1.2489012
13020,87.6,0.11680000000000004,2819934,14555.892863750458,17.005580606098725,0.00047461854,0.0,2.025,0.00047461854,0.004208254,0.975,1.2387266
13063,77.16279069767442,0.11193232958695606,2829784,14605.067663192749,14.808623021670074,0.0010411255,0.0,1.9534883720930232,0.0010411255,0.0018173383,1.0465116279069768,1.2393116
13110,80.29787234042553,0.11604417974071043,2839995,14661.558156013489,15.513006604727867,0.0007083984,0.0,1.5957446808510638,0.0007083984,0.001567641,1.4042553191489362,1.2224666
13151,85.2439024390244,0.11636456996148913,2849841,14711.793800592422,16.209770961215316,0.0010328176,0.0,1.9268292682926829,0.0010328176,0.0012422348,1.0731707317073171,1.2124804
13194,76.3953488372093,0.10711084264572637,2859864,14761.6216442585,14.713831837455073,0.0012360759,0.0,1.930232558139535,0.0012360759,0.0017615756,1.069767441860465,1.2305373
13239,77.13333333333334,0.1087153439153439,2869901,14811.115553379059,14.93130764878792,0.0009880182,0.0,1.8888888888888888,0.0009880182,0.0027508235,1.1111111111111112,1.2368696
13281,80.85714285714286,0.1103597883597884,2879915,14863.091581821442,15.36475705436448,0.00069953856,0.0,2.0,0.00069953856,0.0019178105,1.0,1.2476305
13326,83.33333333333333,0.11111111111111113,2889930,14913.409705162048,15.686639389071022,0.00088266295,0.0,1.7333333333333334,0.00088266295,0.0024016357,1.2666666666666666,1.2419862
13369,77.86046511627907,0.10803727194424874,2899880,14967.106866836548,15.070112778459126,0.0013923706,0.0,1.8372093023255813,0.0013923706,0.0043986603,1.1627906976744187,1.2330289
13410,82.2439024390244,0.10965853658536588,2909881,15013.40441441536,15.544369378186383,0.0011572787,0.0,2.1219512195121952,0.0011572787,0.0022051972,0.8780487804878049,1.2744135
13453,84.0,0.11345736434108528,2919904,15067.434355974197,16.0654670855471,0.0020094973,0.0,1.813953488372093,0.0020094973,0.005508016,1.186046511627907,1.2852288
13495,82.71428571428571,0.11028571428571429,2929908,15123.440811395645,15.739916180228539,0.00061266427,0.0,1.9761904761904763,0.00061266427,0.0027511627,1.0238095238095237,1.3142834
13536,80.04878048780488,0.1067317073170732,2939909,15177.313786506653,15.310813250070362,0.00035446268,0.0,1.829268292682927,0.00035446268,0.002802038,1.170731707317073,1.3049821
13582,74.15217391304348,0.1016923076923077,2949961,15223.008097410202,13.920405526946235,0.00097846,0.0,1.608695652173913,0.00097846,0.0040596514,1.391304347826087,1.2935404
13627,79.33333333333333,0.10770142450142454,2959775,15278.03030872345,15.020614516774518,0.0008634778,0.0,1.711111111111111,0.0008634778,0.0034383738,1.288888888888889,1.2733284
13667,84.975,0.11330000000000004,2969775,15329.069634437561,16.18240443649653,0.0009152855,0.0,2.125,0.0009152855,0.00070642226,0.875,1.2779534
13711,81.13636363636364,0.10818181818181821,2979785,15380.380098342896,15.276195364274491,0.0013538661,0.0,1.7272727272727273,0.0013538661,0.0016928933,1.2727272727272727,1.2757055
13757,70.56521739130434,0.10032924563359347,2989819,15427.967737197876,13.355833276833154,0.0010840617,0.0,1.8043478260869565,0.0010840617,0.0044358713,1.1956521739130435,1.2806526
13801,80.79545454545455,0.13443872668684698,2999889,15484.14100074768,15.525107730406228,0.0014421284,0.0,1.6363636363636365,0.0014421284,0.0058727944,1.3636363636363635,1.2842891
13845,79.63636363636364,0.10783916083916088,3009909,15533.576033115387,15.060862232829333,0.0013135803,0.0,1.7727272727272727,0.0013135803,0.0032067625,1.2272727272727273,1.303348
13891,83.34782608695652,0.14296066252587988,3019933,15583.83138012886,15.771999986077736,0.0010932129,0.0,1.565217391304348,0.0010932129,0.0060204733,1.434782608695652,1.2924701
13932,86.70731707317073,0.11560975609756102,3029934,15635.089245080948,16.547967866663374,0.0009815679,0.0,1.9024390243902438,0.0009815679,0.003722411,1.0975609756097562,1.3084708
13976,82.77272727272727,0.1132121212121212,3039956,15688.765483140945,15.891536797770074,0.0005479182,0.0,1.6818181818181819,0.0005479182,0.0031123054,1.3181818181818181,1.3094989
14019,77.51162790697674,0.13149354005167957,3049973,15738.658485651016,14.59470021337592,0.001476535,0.0,1.8604651162790697,0.001476535,0.0049823234,1.1395348837209303,1.3121815
14062,83.79069767441861,0.13571207087486153,3060000,15790.797060966492,15.818043689908277,0.0004310323,0.0,1.7674418604651163,0.0004310323,0.0052369516,1.2325581395348837,1.2945943
14108,70.95652173913044,0.10346291560102305,3069809,15840.910243988037,13.410802020739402,0.0006356069,0.0,1.891304347826087,0.0006356069,0.0013349139,1.108695652173913,1.2950945
14152,78.75,0.10676579352850543,3079877,15891.622993707657,14.953211617286753,0.0006143626,0.0,1.7954545454545454,0.0006143626,0.0012014769,1.2045454545454546,1.2746066
14192,90.225,0.1203,3089877,15945.488529920578,17.14085832017114,0.00023342241,0.0,1.925,0.00023342241,0.003563502,1.075,1.2729498
14235,77.44186046511628,0.1264186046511628,3099884,15998.883247613907,14.530297846776957,0.0005778483,0.0,1.9767441860465116,0.0005778483,0.0015831535,1.0232558139534884,1.2513828
14278,79.3953488372093,0.10732083991871755,3109997,16051.344889163971,15.333530106339474,0.0024748433,0.0,1.9534883720930232,0.0024748433,0.008284503,1.0465116279069768,1.2567166
14326,64.8125,0.10646043771043773,3119828,16102.251513719559,12.482167998817872,0.0017405477,0.0,1.8125,0.0017405477,0.0038637551,1.1875,1.2679312
14377,67.52941176470588,0.10857342192027788,3129868,16155.459856510162,13.059494656630303,0.00093580043,0.0,1.588235294117647,0.00093580043,0.002329364,1.411764705882353,1.2543912
14425,75.8125,0.11603968477343092,3139932,16208.263789176941,14.39581726435172,0.00050000864,0.0,1.7708333333333333,0.00050000864,0.0074244966,1.2291666666666667,1.2259412
14470,72.86666666666666,0.10332698412698416,3149955,16259.748557329178,13.846894936257105,0.000772406,0.0,1.7555555555555555,0.000772406,0.0019682231,1.2444444444444445,1.2086078
14513,75.97674418604652,0.11107930828861062,3159783,16312.495085477829,14.725193815241806,0.0006224172,0.0,1.9069767441860466,0.0006224172,0.004636809,1.0930232558139534,1.2628967
14556,81.83720930232558,0.11160723514211889,3169800,16362.56123638153,15.363159186180095,0.0010444875,0.0,1.697674418604651,0.0010444875,0.0029489142,1.302325581395349,1.2973151
14600,76.36363636363636,0.10545295055821374,3179846,16413.086660146713,14.3363027470298,0.0005130259,0.0,1.8409090909090908,0.0005130259,0.0025610707,1.1590909090909092,1.277783
