entropy,MtR,Tmt,TimestepsSoFar,Tbt,Ptt,EpisodesSoFar,AttNC,Tmc,MpbtA,TimeElapsed,TtR,optimgain,surrgain,AttC,MpbtN,meankl,entloss
0.313554,-9.887629912558323,58.03076923076923,829980,237694.03076923077,56.60810254386929,6896,4.2153846153846155,47.03076923076923,77.19167554160083,30571.72147488594,-132.46153846153845,0.0024460596,0.0024460596,5.7846153846153845,22.808324458399177,0.0063635255,0.0
0.275179,-10.001562695769826,59.15873015873016,839961,242314.15873015873,57.68492466824594,6959,2.7777777777777777,45.87301587301587,75.56730015683426,30915.32920384407,-145.23809523809524,0.0017767723,0.0017767723,7.222222222222222,24.43269984316571,0.007968716,0.0
0.31736305,-9.779038935569496,57.84126984126984,849880,236917.84126984127,56.40501077466544,7022,5.857142857142857,47.26984126984127,76.66137672179704,31242.800013303757,-134.76190476190476,0.002314105,0.002314105,4.142857142857143,23.33862327820296,0.0062684584,0.0
0.3036124,-11.077610964997488,60.80327868852459,859870,249050.22950819673,59.23702899029011,7083,3.3442622950819674,44.22950819672131,72.93497030587467,31586.730658769608,-165.5737704918033,0.001980959,0.001980959,6.655737704918033,27.06502969412532,0.0054257326,0.0
0.25818408,-9.708761344136612,58.25,869995,238592.0,56.79561501284159,7147,4.46875,46.84375,76.69191927384927,31895.621079921722,-136.25,0.0017351902,0.0017351902,5.53125,23.308080726150756,0.0063245324,0.0
0.2944914,-10.36562947199534,57.296875,879910,234688.0,55.87450388515974,7211,4.65625,47.84375,75.80292281932732,32230.323975801468,-138.4375,0.0020128363,0.0020128363,5.34375,24.19707718067269,0.006065602,0.0
0.3096851,-10.467559464548788,58.77777777777778,889893,240753.77777777778,57.3015136838689,7274,3.888888888888889,46.301587301587304,74.56280232210867,32549.351338863373,-149.84126984126985,0.0019747736,0.0019747736,6.111111111111111,25.437197677891344,0.005396757,0.0
0.28778946,-10.635182872532246,59.66129032258065,899951,244372.64516129033,58.15990749338889,7336,3.129032258064516,45.37096774193548,73.49325490518109,32870.636692762375,-160.16129032258064,0.0024045012,0.0024045012,6.870967741935484,26.506745094818896,0.00635562,0.0
0.28780597,-9.339918115607535,56.06349206349206,909905,229636.0634920635,54.67029530406382,7399,5.301587301587301,49.15873015873016,77.26533695397443,33203.86741042137,-127.3015873015873,0.0015608603,0.0015608603,4.698412698412699,22.73466304602557,0.0040903836,0.0
0.29178974,-10.143504634943334,57.140625,919982,234048.0,55.735921816145684,7463,4.453125,47.984375,75.73827839227108,33536.25840640068,-138.4375,0.0020646676,0.0020646676,5.546875,24.26172160772892,0.005314477,0.0
