meankl,optimgain,surrgain,AttC,entropy,EpisodesSoFar,AttNC,MtR,TtR,Tmc,entloss,TimeElapsed,Ptt,TimestepsSoFar,Tbt,MpbtN,MpbtA,Tmt
0.0025594272,0.0044048713,0.0044048713,0.32432432432432434,0.24340357,3742,0.6756756756756757,-40.32816058935371,-72.62162162162163,21.675675675675677,0.0,9845.541711091995,80.02783337274494,149946,337200.4324324324,88.18155647842318,11.818443521576803,82.32432432432432
0.0054362314,0.0049813353,0.0049813353,0.47368421052631576,0.19000876,3780,0.5263157894736842,-40.74016477574774,-73.0,21.263157894736842,0.0,9984.92032122612,80.40543783809404,159854,338782.3157894737,88.2363012573627,11.763698742637308,82.71052631578948
0.0057884813,0.004323877,0.004323877,0.11428571428571428,0.26967594,3815,0.8857142857142857,-39.49572822603544,-73.42857142857143,21.285714285714285,0.0,10104.947606086731,80.37029957386794,169858,338329.6,88.85432892794265,11.145671072057368,82.6
0.00233162,0.0029470825,0.0029470825,0.2631578947368421,0.2568165,3853,0.7368421052631579,-40.29528117345404,-72.84210526315789,20.842105263157894,0.0,10239.865895986557,80.77728850379458,179881,339968.0,87.70150208028802,12.298497919711957,83.0
0.004842105,0.004854404,0.004854404,0.38461538461538464,0.2526402,3892,0.6153846153846154,-40.401540918935176,-70.97435897435898,21.871794871794872,0.0,10373.876669883728,79.83952533430104,189934,336292.10256410256,86.4056342972168,13.594365702783202,82.1025641025641
0.0023979035,0.003776828,0.003776828,0.48717948717948717,0.23861285,3931,0.5128205128205128,-39.56108715746169,-70.8974358974359,21.076923076923077,0.0,10505.496134281158,80.5769627084455,199769,339442.8717948718,85.53656927732723,14.463430722672753,82.87179487179488
0.007250143,0.008260065,0.008260065,0.325,0.29107645,3971,0.675,-39.711915674910486,-70.825,21.225,0.0,10641.114555358887,80.44343198703577,209935,338944.0,85.54599338188974,14.454006618110238,82.75
0.0025379907,0.004225671,0.004225671,0.65,0.26894668,4011,0.35,-38.64089627611459,-69.725,21.375,0.0,10776.990176677704,80.30277610126939,219922,338329.6,84.40015067751055,15.599849322489433,82.6
0.0031786163,0.0038656371,0.0038656371,0.6190476190476191,0.25579765,4053,0.38095238095238093,-39.88146131214562,-69.80952380952381,21.642857142857142,0.0,10920.005775690079,80.0542101919964,229966,337237.3333333333,84.79336839368378,15.206631606316224,82.33333333333333
0.0044950433,0.004265582,0.004265582,0.475,0.21753648,4093,0.525,-40.322723950102166,-70.65,20.775,0.0,11054.102743387222,80.85288647873779,239964,340582.4,84.95705751686029,15.042942483139697,83.15
0.00522837,0.0055817505,0.0055817505,0.1891891891891892,0.27152318,4130,0.8108108108108109,-39.24528471328937,-70.91891891891892,21.18918918918919,0.0,11183.729205846786,80.46762960979876,249985,338860.97297297296,85.68860068160922,14.311399318390789,82.72972972972973
0.0060406313,0.0045376406,0.0045376406,0.475,0.19555764,4170,0.525,-39.68470340138021,-69.95,21.15,0.0,11320.058094501495,80.51209785085021,259923,339251.2,84.43317879382884,15.566821206171145,82.825
0.0022724103,0.0027202133,0.0027202133,0.3783783783783784,0.24775909,4207,0.6216216216216216,-39.69662548981653,-71.45945945945945,22.2972972972973,0.0,11449.901998519897,79.44377546542641,269837,334543.5675675676,87.51172725381085,12.488272746189159,81.67567567567568
0.0031374784,0.0040659164,0.0040659164,0.38461538461538464,0.2514224,4246,0.6153846153846154,-39.424719017746135,-70.97435897435898,21.46153846153846,0.0,11584.336289167404,80.22648309480697,279985,338077.53846153844,85.99175883775418,14.008241162245822,82.53846153846153
0.0031194584,0.0040397034,0.0040397034,0.41025641025641024,0.24320115,4285,0.5897435897435898,-39.73015982493295,-70.7948717948718,21.692307692307693,0.0,11722.229091882706,80.0087328623411,289940,337027.28205128206,86.03439988129634,13.965600118703666,82.28205128205128
0.0034309356,0.0059196227,0.0059196227,0.2702702702702703,0.25347963,4322,0.7297297297297297,-39.123962751954984,-70.70270270270271,21.135135135135137,0.0,11853.366263389587,80.52680198418784,299750,339303.7837837838,85.3205624046132,14.679437595386814,82.83783783783784
0.0040866584,0.004218793,0.004218793,0.4358974358974359,0.21813494,4361,0.5641025641025641,-38.92273520935469,-70.15384615384616,21.28205128205128,0.0,11989.34066438675,80.39014245807962,309783,338707.6923076923,84.83007726250737,15.169922737492625,82.6923076923077
