surrgain,Fce,TimestepsSoFar,entropy,AttNC,TtR,TimeElapsed,MtR,EpisodesSoFar,meankl,entloss,optimgain,AttC
0.0018657903,0.1532548403976976,839825,0.8361056,1.7619047619047619,109.85714285714286,3478.0314128398895,20.938465354892077,3799,0.0047078673,0.0,0.0018657903,1.2380952380952381
0.0011921412,0.14484391630823065,849880,0.8243563,1.5116279069767442,103.3953488372093,3519.643515586853,19.49315368456637,3842,0.004010566,0.0,0.0011921412,1.4883720930232558
0.0014463506,0.14887550147481668,859837,0.8118846,1.372093023255814,105.20930232558139,3562.0197529792786,20.125760210020033,3885,0.003784657,0.0,0.0014463506,1.627906976744186
0.0017211166,0.1623582766439909,869859,0.7893235,1.5714285714285714,114.57142857142857,3604.3991129398346,21.645254395923786,3927,0.004181383,0.0,0.0017211166,1.4285714285714286
0.0015385142,0.15317873027225545,879853,0.81287014,1.3953488372093024,107.44186046511628,3645.6830055713654,20.30034389138734,3970,0.0037932557,0.0,0.0015385142,1.6046511627906976
0.0011800618,0.1554843205574913,889874,0.81412774,1.6829268292682926,114.21951219512195,3688.1331157684326,21.564506696961892,4011,0.0055429167,0.0,0.0011800618,1.3170731707317074
0.0020769115,0.16805085156542626,899800,0.7635447,1.4390243902439024,121.6829268292683,3731.5476360321045,23.598668932087293,4052,0.006101839,0.0,0.0020769115,1.5609756097560976
0.0015015188,0.14392609259788536,909785,0.7209852,1.6136363636363635,103.70454545454545,3772.4664223194122,19.679721860713713,4096,0.005254304,0.0,0.0015015188,1.3863636363636365
0.001306306,0.16737934613388686,919832,0.73439234,2.048780487804878,124.90243902439025,3817.619604587555,23.86026291041119,4137,0.0046823267,0.0,0.001306306,0.9512195121951219
0.0011370982,0.15825930680359437,929851,0.7272337,1.975609756097561,117.8048780487805,3857.971143245697,22.334569814226438,4178,0.005203307,0.0,0.0011370982,1.024390243902439
0.0015231943,0.14428743140841388,939946,0.7346631,1.7674418604651163,106.95348837209302,3899.3683717250824,20.388599669379392,4221,0.0038583241,0.0,0.0015231943,1.2325581395348837
0.0010932144,0.1620060468631897,949765,0.74799114,2.119047619047619,118.07142857142857,3940.7011528015137,22.131915414816678,4263,0.0030593842,0.0,0.0010932144,0.8809523809523809
0.0013306615,0.1600929152148664,959870,0.7177963,2.1219512195121952,118.7560975609756,3983.7239332199097,22.461920065483753,4304,0.004865976,0.0,0.0013306615,0.8780487804878049
0.0015876378,0.16659999999999997,969870,0.65955186,2.1,124.95,4025.397982120514,23.68983598357373,4344,0.0065580606,0.0,0.0015876378,0.9
0.0021847906,0.15502294983927645,979958,0.5806871,1.9285714285714286,113.64285714285714,4065.9305148124695,21.442890557530987,4386,0.0077048438,0.0,0.0021847906,1.0714285714285714
0.0013394293,0.16310027100271002,989967,0.60062605,2.3658536585365852,120.36585365853658,4109.4140791893005,22.77673106521129,4427,0.0027109405,0.0,0.0013394293,0.6341463414634146
0.0011385981,0.15669116360454943,999860,0.57540184,2.142857142857143,115.5,4149.369555711746,21.856605728978725,4469,0.005447813,0.0,0.0011385981,0.8571428571428571
0.0019758544,0.1585123920913395,1009924,0.58370614,2.1666666666666665,116.71428571428571,4191.823772907257,21.916043933234413,4511,0.0057682954,0.0,0.0019758544,0.8333333333333334
0.0017593185,0.16458689678170638,1019767,0.5131855,2.2142857142857144,119.0,4231.299184083939,22.68165316130304,4553,0.0069821635,0.0,0.0017593185,0.7857142857142857
0.0019499153,0.156390243902439,1029792,0.4639261,2.1219512195121952,116.63414634146342,4275.07620215416,21.880564782115275,4594,0.005787587,0.0,0.0019499153,0.8780487804878049
0.0018009178,0.170689962370524,1039907,0.41953307,2.255813953488372,121.95348837209302,4315.467074394226,22.639109389045288,4637,0.0053963987,0.0,0.0018009178,0.7441860465116279
0.001363592,0.18180000000000002,1049907,0.39264128,2.55,136.35,4357.798761129379,25.507983224230404,4677,0.0041651856,0.0,0.001363592,0.45
0.0008354739,0.18040000000000006,1059907,0.36437917,2.55,135.3,4398.412291526794,25.041236703406202,4717,0.0030506544,0.0,0.0008354739,0.45
0.0015170114,0.1813,1069907,0.3280023,2.6,135.975,4439.7483422756195,25.25335789827893,4757,0.006083336,0.0,0.0015170114,0.4
0.0011079772,0.18329999999999996,1079907,0.32566342,2.75,137.475,4481.964726448059,25.71817061591178,4797,0.0028759812,0.0,0.0011079772,0.25
0.001426885,0.1904,1089907,0.30663043,2.7,142.8,4522.710552215576,26.58683885901804,4837,0.004307343,0.0,0.001426885,0.3
0.0013667605,0.18349999999999997,1099907,0.23135483,2.65,137.625,4566.203914642334,25.2886233760479,4877,0.008914996,0.0,0.0013667605,0.35
0.0025345974,0.18070000000000003,1109907,0.15298504,2.95,135.525,4606.737254142761,24.314917815785332,4917,0.00989786,0.0,0.0025345974,0.05
0.0010749013,0.18649999999999994,1119907,0.07729339,2.85,139.875,4648.413514852524,25.726467012168836,4957,0.0074216216,0.0,0.0010749013,0.15
0.0009821263,0.1852,1129907,0.018512726,2.825,138.9,4688.808000087738,25.07705231681317,4997,0.0064476165,0.0,0.0009821263,0.175
0.0010047366,0.1951,1139907,0.044836525,2.925,146.325,4731.4194412231445,26.62925857395241,5037,0.0040412173,0.0,0.0010047366,0.075
0.0006509994,0.19519999999999998,1149907,0.09045898,2.9,146.4,4771.6751391887665,27.038003511614868,5077,0.0058458364,0.0,0.0006509994,0.1
0.000466443,0.1815,1159907,0.06283673,2.75,136.125,4813.778403043747,25.462188419066994,5117,0.002779917,0.0,0.000466443,0.25
0.0011235677,0.2102,1169907,0.017898774,2.775,157.65,4854.262744903564,29.468533647755446,5157,0.0045846896,0.0,0.0011235677,0.225
0.0006495753,0.19699999999999995,1179907,-0.01992968,2.875,147.75,4897.48162317276,27.53887678757348,5197,0.0056410646,0.0,0.0006495753,0.125
0.00043156,0.18330000000000002,1189907,0.0014679432,2.875,137.475,4938.039429187775,24.988010330470527,5237,0.0015826569,0.0,0.00043156,0.125
0.00039518636,0.20470000000000002,1199907,0.0237387,2.95,153.525,4978.045476675034,28.036935288017286,5277,0.004243674,0.0,0.00039518636,0.05
