TimestepsSoFar,MpbtN,Tmc,entropy,Tbt,AttC,TtR,MtR,EpisodesSoFar,AttNC,Tmt,entloss,meankl,MpbtA,Ptt,TimeElapsed,optimgain,surrgain
379908,26.570642771868382,47.921875,0.37634003,234496.0,6.453125,-151.875,-11.191735218071226,4069,3.546875,57.25,0.0,0.005335286,73.42935722813165,55.81712352829044,15179.843045949936,0.0022339753,0.0022339753
389937,25.09994863986406,45.96825396825397,0.35608286,242249.14285714287,8.285714285714286,-149.52380952380952,-10.24505734535715,4132,1.7142857142857142,59.142857142857146,0.0,0.003765577,74.90005136013595,57.63214470486209,15520.176839828491,0.0013483348,0.0013483348
399862,25.951338843791998,47.145161290322584,0.3582446,237303.74193548388,7.241935483870968,-150.6451612903226,-10.613044404011239,4194,2.7580645161290325,57.935483870967744,0.0,0.0031227828,74.048661156208,56.50782351487403,15866.165195941925,0.001316295,0.001316295
409871,24.613316032396142,48.17460317460318,0.33714923,233276.95238095237,7.031746031746032,-140.79365079365078,-10.007974214542314,4257,2.9682539682539684,56.95238095238095,0.0,0.0036167596,75.38668396760386,55.55620235917653,16216.864207744598,0.0016420553,0.0016420553
419945,24.610596153004916,47.578125,0.38636968,235904.0,6.1875,-141.5625,-10.199218862781416,4321,3.8125,57.59375,0.0,0.005834086,75.38940384699505,56.1389404632671,16561.08467245102,0.0022007816,0.0022007816
429914,28.713563641123347,44.578125,0.3795106,247488.0,8.140625,-174.84375,-11.76802650010709,4385,1.859375,60.421875,0.0,0.0031585137,71.28643635887664,58.893452786957106,16894.41302728653,0.0014945193,0.0014945193
439867,25.717959938557037,47.301587301587304,0.33289212,236787.80952380953,7.031746031746032,-150.0,-10.325313111903215,4448,2.9682539682539684,57.80952380952381,0.0,0.00500988,74.28204006144294,56.37259950307104,17229.154711961746,0.0015690556,0.0015690556
449997,24.147006904226238,47.30769230769231,0.35576695,236496.73846153845,4.507692307692308,-139.53846153846155,-10.46481062863532,4513,5.492307692307692,57.738461538461536,0.0,0.0063077407,75.85299309577378,56.33927369238734,17573.916291952133,0.002147248,0.002147248
459965,24.281861929478605,48.5,0.33102328,231936.0,6.3125,-137.34375,-9.948213624395454,4577,3.6875,56.625,0.0,0.0029881897,75.7181380705214,55.24676244242325,17917.69565296173,0.0013273815,0.0013273815
469845,23.879521702538998,46.96825396825397,0.36927062,237893.07936507938,4.920634920634921,-138.88888888888889,-10.109109502895345,4640,5.079365079365079,58.07936507936508,0.0,0.003929422,76.120478297461,56.66140436471175,18263.32760643959,0.0015455087,0.0015455087
479937,25.404088746500683,45.492063492063494,0.39002135,243809.52380952382,6.73015873015873,-151.5873015873016,-10.66139612465383,4703,3.2698412698412698,59.523809523809526,0.0,0.0040873913,74.59591125349932,58.039398073521525,18595.357578754425,0.001660316,0.001660316
489953,26.176962290578995,45.6875,0.41229656,243264.0,7.859375,-155.3125,-10.83885303633509,4767,2.140625,59.390625,0.0,0.0039442284,73.82303770942097,57.88152839000316,18910.862780809402,0.0014906119,0.0014906119
499835,30.754727965768605,44.888888888888886,0.37662,246345.14285714287,8.412698412698413,-186.82539682539684,-12.075746670185582,4830,1.5873015873015872,60.142857142857146,0.0,0.0055477745,69.2452720342314,58.611946250053805,19210.4611992836,0.0020505197,0.0020505197
509881,27.556505399485864,45.36065573770492,0.3554289,244551.34426229508,6.819672131147541,-165.5737704918033,-11.33985268541421,4891,3.180327868852459,59.704918032786885,0.0,0.004880881,72.44349460051413,58.183130818660516,19525.216902256012,0.001862556,0.001862556
519991,24.118545371919094,46.306451612903224,0.3462275,240805.16129032258,5.387096774193548,-142.25806451612902,-10.221965585202273,4953,4.612903225806452,58.79032258064516,0.0,0.0036122776,75.8814546280809,57.307455023980374,19839.624565839767,0.0015289676,0.0015289676
529976,24.662065745873534,46.73015873015873,0.34879345,239258.4126984127,5.0,-143.33333333333334,-10.2720580600983,5016,5.0,58.41269841269841,0.0,0.004793912,75.3379342541265,56.927949047993984,20189.181751728058,0.001849455,0.001849455
539842,25.27204721107164,46.73015873015873,0.35617298,238738.2857142857,5.984126984126984,-147.46031746031747,-10.603235726507238,5079,4.015873015873016,58.285714285714285,0.0,0.0046132365,74.72795278892836,56.87112993341676,20525.724244832993,0.0016685858,0.0016685858
549993,22.68538330598348,47.74603174603175,0.33302367,234967.3650793651,6.444444444444445,-130.0,-9.367523927953501,5142,3.5555555555555554,57.36507936507937,0.0,0.0038417657,77.31461669401655,55.95265976857515,20876.118113279343,0.0016851955,0.0016851955
