meankl,entropy,TimestepsSoFar,TtR,MtR,AttNC,entloss,surrgain,EpisodesSoFar,Fce,TimeElapsed,optimgain,AttC
0.00230515,8.52817,2879904,390.0,22.484426529637737,2.6666666666666665,0.0,-7.019043e-09,11879,0.16215696131825164,80227.50746965408,-7.019043e-09,7.333333333333333
0.008933067,8.625608,2889904,430.75,24.592721234390392,3.4,0.0,-1.2969971e-08,11919,0.17230000000000004,80459.88046526909,-1.2969971e-08,6.6
0.008933067,8.625608,2899904,430.5,24.7971722635026,3.625,0.0,-1.2969971e-08,11959,0.1722,80674.55230331421,-1.2969971e-08,6.375
0.008933067,8.625608,2909904,460.25,26.223026948794637,3.925,0.0,-1.2969971e-08,11999,0.1841,80884.86570620537,-1.2969971e-08,6.075
0.008933067,8.625608,2919965,398.83720930232556,23.092515269183117,2.4186046511627906,0.0,-1.2969971e-08,12042,0.16144280968201236,81100.06713461876,-1.2969971e-08,7.5813953488372094
0.008933067,8.625608,2929771,393.1707317073171,22.427414057864546,2.951219512195122,0.0,-1.2969971e-08,12083,0.16109205350118017,81313.20872044563,-1.2969971e-08,7.048780487804878
0.008933067,8.625608,2939844,391.6279069767442,22.98403561545031,3.4186046511627906,0.0,-1.2969971e-08,12126,0.1651167569971557,81517.90052342415,-1.2969971e-08,6.5813953488372094
0.008933067,8.625608,2949814,425.8536585365854,24.597085256045858,3.7804878048780486,0.0,-1.2969971e-08,12167,0.17266199982715413,81726.18857336044,-1.2969971e-08,6.219512195121951
0.008933067,8.625608,2959814,434.75,25.263012327538156,3.85,0.0,-1.2969971e-08,12207,0.1739,81930.92339229584,-1.2969971e-08,6.15
0.008933067,8.625608,2969835,424.8780487804878,24.392578709292895,3.2195121951219514,0.0,-1.2969971e-08,12248,0.1720789779326365,82136.34370732307,-1.2969971e-08,6.780487804878049
0.008933067,8.625608,2979846,418.780487804878,24.419351542479603,3.4878048780487805,0.0,-1.2969971e-08,12289,0.16963192904656318,82351.26757025719,-1.2969971e-08,6.512195121951219
0.008933067,8.625608,2989855,420.4878048780488,24.586245676310153,3.4146341463414633,0.0,-1.2969971e-08,12330,0.16819512195121952,82546.96494722366,-1.2969971e-08,6.585365853658536
0.008933067,8.625608,2999864,442.6829268292683,25.55448457460301,3.5609756097560976,0.0,-1.2969971e-08,12371,0.17968563685636857,82754.65086483955,-1.2969971e-08,6.439024390243903
0.008933067,8.625608,3009883,412.9268292682927,23.663308561306767,3.292682926829268,0.0,-1.2969971e-08,12412,0.1663568677792041,82945.1013712883,-1.2969971e-08,6.7073170731707314
0.008933067,8.625608,3019883,452.5,26.001328106539972,3.55,0.0,-1.2969971e-08,12452,0.181,83171.88002896309,-1.2969971e-08,6.45
0.0023053885,8.674429,3029900,439.5121951219512,25.26239658480406,3.5121951219512195,0.0,-5.9509278e-09,12493,0.17714203730272593,83420.0168364048,-5.9509278e-09,6.487804878048781
0.0023053885,8.674429,3039998,410.4761904761905,23.51096469961123,3.0714285714285716,0.0,-5.9509278e-09,12535,0.16625789192081322,83615.86942720413,-5.9509278e-09,6.928571428571429
0.0,8.674308,3049998,424.25,24.453996967270974,3.225,0.0,1.15203855e-08,12575,0.16970000000000005,84046.69007992744,1.15203855e-08,6.775
0.0,8.674308,3059998,399.25,23.291033561044166,3.2,0.0,1.15203855e-08,12615,0.15970000000000004,84243.8004667759,1.15203855e-08,6.8
0.0,8.674308,3069786,428.780487804878,24.844913562975908,3.3658536585365852,0.0,1.15203855e-08,12656,0.17770356472795495,84454.90930390358,1.15203855e-08,6.634146341463414
0.0,8.674308,3079823,430.2439024390244,24.64470211038456,3.7560975609756095,0.0,1.15203855e-08,12697,0.1743441001977587,84659.62674641609,1.15203855e-08,6.2439024390243905
0.0,8.674308,3089846,422.6829268292683,24.131402764641063,3.5121951219512195,0.0,1.15203855e-08,12738,0.17099893955461293,84865.86765694618,1.15203855e-08,6.487804878048781
0.0,8.674308,3099846,417.5,24.36762285975537,3.575,0.0,1.15203855e-08,12778,0.167,85066.1461288929,1.15203855e-08,6.425
0.0,8.674308,3109846,430.75,25.25577442569501,3.85,0.0,1.15203855e-08,12818,0.17230000000000004,85284.84259271622,1.15203855e-08,6.15
0.0,8.674308,3119846,418.25,24.41642005558875,3.6,0.0,1.15203855e-08,12858,0.16729999999999995,85489.10993146896,1.15203855e-08,6.4
0.0,8.674308,3129846,415.75,24.054497327863892,3.425,0.0,1.15203855e-08,12898,0.16630000000000006,85693.22668719292,1.15203855e-08,6.575
0.0,8.674308,3139846,425.25,24.593717409449983,3.75,0.0,1.15203855e-08,12938,0.17009999999999997,85900.88256072998,1.15203855e-08,6.25
0.0,8.674308,3149869,435.609756097561,25.33040258445981,3.658536585365854,0.0,1.15203855e-08,12979,0.17616967126193003,86098.16023731232,1.15203855e-08,6.341463414634147
0.0,8.674308,3159898,429.5121951219512,24.789914684509778,3.1219512195121952,0.0,1.15203855e-08,13020,0.17254835996635828,86302.10681271553,1.15203855e-08,6.878048780487805
0.0,8.674308,3169905,433.9024390243902,25.112342216325693,3.4390243902439024,0.0,1.15203855e-08,13061,0.1735609756097561,86501.32194852829,1.15203855e-08,6.560975609756097
0.0,8.674308,3179905,431.25,24.77298312497217,3.375,0.0,1.15203855e-08,13101,0.17250000000000001,86703.76197648048,1.15203855e-08,6.625
0.010174863,8.576802,3189912,408.5365853658537,23.491864713284087,3.2195121951219514,0.0,1.663208e-08,13142,0.166801393728223,86954.96922564507,1.663208e-08,6.780487804878049
0.010174863,8.576802,3199912,451.0,25.976769103273842,3.65,0.0,1.663208e-08,13182,0.18040000000000003,87143.6695895195,1.663208e-08,6.35
0.010174863,8.576802,3209912,421.25,24.336709218109284,3.575,0.0,1.663208e-08,13222,0.1685,87336.00337982178,1.663208e-08,6.425
0.010174863,8.576802,3219945,441.7073170731707,25.495603554001104,3.975609756097561,0.0,1.663208e-08,13263,0.1779660014781966,87538.94166278839,1.663208e-08,6.024390243902439
0.010174863,8.576802,3229813,409.0243902439024,23.756070448641367,3.097560975609756,0.0,1.663208e-08,13304,0.1675352831450392,87735.29413700104,1.663208e-08,6.902439024390244
0.010174863,8.576802,3239944,430.7317073170732,24.92080212159599,3.4634146341463414,0.0,1.663208e-08,13345,0.17406516477378517,87933.36038446426,1.663208e-08,6.536585365853658
0.010174863,8.576802,3249975,411.7073170731707,23.550144109495335,3.4390243902439024,0.0,1.663208e-08,13386,0.16606136900078675,88125.36688709259,1.663208e-08,6.560975609756097
0.010174863,8.576802,3259768,400.0,22.969159035113286,3.35,0.0,1.663208e-08,13426,0.16096279069767447,88313.24524068832,1.663208e-08,6.65
0.010174863,8.576802,3269781,399.2682926829268,23.262024992687824,3.5365853658536586,0.0,1.663208e-08,13467,0.16326454033771104,88516.34319162369,1.663208e-08,6.463414634146342
0.010174863,8.576802,3279796,404.6341463414634,23.087107800387557,3.0,0.0,1.663208e-08,13508,0.16185365853658532,88712.44891095161,1.663208e-08,7.0
0.010174863,8.576802,3289796,424.5,24.25543306989151,3.225,0.0,1.663208e-08,13548,0.16979999999999998,88912.61295557022,1.663208e-08,6.775
0.008933196,8.674429,3299796,400.25,22.713844828165904,2.775,0.0,-1.4648437e-08,13588,0.16010000000000005,89155.84114956856,-1.4648437e-08,7.225
0.008933102,8.772002,3309817,423.1707317073171,24.03067992825862,3.317073170731707,0.0,-1.083374e-08,13629,0.1735238095238095,89379.8379547596,-1.083374e-08,6.682926829268292
0.008933102,8.772002,3319803,395.8139534883721,22.91763627274746,3.4651162790697674,0.0,-1.083374e-08,13672,0.16265083753455847,89574.67335963249,-1.083374e-08,6.534883720930233
0.008933102,8.772002,3329905,390.23809523809524,22.43764434706978,3.0238095238095237,0.0,-1.083374e-08,13714,0.15705990783410137,89769.95415878296,-1.083374e-08,6.976190476190476
0.008933102,8.772002,3339950,402.5581395348837,23.144434382085013,3.13953488372093,0.0,-1.083374e-08,13757,0.16484584541360803,89957.13162302971,-1.083374e-08,6.8604651162790695
0.008933102,8.772002,3349950,414.75,23.4332086017369,3.2,0.0,-1.083374e-08,13797,0.16590000000000002,90148.29486680031,-1.083374e-08,6.8
0.008933102,8.772002,3359759,412.3809523809524,23.79890518214053,3.119047619047619,0.0,-1.083374e-08,13839,0.1685835837841448,90338.1804587841,-1.083374e-08,6.880952380952381
0.008933102,8.772002,3369811,392.6190476190476,22.832472226778318,3.0714285714285716,0.0,-1.083374e-08,13881,0.16136019536019536,90533.23318123817,-1.083374e-08,6.928571428571429
0.008933102,8.772002,3379811,412.5,23.84747720930947,3.2,0.0,-1.083374e-08,13921,0.16499999999999998,90706.8149728775,-1.083374e-08,6.8
0.008933102,8.772002,3389838,428.780487804878,24.968787667878455,3.317073170731707,0.0,-1.083374e-08,13962,0.17473532068654024,90875.30556988716,-1.083374e-08,6.682926829268292
0.010174781,8.674429,3399936,364.3181818181818,20.950470779534268,2.909090909090909,0.0,1.2512207e-08,14006,0.1571635382161698,91097.56539678574,1.2512207e-08,7.090909090909091
0.010174781,8.674429,3409780,403.9024390243902,23.525835726194728,3.4878048780487805,0.0,1.2512207e-08,14047,0.167038920601972,91274.82223939896,1.2512207e-08,6.512195121951219
0.010174781,8.674429,3419953,412.4390243902439,23.705853594137263,3.4146341463414633,0.0,1.2512207e-08,14088,0.16627830255181164,91444.29052090645,1.2512207e-08,6.585365853658536
0.010174781,8.674429,3429997,386.9047619047619,21.96990871409914,2.9761904761904763,0.0,1.2512207e-08,14130,0.15862032929113676,91614.96914434433,1.2512207e-08,7.023809523809524
